#year	age	cwt	swt	mat	ssbwt
2019	1	-1	10	-1	-1
2019	2	-1	94	-1	-1
2019	3	1450.65	467	0.044	608.015
2019	4	1798.09	907	0.004	3065.03
2019	5	2500.95	1796	0.061	3262.71
2019	6	3773.89	3405	0.451	4210.18
2019	7	4549.63	4387	0.706	4693.4
2019	8	5286.44	5318	0.897	5490.11
2019	9	6957.73	7432	0.987	7466.9
2019	10	8684.93	8699	0.993	8684.93
2019	11	9429.72	9445	1	9429.72
2019	12	10055.7	10072	1	10055.7
2019	13	10252.4	10269	1	10252.4
2019	14	11619.2	11638	1	11619.2
2020	1	-1	9.98868	-1	-1
2020	2	-1	93.8935	-1	-1
2020	3	1451.35	466.471	0.044	1027.83
2020	4	1798.96	905.973	0.004	2369.31
2020	5	2502.16	1793.97	0.061	3226.34
2020	6	3775.72	3401.14	0.451	3857.63
2020	7	4551.84	4382.03	0.706	4568.82
2020	8	5289	5311.98	0.897	6663.45
2020	9	6961.11	7423.58	0.987	7702.27
2020	10	8689.15	8689.15	0.993	8689.15
2020	11	9434.3	9434.3	1	9434.3
2020	12	10060.6	10060.6	1	10060.6
2020	13	10257.4	10257.4	1	10257.4
2020	14	11624.8	11624.8	1	11624.8
