#year	age	ind
1985	1	17.18
1985	2	111.13
1985	3	35.38
1985	4	48.27
1985	5	64.85
1985	6	23.21
1985	7	15.46
1985	8	5.21
1985	9	3.56
1985	10	1.94
1985	11	0.31
1985	12	0.32
1985	13	0.09
1985	14	0.08
1986	1	15.6
1986	2	61.07
1986	3	96.42
1986	4	22.59
1986	5	21.74
1986	6	27.72
1986	7	7.34
1986	8	2.84
1986	9	0.95
1986	10	0.83
1986	11	0.3
1986	12	0.07
1986	13	0.06
1986	14	0.03
1987	1	3.66
1987	2	28.16
1987	3	104.43
1987	4	82.68
1987	5	21.47
1987	6	12.83
1987	7	13
1987	8	2.8
1987	9	0.99
1987	10	0.42
1987	11	0.45
1987	12	0.23
1987	13	0.13
1987	14	0.13
1988	1	3.45
1988	2	7.07
1988	3	73.22
1988	4	103.89
1988	5	69.6
1988	6	8.41
1988	7	6.45
1988	8	7.08
1988	9	0.67
1988	10	0.27
1988	11	0.12
1988	12	0.26
1988	13	0.05
1988	14	0.04
1989	1	4.02
1989	2	16.39
1989	3	21.28
1989	4	75.11
1989	5	71.49
1989	6	38.43
1989	7	4.82
1989	8	1.71
1989	9	1.41
1989	10	0.27
1989	11	0.19
1989	12	0.06
1989	13	0.01
1989	14	0.01
1990	1	5.47
1990	2	11.74
1990	3	26.44
1990	4	14.3
1990	5	27.98
1990	6	35.3
1990	7	16.78
1990	8	1.76
1990	9	0.58
1990	10	0.47
1990	11	0.13
1990	12	0
1990	13	0.04
1990	14	0.04
1991	1	3.95
1991	2	15.97
1991	3	18.11
1991	4	30.13
1991	5	15.44
1991	6	18.9
1991	7	22.46
1991	8	4.93
1991	9	0.94
1991	10	0.31
1991	11	0.22
1991	12	0
1991	13	0.08
1991	14	0.08
1992	1	0.71
1992	2	16.96
1992	3	33.51
1992	4	18.78
1992	5	16.44
1992	6	6.8
1992	7	6.33
1992	8	5.75
1992	9	1.48
1992	10	0.23
1992	11	0.04
1992	12	0.04
1992	13	0.04
1992	14	0
1993	1	3.55
1993	2	4.66
1993	3	30.75
1993	4	36.67
1993	5	13.49
1993	6	10.59
1993	7	2.42
1993	8	2.02
1993	9	1.39
1993	10	0.41
1993	11	0.13
1993	12	0.03
1993	13	0.03
1993	14	0.01
1994	1	14.22
1994	2	14.72
1994	3	9.02
1994	4	26.93
1994	5	22.45
1994	6	6.08
1994	7	3.95
1994	8	0.79
1994	9	0.53
1994	10	0.5
1994	11	0.18
1994	12	0.02
1994	13	0.03
1994	14	0.01
1995	1	1.08
1995	2	29.27
1995	3	24.77
1995	4	9.07
1995	5	24.56
1995	6	18.47
1995	7	4.04
1995	8	1.92
1995	9	0.39
1995	10	0.2
1995	11	0.24
1995	12	0.14
1995	13	0.03
1995	14	0
1996	1	3.7
1996	2	5.42
1996	3	42.5
1996	4	29.69
1996	5	13.25
1996	6	15.43
1996	7	15.22
1996	8	4.21
1996	9	1.16
1996	10	0.21
1996	11	0.07
1996	12	0.22
1996	13	0.1
1996	14	0.05
1997	1	1.2
1997	2	22.39
1997	3	13.61
1997	4	56.71
1997	5	29.74
1997	6	9.98
1997	7	9.47
1997	8	7.29
1997	9	0.62
1997	10	0.25
1997	11	0.19
1997	12	0.04
1997	13	0.15
1997	14	0.1
1998	1	8.04
1998	2	5.46
1998	3	30.11
1998	4	16.08
1998	5	63.24
1998	6	29.99
1998	7	7.01
1998	8	5.78
1998	9	3.33
1998	10	0.76
1998	11	0.2
1998	12	0
1998	13	0.02
1998	14	0
1999	1	7.38
1999	2	33.15
1999	3	6.99
1999	4	42.29
1999	5	13.27
1999	6	24.77
1999	7	12
1999	8	2.61
1999	9	1.47
1999	10	0.83
1999	11	0.19
1999	12	0.07
1999	13	0
1999	14	0
2000	1	18.79
2000	2	27.69
2000	3	55.16
2000	4	7.01
2000	5	30.86
2000	6	8.71
2000	7	8.85
2000	8	4.6
2000	9	0.56
2000	10	0.35
2000	11	0.08
2000	12	0.03
2000	13	0.04
2000	14	0.01
2001	1	12.24
2001	2	23.59
2001	3	36.46
2001	4	38.18
2001	5	5.07
2001	6	15.7
2001	7	3.53
2001	8	2.15
2001	9	0.9
2001	10	0.34
2001	11	0.12
2001	12	0.09
2001	13	0.05
2001	14	0.02
2002	1	0.96
2002	2	38.56
2002	3	41.31
2002	4	40.59
2002	5	37.26
2002	6	7.47
2002	7	8.99
2002	8	1.66
2002	9	0.81
2002	10	0.35
2002	11	0.07
2002	12	0.01
2002	13	0
2002	14	0
2003	1	11.16
2003	2	4.2
2003	3	46.55
2003	4	36.9
2003	5	29.21
2003	6	17.76
2003	7	4.13
2003	8	4.79
2003	9	1.13
2003	10	0.23
2003	11	0.13
2003	12	0.01
2003	13	0.09
2003	14	0
2004	1	7.34
2004	2	27.62
2004	3	8.24
2004	4	66.84
2004	5	41.29
2004	6	30.95
2004	7	17.6
2004	8	3.27
2004	9	3.57
2004	10	0.57
2004	11	0.32
2004	12	0.01
2004	13	0
2004	14	0.01
2005	1	2.69
2005	2	17.79
2005	3	41.72
2005	4	9.95
2005	5	46.31
2005	6	24.99
2005	7	12.1
2005	8	6.45
2005	9	1.01
2005	10	1.03
2005	11	0.27
2005	12	0.24
2005	13	0.03
2005	14	0
2006	1	9.09
2006	2	7.43
2006	3	25.06
2006	4	40.53
2006	5	11.73
2006	6	31.64
2006	7	11.66
2006	8	4.11
2006	9	1.62
2006	10	0.28
2006	11	0.16
2006	12	0.02
2006	13	0
2006	14	0
2007	1	5.65
2007	2	19.04
2007	3	9.07
2007	4	22.77
2007	5	29.88
2007	6	10.06
2007	7	11.37
2007	8	6.1
2007	9	2.44
2007	10	0.86
2007	11	0.3
2007	12	0.13
2007	13	0.01
2007	14	0
2008	1	6.75
2008	2	12.41
2008	3	23
2008	4	9.84
2008	5	22.36
2008	6	22.94
2008	7	9.44
2008	8	8
2008	9	3.03
2008	10	0.77
2008	11	0.44
2008	12	0.09
2008	13	0.05
2008	14	0
2009	1	22.14
2009	2	12.74
2009	3	16.46
2009	4	22.41
2009	5	15.49
2009	6	25.86
2009	7	16.6
2009	8	4.81
2009	9	3.15
2009	10	1.16
2009	11	0.28
2009	12	0.11
2009	13	0.07
2009	14	0.03
2010	1	18.62
2010	2	21.51
2010	3	18.89
2010	4	18.1
2010	5	24.64
2010	6	14.13
2010	7	18.36
2010	8	9.87
2010	9	3.24
2010	10	1.93
2010	11	0.58
2010	12	0.26
2010	13	0.05
2010	14	0.02
2011	1	3.55
2011	2	22.96
2011	3	27.54
2011	4	20.1
2011	5	23.07
2011	6	26.66
2011	7	14.7
2011	8	13.37
2011	9	5.02
2011	10	1.01
2011	11	1.01
2011	12	0.21
2011	13	0.07
2011	14	0.02
2012	1	20.36
2012	2	11.03
2012	3	39.37
2012	4	56.7
2012	5	41.9
2012	6	31.19
2012	7	28.43
2012	8	10.88
2012	9	7.06
