#year	age	ind
1996	1	6.323
1996	2	3.433
1996	3	19.594
1996	4	14.191
1996	5	5.568
1996	6	7.699
1996	7	6.489
1996	8	1.652
1996	9	0.31
1996	10	0.083
1996	11	0.02
1996	12	0.051
1996	13	0.014
1996	14	0
1997	1	0.634
1997	2	16.657
1997	3	6.651
1997	4	29.249
1997	5	16.338
1997	6	5.401
1997	7	3.737
1997	8	2.134
1997	9	0.306
1997	10	0.145
1997	11	0.013
1997	12	0.029
1997	13	0.042
1997	14	0
1998	1	5.713
1998	2	2.588
1998	3	15.335
1998	4	7.293
1998	5	16.104
1998	6	16.161
1998	7	5.241
1998	8	2.251
1998	9	1.272
1998	10	0.204
1998	11	0.05
1998	12	0.025
1998	13	0.011
1998	14	0
1999	1	7.996
1999	2	13.794
1999	3	5.581
1999	4	23.159
1999	5	7.449
1999	6	10.045
1999	7	4.085
1999	8	0.587
1999	9	0.341
1999	10	0.367
1999	11	0.032
1999	12	0
1999	13	0.062
1999	14	0
2000	1	4.52
2000	2	12.736
2000	3	15.236
2000	4	3.757
2000	5	11.543
2000	6	3.642
2000	7	2.705
2000	8	1.142
2000	9	0.344
2000	10	0.284
2000	11	0.109
2000	12	0.018
2000	13	0.012
2000	14	0
2001	1	6.888
2001	2	11.288
2001	3	19.321
2001	4	21.271
2001	5	3.398
2001	6	6.932
2001	7	1.651
2001	8	0.792
2001	9	0.176
2001	10	0.029
2001	11	0.103
2001	12	0.016
2001	13	0
2001	14	0
2002	1	0.934
2002	2	13.189
2002	3	15.838
2002	4	23.389
2002	5	16.207
2002	6	5.534
2002	7	4.865
2002	8	1.132
2002	9	0.627
2002	10	0.078
2002	11	0.167
2002	12	0.019
2002	13	0.037
2002	14	0
2003	1	5.198
2003	2	2.731
2003	3	26.026
2003	4	17.313
2003	5	13.477
2003	6	9.119
2003	7	1.93
2003	8	2.591
2003	9	0.368
2003	10	0.104
2003	11	0.088
2003	12	0.017
2003	13	0.016
2003	14	0
2004	1	3.568
2004	2	15.824
2004	3	6.893
2004	4	30.302
2004	5	19.394
2004	6	12.08
2004	7	7.612
2004	8	1.923
2004	9	1.685
2004	10	0.232
2004	11	0.109
2004	12	0.073
2004	13	0
2004	14	0
2005	1	2.128
2005	2	8.866
2005	3	19.967
2005	4	6.772
2005	5	26.102
2005	6	11.297
2005	7	4.004
2005	8	1.962
2005	9	0.312
2005	10	0.316
2005	11	0.031
2005	12	0.059
2005	13	0.024
2005	14	0
2006	1	4.407
2006	2	4.409
2006	3	15.857
2006	4	22.847
2006	5	7.784
2006	6	14.469
2006	7	6.311
2006	8	2.119
2006	9	1.053
2006	10	0.165
2006	11	0.113
2006	12	0
2006	13	0.014
2006	14	0
2007	1	3.668
2007	2	9.571
2007	3	4.901
2007	4	12.101
2007	5	16.261
2007	6	6.526
2007	7	6.105
2007	8	3.21
2007	9	0.802
2007	10	0.533
2007	11	0.04
2007	12	0.084
2007	13	0
2007	14	0
2008	1	6.68
2008	2	12.659
2008	3	15.131
2008	4	8.073
2008	5	17.955
2008	6	18.82
2008	7	5.887
2008	8	5.582
2008	9	1.408
2008	10	0.737
2008	11	0.281
2008	12	0.093
2008	13	0.018
2008	14	0.026
2009	1	6.776
2009	2	9.26
2009	3	13.726
2009	4	17.697
2009	5	12.749
2009	6	16.903
2009	7	10.576
2009	8	3.291
2009	9	2.762
2009	10	0.923
2009	11	0.305
2009	12	0.162
2009	13	0.013
2009	14	0.048
2010	1	11.902
2010	2	22.213
2010	3	16.448
2010	4	15.98
2010	5	18.08
2010	6	9.886
2010	7	11.301
2010	8	6.762
2010	9	2.264
2010	10	1.239
2010	11	0.548
2010	12	0.07
2010	13	0.106
2010	14	0.027
2011	1	-1
2011	2	-1
2011	3	-1
2011	4	-1
2011	5	-1
2011	6	-1
2011	7	-1
2011	8	-1
2011	9	-1
2011	10	-1
2011	11	-1
2011	12	-1
2011	13	-1
2011	14	-1
2012	1	9.707
2012	2	10.794
2012	3	24.846
2012	4	21.55
2012	5	12.811
2012	6	11.131
2012	7	9.587
2012	8	5.406
2012	9	3.248
2012	10	1.434
2012	11	0.553
2012	12	0.161
2012	13	0.111
2012	14	0.123
2013	1	8.099
2013	2	28.822
2013	3	14.067
2013	4	26.047
2013	5	21.293
2013	6	12.619
2013	7	7.876
2013	8	6.014
2013	9	3.061
2013	10	1.872
2013	11	0.989
2013	12	0.459
2013	13	0.211
2013	14	0.078
2014	1	3.967
2014	2	20.395
2014	3	30.559
2014	4	15.919
2014	5	24.264
2014	6	19.85
2014	7	8.463
2014	8	5.719
2014	9	3.676
2014	10	2.112
2014	11	1.375
2014	12	0.693
2014	13	0.313
2014	14	0.112
2015	1	18.852
2015	2	12.839
2015	3	34.955
2015	4	43.59
2015	5	18.982
2015	6	27.606
2015	7	16.135
2015	8	5.387
2015	9	3.099
2015	10	1.097
2015	11	0.578
2015	12	0.467
2015	13	0.19
2015	14	0.079
2016	1	12.001
2016	2	18.443
2016	3	8.685
2016	4	17.909
2016	5	22.236
2016	6	10.988
2016	7	11.949
2016	8	6.71
2016	9	2.673
2016	10	1.527
2016	11	0.76
2016	12	0.464
2016	13	0.173
2016	14	0
2017	1	6.07
2017	2	25.994
2017	3	32.34
2017	4	16.847
2017	5	31.31
2017	6	32.001
2017	7	12.143
2017	8	9.762
2017	9	4.378
2017	10	1.531
2017	11	0.972
2017	12	0.46
2017	13	0.35
2017	14	0.188
2018	1	8.692
2018	2	10.624
2018	3	21.846
2018	4	20.999
2018	5	8.416
2018	6	13.508
2018	7	13.025
2018	8	7.614
2018	9	5.159
2018	10	2.389
2018	11	0.882
2018	12	0.407
2018	13	0.148
2018	14	0.072
