#year	age	oC	cW	sW	mat	ssbW
1959	1	0	60	60	0	60
1960	1	0	60	60	0	60
1961	1	0	60	60	0	60
1962	1	0	60	60	0	60
1963	1	0	60	60	0	60
1964	1	0	60	60	0	60
1965	1	0	60	60	0	60
1966	1	0	60	60	0	60
1967	1	0	60	60	0	60
1968	1	0	60	60	0	60
1969	1	0	60	60	0	60
1970	1	0	60	60	0	60
1971	1	0	60	60	0	60
1972	1	0	60	60	0	60
1973	1	0	60	60	0	60
1974	1	0	60	60	0	60
1975	1	0	60	60	0	60
1976	1	0	60	60	0	60
1977	1	0	60	60	0	60
1978	1	0	60	60	0	60
1979	1	0	60	60	0	60
1980	1	0	60	60	0	60
1981	1	0	60	60	0	60
1982	1	0	60	60	0	60
1983	1	0	60	60	0	60
1984	1	0	60	60	0	60
1985	1	0	60	60	0	60
1986	1	0	60	60	0	60
1987	1	0	60	60	0	60
1988	1	0	60	60	0	60
1989	1	0	60	60	0	60
1990	1	0	60	60	0	60
1991	1	0	60	60	0	60
1992	1	0	60	60	0	60
1993	1	0	60	60	0	60
1994	1	0	60	60	0	60
1995	1	0	60	60	0	60
1996	1	0	60	60	0	60
1997	1	0	60	60	0	60
1998	1	0	60	60	0	60
1999	1	0	60	60	0	60
2000	1	0	60	60	0	60
2001	1	0	60	60	0	60
2002	1	0	60	60	0	60
2003	1	0	60	60	0	60
2004	1	0	60	60	0	60
2005	1	0	60	60	0	60
2006	1	0	60	60	0	60
2007	1	0	60	60	0	60
2008	1	0	60	60	0	60
2009	1	0	60	60	0	60
2010	1	0	60	60	0	60
2011	1	0	60	60	0	60
2012	1	0	60	60	0	60
2013	1	0	60	60	0	60
2014	1	0	60	60	0	60
2015	1	0	60	60	0	60
2016	1	0	60	60	0	60
2017	1	0	60	60	0	60
2018	1	0	60	60	0	60
1959	2	2002	850	850	0.18	850
1960	2	4728	1000	1000	0.18	1000
1961	2	3093	1080	1080	0.18	1080
1962	2	4424	1000	1000	0.18	1000
1963	2	4110	1040	1040	0.18	1040
1964	2	2033	970	970	0.18	970
1965	2	852	920	920	0.18	920
1966	2	1337	980	980	0.18	980
1967	2	1609	960	960	0.18	960
1968	2	1529	880	880	0.18	880
1969	2	878	1090	1090	0.18	1090
1970	2	402	960	960	0.18	960
1971	2	328	810	810	0.18	810
1972	2	875	660	660	0.18	660
1973	2	723	1110	1110	0.18	1110
1974	2	2161	1080	1080	0.18	1080
1975	2	2584	790	790	0.18	790
1976	2	1497	940	940	0.18	940
1977	2	425	870	870	0.18	870
1978	2	555	1112	1112	0.18	1112
1979	2	575	897	897	0.18	897
1980	2	1129	927	927	0.18	927
1981	2	646	1080	1080	0.18	1080
1982	2	1139	1230	1230	0.18	1230
1983	2	2149	1338	1338	0.63	1338
1984	2	4396	1195	1195	0.4	1195
1985	2	998	905	905	0	905
1986	2	210	1099	1099	0	1099
1987	2	257	1093	1093	0	1093
1988	2	509	1061	1061	0.17	1061
1989	2	2237	1010	1010	0.05	1010
1990	2	247	945	945	0	945
1991	2	192	779	779	0	779
1992	2	205	989	989	0.06	989
1993	2	120	1155	1155	0.25	1155
1994	2	573	1194	1194	0.72	1194
1995	2	2615	1218	1218	0.17	1218
1996	2	351	1016	1016	0.07	1016
1997	2	200	901	901	0	901
1998	2	455	1004	1004	0	1004
1999	2	1246	1050	1050	0.02	1050
2000	2	2170	1416	1416	0.02	1416
2001	2	3967	1164	1164	0.07	1164
2002	2	2099	1017	1017	0.04	1017
2003	2	697	820	820	0	820
2004	2	98	1037	1037	0	1037
2005	2	504	986	986	0.05	986
2006	2	1110	839	839	0.04	839
2007	2	506	937	937	0	937
2008	2	287	1209	1209	0.1	1209
2009	2	873	805	805	0.09	805
2010	2	2114	1049	1049	0.08	1049
2011	2	328	815	815	0.06	815
2012	2	49	1007	1007	0	1007
2013	2	55	1011	1011	0.24	1011
2014	2	387	1099	1099	0.24	1099
2015	2	154	1198	1198	0.28	1198
2016	2	175	1358	1358	0.21	1358
2017	2	112	1281	1281	0.1	1281
2018	2	936	1318	1318	0.14	1318
1959	3	4239	1730	1730	0.64	1730
1960	3	4027	2030	2030	0.64	2030
1961	3	2686	2220	2220	0.64	2220
1962	3	2500	2270	2270	0.64	2270
1963	3	3958	1940	1940	0.64	1940
1964	3	3021	1830	1830	0.64	1830
1965	3	3230	1450	1450	0.64	1450
1966	3	970	1770	1770	0.64	1770
1967	3	2690	1930	1930	0.64	1930
1968	3	3322	1720	1720	0.64	1720
1969	3	3106	1800	1800	0.64	1800
1970	3	1163	2230	2230	0.64	2230
1971	3	757	1800	1800	0.64	1800
1972	3	1176	1610	1610	0.64	1610
1973	3	3124	2000	2000	0.64	2000
1974	3	1266	2220	2220	0.64	2220
1975	3	5689	1790	1790	0.64	1790
1976	3	4158	1720	1720	0.64	1720
1977	3	3282	1790	1790	0.64	1790
1978	3	1219	1385	1385	0.64	1385
1979	3	1732	1682	1682	0.64	1682
1980	3	2263	1432	1432	0.64	1432
1981	3	4137	1470	1470	0.64	1470
1982	3	1965	1413	1413	0.64	1413
1983	3	5771	1950	1950	0.71	1950
1984	3	5234	1888	1888	0.96	1888
1985	3	9484	1658	1658	0.5	1658
1986	3	3586	1459	1459	0.37	1459
1987	3	1362	1517	1517	0.65	1517
1988	3	2122	1749	1749	0.79	1749
1989	3	2151	1597	1597	0.53	1597
1990	3	2892	1300	1300	0.68	1300
1991	3	451	1271	1271	0.76	1271
1992	3	455	1364	1364	0.4	1364
1993	3	802	1704	1704	0.73	1704
1994	3	788	1843	1843	0.89	1843
1995	3	2716	1986	1986	0.52	1986
1996	3	5164	1737	1737	0.46	1737
1997	3	1278	1341	1341	0.64	1341
1998	3	745	1417	1417	0.62	1417
1999	3	1044	1586	1586	0.43	1586
2000	3	2737	2170	2170	0.39	2170
2001	3	3812	2076	2076	0.47	2076
2002	3	7354	1768	1768	0.37	1768
2003	3	2186	1362	1362	0.29	1362
2004	3	673	1154	1154	0.51	1154
2005	3	604	1373	1373	0.66	1373
2006	3	1097	1304	1304	0.59	1304
2007	3	1226	1324	1324	0.47	1324
2008	3	761	1478	1478	0.78	1478
2009	3	2262	1431	1431	0.61	1431
2010	3	2034	1642	1642	0.61	1642
2011	3	2344	1367	1367	0.51	1367
2012	3	517	1315	1315	0.63	1315
2013	3	173	1527	1527	0.82	1527
2014	3	517	1653	1653	0.73	1653
2015	3	1026	1733	1733	0.48	1733
2016	3	374	1993	1993	0.89	1993
2017	3	281	2162	2162	0.73	2162
2018	3	1034	2211	2211	0.64	2211
1959	4	858	3230	3230	0.87	3230
1960	4	2574	3370	3370	0.87	3370
1961	4	1331	3450	3450	0.87	3450
1962	4	1255	3350	3350	0.87	3350
1963	4	1280	3510	3510	0.87	3510
1964	4	2300	3150	3150	0.87	3150
1965	4	2564	2570	2570	0.87	2570
1966	4	2080	2750	2750	0.87	2750
1967	4	860	3130	3130	0.87	3130
1968	4	2663	3070	3070	0.87	3070
1969	4	3300	2850	2850	0.87	2850
1970	4	2172	2690	2690	0.87	2690
1971	4	821	2980	2980	0.87	2980
1972	4	810	2580	2580	0.87	2580
1973	4	1590	3410	3410	0.87	3410
1974	4	1811	3440	3440	0.87	3440
1975	4	2157	2980	2980	0.87	2980
1976	4	3799	2840	2840	0.87	2840
1977	4	6844	2530	2530	0.87	2530
1978	4	2643	2140	2140	0.87	2140
1979	4	1673	2211	2211	0.87	2211
1980	4	1461	2220	2220	0.87	2220
1981	4	1981	2180	2180	0.87	2180
1982	4	3073	2138	2138	0.87	2138
1983	4	2760	2403	2403	0.93	2403
1984	4	3487	2980	2980	0.98	2980
1985	4	3795	2626	2626	0.96	2626
1986	4	8462	2046	2046	0.93	2046
1987	4	2611	2160	2160	0.91	2160
1988	4	1945	2300	2300	0.91	2300
1989	4	2187	2200	2200	0.97	2200
1990	4	1504	1959	1959	0.91	1959
1991	4	2152	1570	1570	0.96	1570
1992	4	466	1779	1779	0.67	1779
1993	4	603	2421	2421	0.78	2421
1994	4	1062	2613	2613	0.98	2613
1995	4	2008	2622	2622	0.53	2622
1996	4	4608	2745	2745	0.74	2745
1997	4	6710	1958	1958	0.91	1958
1998	4	1558	1802	1802	0.9	1802
1999	4	840	2350	2350	0.88	2350
2000	4	811	3187	3187	0.69	3187
2001	4	2130	3053	3053	0.86	3053
2002	4	3405	2805	2805	0.76	2805
2003	4	4696	2127	2127	0.79	2127
2004	4	1230	1693	1693	0.78	1693
2005	4	896	1760	1760	0.9	1760
2006	4	469	1988	1988	0.8	1988
2007	4	723	1970	1970	0.78	1970
2008	4	783	2104	2104	0.91	2104
2009	4	861	2287	2287	0.81	2287
2010	4	861	2400	2400	0.77	2400
2011	4	1234	2413	2413	0.69	2413
2012	4	1347	1893	1893	0.85	1893
2013	4	333	2528	2528	0.95	2528
2014	4	286	2466	2466	0.98	2466
2015	4	517	2769	2769	0.7	2769
2016	4	702	2752	2752	0.91	2752
2017	4	333	3051	3051	0.98	3051
2018	4	723	3454	3454	0.78	3454
1959	5	1731	4400	4400	0.95	4400
1960	5	513	4420	4420	0.95	4420
1961	5	1066	4690	4690	0.95	4690
1962	5	855	4580	4580	0.95	4580
1963	5	662	4600	4600	0.95	4600
1964	5	630	4330	4330	0.95	4330
