#year	age	oU1
1996	1	19.03988496
1997	1	35.16379066
1998	1	196.68065315
1999	1	56.2857662
2000	1	220.56165345
2001	1	101.94467865
2002	1	367.0766216
2003	1	31.981189355
2004	1	100.46107695
2005	1	106.32763955
2006	1	63.1082452
2007	1	41.48886338
2008	1	88.9514173
2009	1	299.5422585
2010	1	128.0416725
2011	1	3.5803432315
2012	1	19.00504162
2013	1	190.03855935
2014	1	6.431830845
2015	1	97.63430085
2016	1	101.75792535
2017	1	343.3140862
2018	1	483.0226767
2019	1	116.63525945
1996	2	353.4999135
1997	2	256.33797125
1998	2	262.46783185
1999	2	186.66255
2000	2	682.033321
2001	2	1711.067069
2002	2	1163.0029285
2003	2	177.00227195
2004	2	218.4983309
2005	2	308.2667741
2006	2	489.1997925
2007	2	117.0583073
2008	2	34.391616845
2009	2	214.08792485
2010	2	619.6482245
2011	2	150.8388338
2012	2	11.06770193
2013	2	50.86484935
2014	2	321.1528381
2015	2	117.64681155
2016	2	291.9777206
2017	2	413.1388326
2018	2	490.2962932
2019	2	364.5954603
1996	3	3288.2479535
1997	3	750.3327595
1998	3	252.53367175
1999	3	628.4223485
2000	3	576.668095
2001	3	1229.360695
2002	3	2781.467258
2003	3	519.4171075
2004	3	419.9413375
2005	3	367.5542321
2006	3	342.0812768
2007	3	224.3269052
2008	3	185.05731295
2009	3	990.2856245
2010	3	771.940784
2011	3	686.7955775
2012	3	115.40639975
2013	3	102.92667335
2014	3	430.59546355
2015	3	1115.223415
2016	3	419.5127242
2017	3	500.5427235
2018	3	389.2167785
2019	3	459.97596035
1996	4	1852.5487265
1997	4	3377.3171595
1998	4	489.71090075
1999	4	376.56935985
2000	4	336.9248846
2001	4	768.875278
2002	4	908.2388425
2003	4	1104.590548
2004	4	540.1173935
2005	4	436.06456965
2006	4	174.6644997
2007	4	157.104731
2008	4	164.0188163
2009	4	408.84949215
2010	4	506.00962
2011	4	542.104234
2012	4	540.8787335
2013	4	104.65355835
2014	4	178.8171092
2015	4	848.070672
2016	4	926.336013
2017	4	794.7182485
2018	4	392.0216353
2019	4	402.0399558
1996	5	649.0312995
1997	5	733.297206
1998	5	1837.582779
1999	5	337.6531929
2000	5	154.8065569
2001	5	207.96229725
2002	5	405.40928575
2003	5	282.95025865
2004	5	775.122558
2005	5	583.1712455
2006	5	156.02438695
2007	5	89.84966325
2008	5	200.60377185
2009	5	275.71354185
2010	5	181.70587005
2011	5	190.05181985
2012	5	255.83830335
2013	5	444.21235375
2014	5	179.09594575
2015	5	207.35229905
2016	5	345.4064564
2017	5	822.093451
2018	5	250.79265475
2019	5	218.4820573
1996	6	350.7511242
1997	6	89.1936529
1998	6	451.32479775
1999	6	711.2470335
2000	6	218.43132985
2001	6	117.3940633
2002	6	73.84041745
2003	6	61.69836685
2004	6	172.1047587
2005	6	377.99788305
2006	6	128.32083165
2007	6	67.2497184
2008	6	80.04426265
2009	6	196.5360093
2010	6	121.7820358
2011	6	80.30870405
2012	6	44.18370097
2013	6	271.24171175
2014	6	200.73073255
2015	6	181.702248
2016	6	73.40803425
2017	6	180.2161062
2018	6	204.44381165
2019	6	137.73198235
1996	7	116.56132645
1997	7	68.90401325
1998	7	24.993463855
1999	7	118.98508455
2000	7	300.38740175
2001	7	141.49358865
2002	7	41.6607876
2003	7	8.805709395
2004	7	40.079900155
2005	7	71.2676279
2006	7	61.52197615
2007	7	37.929168705
2008	7	26.223844265
2009	7	66.0685616
2010	7	74.4255823
2011	7	52.28233165
2012	7	17.871619125
2013	7	52.1249499
2014	7	62.1305762
2015	7	121.1288953
2016	7	71.37905425
2017	7	65.10558455
2018	7	52.7620705
2019	7	61.74755605
1996	8	24.26977077
1997	8	15.06949552
1998	8	18.492515965
1999	8	20.20902898
2000	8	17.708000935
2001	8	121.0093527
2002	8	34.749379845
2003	8	5.95179191
2004	8	12.82501132
2005	8	22.402527255
2006	8	14.075928505
2007	8	15.473456185
2008	8	13.75917941
2009	8	23.91678981
2010	8	20.774537325
2011	8	18.694519635
2012	8	9.75237511
2013	8	21.94328161
2014	8	18.316026625
2015	8	33.62092369
2016	8	36.444800315
2017	8	32.206410185
2018	8	13.86203096
2019	8	18.27060259
1996	9	37.53757768
1997	9	0.7111091805
1998	9	8.95321491
1999	9	5.022769095
2000	9	3.4160405595
2001	9	15.51501514
2002	9	24.70555661
2003	9	9.209324795
2004	9	10.83770379
2005	9	6.33031717
2006	9	7.789406635
2007	9	6.358535075
2008	9	16.4842219
2009	9	19.229862975
2010	9	17.078913565
2011	9	7.07336528
2012	9	2.3748943155
2013	9	15.41964431
2014	9	11.029162475
2015	9	8.052828915
2016	9	7.286345735
2017	9	8.946552005
2018	9	9.77991291
2019	9	8.36585777
