#year	age	oC	cW	sW	mat	ssbW
1957	1	45	250	250	0	250
1958	1	116	250	250	0	250
1959	1	525	250	250	0	250
1960	1	854	250	250	0	250
1961	1	941	250	250	0	250
1962	1	784	250	250	0	250
1963	1	356	250	250	0	250
1964	1	46	250	250	0	250
1965	1	39	250	250	0	250
1966	1	90	250	250	0	250
1967	1	70	250	250	0	250
1968	1	49	250	250	0	250
1969	1	95	250	250	0	250
1970	1	57	250	250	0	250
1971	1	55	250	250	0	250
1972	1	43	250	250	0	250
1973	1	665	250	250	0	250
1974	1	253	250	250	0	250
1975	1	94	250	250	0	250
1976	1	40	250	250	0	250
1977	1	0	250	250	0	250
1978	1	0	250	250	0	250
1979	1	1	300	300	0	300
1980	1	0	250	250	0	250
1981	1	0	250	250	0	250
1982	1	0	250	250	0	250
1983	1	0	250	250	0	250
1984	1	25	359	359	0	359
1985	1	0	250	250	0	250
1986	1	0	250	250	0	250
1987	1	0	250	250	0	250
1988	1	0	250	250	0	250
1989	1	0	250	250	0	250
1990	1	0	250	250	0	250
1991	1	0	250	250	0	250
1992	1	0	250	250	0	250
1993	1	43	360	360	0	360
1994	1	1	250	250	0	250
1995	1	0	250	250	0	250
1996	1	1	360	360	0	360
1997	1	0	250	250	0	250
1998	1	0	250	250	0	250
1999	1	9	278	278	0	278
2000	1	73	280	280	0	280
2001	1	19	280	280	0	280
2002	1	0	250	250	0	250
2003	1	0	250	250	0	250
2004	1	3	367	367	0	367
2005	1	0	250	250	0	250
2006	1	0	250	250	0	250
2007	1	0	250	250	0	250
2008	1	6	491	491	0	491
2009	1	0	250	250	0	250
2010	1	0	250	250	0	250
2011	1	0	250	250	0	250
2012	1	0	250	250	0	250
2013	1	0	250	250	0	250
2014	1	0	250	250	0	250
2015	1	0	424	424	0	424
2016	1	8	396	396	0	396
2017	1	1	343	343	0	343
2018	1	0	250	250	0	250
1957	2	4133	470	470	0.06	470
1958	2	6255	470	470	0.06	470
1959	2	3971	470	470	0.06	470
1960	2	6061	470	470	0.06	470
1961	2	7932	470	470	0.06	470
1962	2	9631	470	470	0.06	470
1963	2	13552	470	470	0.06	470
1964	2	2284	470	470	0.06	470
1965	2	1368	470	470	0.06	470
1966	2	1081	470	470	0.06	470
1967	2	1425	470	470	0.06	470
1968	2	5881	470	470	0.06	470
1969	2	2384	470	470	0.06	470
1970	2	1728	470	470	0.06	470
1971	2	717	470	470	0.06	470
1972	2	750	470	470	0.06	470
1973	2	3311	470	470	0.06	470
1974	2	5633	470	470	0.06	470
1975	2	7337	470	470	0.06	470
1976	2	4396	470	470	0.06	470
1977	2	255	311	311	0.06	311
1978	2	32	357	357	0.06	357
1979	2	1	357	357	0.06	357
1980	2	143	643	643	0.06	643
1981	2	74	452	452	0.06	452
1982	2	539	700	700	0.08	700
1983	2	441	470	470	0.08	470
1984	2	1195	681	681	0.08	681
1985	2	985	528	528	0.03	528
1986	2	230	608	608	0.03	608
1987	2	283	605	605	0.05	605
1988	2	655	501	501	0.05	501
1989	2	63	580	580	0.02	580
1990	2	105	438	438	0.08	438
1991	2	77	547	547	0.16	547
1992	2	40	525	525	0.18	525
1993	2	113	755	755	0.11	755
1994	2	277	754	754	0.05	754
1995	2	804	666	666	0.03	666
1996	2	326	534	534	0.03	534
1997	2	77	519	519	0.01	519
1998	2	106	622	622	0.01	622
1999	2	174	504	504	0.01	504
2000	2	1461	661	661	0.02	661
2001	2	4380	608	608	0.09	608
2002	2	1515	584	584	0.08	584
2003	2	132	571	571	0.07	571
2004	2	243	574	574	0	574
2005	2	91	538	538	0.01	538
2006	2	247	475	475	0.01	475
2007	2	76	628	628	0.02	628
2008	2	66	636	636	0.01	636
2009	2	27	482	482	0.01	482
2010	2	389	692	692	0.03	692
2011	2	170	553	553	0.09	553
2012	2	8	619	619	0.13	619
2013	2	82	576	576	0.17	576
2014	2	236	547	547	0.17	547
2015	2	387	533	533	0.19	533
2016	2	279	645	645	0.14	645
2017	2	155	790	790	0.12	790
2018	2	570	642	642	0.08	642
1957	3	7130	730	730	0.48	730
1958	3	8021	730	730	0.48	730
1959	3	7663	730	730	0.48	730
1960	3	10659	730	730	0.48	730
1961	3	7330	730	730	0.48	730
1962	3	13977	730	730	0.48	730
1963	3	8907	730	730	0.48	730
1964	3	7457	730	730	0.48	730
1965	3	4286	730	730	0.48	730
1966	3	3304	730	730	0.48	730
1967	3	2405	730	730	0.48	730
1968	3	4097	730	730	0.48	730
1969	3	7539	730	730	0.48	730
1970	3	4855	730	730	0.48	730
1971	3	4393	730	730	0.48	730
1972	3	3744	730	730	0.48	730
1973	3	8416	730	730	0.48	730
1974	3	2899	730	730	0.48	730
1975	3	7952	730	730	0.48	730
1976	3	7858	730	730	0.48	730
1977	3	4039	633	633	0.48	633
1978	3	1022	790	790	0.48	790
1979	3	1162	672	672	0.48	672
1980	3	58	713	713	0.48	713
1981	3	455	725	725	0.48	725
1982	3	934	896	896	0.62	896
1983	3	1969	740	740	0.62	740
1984	3	1561	1011	1011	0.76	1011
1985	3	4553	859	859	0.62	859
1986	3	2549	887	887	0.43	887
1987	3	1718	831	831	0.32	831
1988	3	444	781	781	0.24	781
1989	3	1518	779	779	0.22	779
1990	3	1275	699	699	0.37	699
1991	3	1044	693	693	0.58	693
1992	3	154	724	724	0.65	724
1993	3	298	982	982	0.5	982
1994	3	191	1103	1103	0.42	1103
1995	3	452	1054	1054	0.47	1054
1996	3	5234	858	858	0.47	858
1997	3	2913	771	771	0.47	771
1998	3	1055	846	846	0.36	846
1999	3	1142	624	624	0.35	624
2000	3	3061	936	936	0.36	936
2001	3	3128	940	940	0.54	940
2002	3	14039	857	857	0.49	857
2003	3	3419	715	715	0.45	715
2004	3	2007	770	770	0.35	770
2005	3	1793	649	649	0.34	649
2006	3	446	601	601	0.42	601
2007	3	982	669	669	0.52	669
2008	3	204	754	754	0.64	754
2009	3	329	734	734	0.61	734
2010	3	445	870	870	0.65	870
2011	3	774	815	815	0.74	815
2012	3	960	786	786	0.79	786
2013	3	506	830	830	0.83	830
2014	3	392	902	902	0.83	902
2015	3	1153	889	889	0.9	889
2016	3	979	934	934	0.89	934
2017	3	389	904	904	0.9	904
2018	3	1768	1000	1000	0.8	1000
1957	4	8442	1130	1130	0.91	1130
1958	4	5679	1130	1130	0.91	1130
1959	4	4544	1130	1130	0.91	1130
1960	4	6655	1130	1130	0.91	1130
1961	4	5134	1130	1130	0.91	1130
1962	4	5233	1130	1130	0.91	1130
1963	4	7403	1130	1130	0.91	1130
