#year	age	oU2
1994	1	16009.6
1995	1	35395.2
1996	1	6611.8
1997	1	371.7
1998	1	3481.6
1999	1	4459.5
2000	1	25964.4
2001	1	25283.3
2002	1	21111.9
2003	1	9391.1
2004	1	1823.1
2005	1	5798.8
2006	1	705.5
2007	1	1191.7
2008	1	667.9
2009	1	4119
2010	1	6945
2011	1	101.1
2012	1	420
2013	1	3419.9
2014	1	3542.6
2015	1	1545
2016	1	12458.9
2017	1	57368.9
2018	1	86184.97
2019	1	15881.57
1994	2	1958.7
1995	2	19462.6
1996	2	33206.5
1997	2	8095
1998	2	1545.8
1999	2	6739.7
2000	2	8354.4
2001	2	36311.2
2002	2	17809.3
2003	2	22335.1
2004	2	16068.3
2005	2	6022.7
2006	2	6284.8
2007	2	1873.3
2008	2	2182.6
2009	2	2079
2010	2	4655.3
2011	2	6320
2012	2	367.6
2013	2	1232.21
2014	2	4099.3
2015	2	3327.7
2016	2	4441.9
2017	2	17879.6
2018	2	23690.69
2019	2	38640.1
1994	3	216.7
1995	3	702.2
1996	3	19338.5
1997	3	15618
1998	3	3353.4
1999	3	112.2
2000	3	4858.7
2001	3	3384.7
2002	3	25760.6
2003	3	13272.7
2004	3	10327.1
2005	3	7742
2006	3	1574.6
2007	3	4202.4
2008	3	820.2
2009	3	1125.1
2010	3	638.1
2011	3	1865.9
2012	3	4957.2
2013	3	302.6
2014	3	869.8
2015	3	4123
2016	3	2487.8
2017	3	4110.2
2018	3	3621.8
2019	3	19827.82
1994	4	338.1
1995	4	216.6
1996	4	663.1
1997	4	25478.9
1998	4	10120.1
1999	4	1517.3
2000	4	198.1
2001	4	1056.6
2002	4	1934.7
2003	4	12734.4
2004	4	7487.7
2005	4	6165
2006	4	4457
2007	4	1008.9
2008	4	1694.9
2009	4	405.9
2010	4	418.7
2011	4	449.3
2012	4	908
2013	4	4022.4
2014	4	930.3
2015	4	1086.1
2016	4	1332.9
2017	4	3400.7
2018	4	961.98
2019	4	6595.51
1994	5	172.8
1995	5	150.7
1996	5	98.2
1997	5	628.1
1998	5	12687.6
1999	5	4412.3
2000	5	443.9
2001	5	26.7
2002	5	684.9
2003	5	776.1
2004	5	11212.5
2005	5	4565.9
2006	5	3250.4
2007	5	3511.3
2008	5	599.5
2009	5	916.8
2010	5	196.2
2011	5	260.3
2012	5	227.8
2013	5	619.6
2014	5	2238.4
2015	5	2026.3
2016	5	263
2017	5	1048.6
2018	5	707.2
2019	5	1321.77
1994	6	305.3
1995	6	48.8
1996	6	73.9
1997	6	146.1
1998	6	336.2
1999	6	3139.2
2000	6	1669.6
2001	6	106.6
2002	6	40.6
2003	6	230.1
2004	6	487.5
2005	6	4912.8
2006	6	3267.4
2007	6	3712.5
2008	6	1665
2009	6	371.5
2010	6	280.2
2011	6	212.6
2012	6	142.5
2013	6	120.3
2014	6	270.2
2015	6	1296.4
2016	6	428.5
2017	6	237.3
2018	6	246.27
2019	6	728.34
1994	7	399.6
1995	7	141.1
1996	7	56
1997	7	37
1998	7	9.9
1999	7	48.7
2000	7	1940.7
2001	7	427.7
2002	7	101.7
2003	7	19.3
2004	7	79.1
2005	7	238.6
2006	7	1577.2
2007	7	2875
2008	7	1463.8
2009	7	924.9
2010	7	265.9
2011	7	244.6
2012	7	293.3
2013	7	103.78
2014	7	90.3
2015	7	184.1
2016	7	107
2017	7	475.3
2018	7	60.42
2019	7	202.65
