#year	age	oU1
1996	1	21181
1997	1	3425.915
1998	1	9412.5
1999	1	12057.515
2000	1	80791.95
2001	1	49354.015
2002	1	44670.115
2003	1	23725.14
2004	1	4524.975
2005	1	7287.075
2006	1	1742.285
2007	1	1954.365
2008	1	2341.115
2009	1	5230.835
2010	1	12299.07
2011	1	321.04
2012	1	1179.845
2013	1	4443.16
2014	1	6668.775
2015	1	3865.095
2016	1	18122.39
2017	1	67322.1
2018	1	65757.99
2019	1	17875.445
1996	2	19025.23
1997	2	6189.965
1998	2	1396.59
1999	2	4760.63
2000	2	9418.705
2001	2	48337.72
2002	2	26046.17
2003	2	18098.445
2004	2	16826.5
2005	2	3847.495
2006	2	4795.885
2007	2	3523.72
2008	2	983.53
2009	2	697
2010	2	1889.51
2011	2	5250.69
2012	2	202.795
2013	2	107.99
2014	2	2025.55
2015	2	4686.43
2016	2	1698.04
2017	2	7687.25
2018	2	27825.015
2019	2	3441.94
1996	3	30433.245
1997	3	12092.1
1998	3	1272.66
1999	3	2776.87
2000	3	3670.1
2001	3	5981.035
2002	3	28961.39
2003	3	11423.5
2004	3	7558.835
2005	3	6468.305
2006	3	1002.245
2007	3	838.345
2008	3	576.635
2009	3	205.2
2010	3	657.83
2011	3	835.38
2012	3	2827.86
2013	3	689.95
2014	3	444.65
2015	3	2013.305
2016	3	1546.03
2017	3	818.17
2018	3	5911.335
2019	3	5802.585
1996	4	569.025
1997	4	23508.225
1998	4	7300.295
1999	4	774.35
2000	4	185.7
2001	4	2212.37
2002	4	2769.42
2003	4	17970.915
2004	4	8280.545
2005	4	8256.505
2006	4	4484.06
2007	4	760.325
2008	4	1272.105
2009	4	668.16
2010	4	545.62
2011	4	203.13
2012	4	540.665
2013	4	2524.28
2014	4	521.46
2015	4	420.59
2016	4	946.31
2017	4	1236.83
2018	4	2148.925
2019	4	4415.2
1996	5	105.125
1997	5	426.11
1998	5	9199.545
1999	5	4349.375
2000	5	650.705
2001	5	87.285
2002	5	954.815
2003	5	1981.32
2004	5	8280.545
2005	5	5817.71
2006	5	4454.3
2007	5	2088.785
2008	5	497.765
2009	5	635.165
2010	5	285.69
2011	5	177.995
2012	5	102.82
2013	5	519.865
2014	5	1433.125
2015	5	687.375
2016	5	131.91
2017	5	526.03
2018	5	1616.935
2019	5	1267.525
1996	6	143.36
1997	6	88.555
1998	6	142.89
1999	6	4914.81
2000	6	2319.44
2001	6	314.635
2002	6	81.235
2003	6	310.965
2004	6	442.67
2005	6	5981.78
2006	6	3486.97
2007	6	2557.06
2008	6	1552.92
2009	6	466.965
2010	6	404.795
2011	6	104.155
2012	6	67.78
2013	6	101.245
2014	6	196.905
2015	6	508.415
2016	6	259.56
2017	6	135.595
2018	6	516.435
2019	6	619.2
1996	7	119.24
1997	7	40.745
1998	7	44.805
1999	7	102.03
2000	7	2849.57
2001	7	1307.855
2002	7	197.535
2003	7	50.815
2004	7	92.83
2005	7	258.92
2006	7	1682.26
2007	7	1245.67
2008	7	1589.45
2009	7	1114.27
2010	7	381.97
2011	7	111.575
2012	7	73.57
2013	7	50.92
2014	7	40.51
2015	7	58.61
2016	7	171.42
2017	7	135.05
2018	7	240.48
2019	7	236.475
1996	8	208.22
1997	8	81.65
1998	8	36.82
1999	8	3.945
2000	8	42.905
2001	8	1604.975
2002	8	628.135
2003	8	214.435
2004	8	12.1
2005	8	18.23
2006	8	62.87
2007	8	276.325
2008	8	689.685
2009	8	612.02
2010	8	638.385
2011	8	145.44
2012	8	47.78
2013	8	78.52
2014	8	38.35
2015	8	32.91
2016	8	20.035
2017	8	58.515
2018	8	267.19
2019	8	162.635
