#year	age	oC	cW	sW	mat	ssbW
1961	3	183	1430	1430	0.04	1430
1962	3	562	1273	1273	0.04	1273
1963	3	614	1280	1280	0.04	1280
1964	3	684	1175	1175	0.04	1175
1965	3	996	1181	1181	0.04	1181
1966	3	488	1361	1361	0.04	1361
1967	3	595	1273	1273	0.04	1273
1968	3	614	1302	1302	0.04	1302
1969	3	1191	1188	1188	0.04	1188
1970	3	1445	1244	1244	0.04	1244
1971	3	2857	1101	1101	0.04	1101
1972	3	2714	1043	1043	0.04	1043
1973	3	2515	1306	1306	0.04	1306
1974	3	3504	1615	1615	0.04	1615
1975	3	2062	1293	1293	0.04	1293
1976	3	3178	1162	1162	0.04	1162
1977	3	1609	1223	1223	0.04	1223
1978	3	611	1493	1493	0.04	1493
1979	3	287	1220	1220	0.04	1220
1980	3	996	1230	1230	0.04	1230
1981	3	411	1310	1310	0.04	1310
1982	3	387	1337	1337	0.04	1337
1983	3	2483	1208	1208	0.04	1208
1984	3	368	1431	1431	0.03	1431
1985	3	1224	1401	1401	0.04	1401
1986	3	1167	1718	1718	0.04	1718
1987	3	1581	1609	1609	0.05	1609
1988	3	866	1500	1500	0.06	1500
1989	3	451	1309	1309	0.06	1309
1990	3	294	1223	1223	0.05	1223
1991	3	1030	1240	1240	0.05	1240
1992	3	521	1264	1264	0.04	1264
1993	3	1316	1408	1408	0.04	1408
1994	3	690	1503	1503	0.05	1503
1995	3	398	1456	1456	0.05	1456
1996	3	297	1432	1432	0.04	1432
1997	3	344	1476	1476	0.02	1476
1998	3	163	1388	1388	0.01	1388
1999	3	322	1374	1374	0.01	1374
2000	3	811	1477	1477	0.02	1477
2001	3	1125	1330	1330	0.02	1330
2002	3	302	1142	1142	0.02	1142
2003	3	330	1123	1123	0.02	1123
2004	3	76	1143	1143	0.02	1143
2005	3	454	1148	1148	0.01	1148
2006	3	1509	1126	1126	0.01	1126
2007	3	852	1058	1058	0.01	1058
2008	3	4968	1146	1146	0.01	1146
2009	3	472	938	938	0.01	938
2010	3	2406	1429	1429	0.01	1429
2011	3	1924	1111	1111	0.01	1111
2012	3	863	1029	1029	0.01	1029
2013	3	723	1208	1208	0.01	1208
2014	3	887	1369	1369	0.02	1369
2015	3	2201	932	932	0.03	932
2016	3	889	1070	1070	0.04	1070
2017	3	487	1472	1472	0.05	1472
2018	3	331	1574	1574	0.07	1574
1961	4	379	2302	2302	0.26	2302
1962	4	542	2045	2045	0.26	2045
1963	4	340	2197	2197	0.26	2197
1964	4	1908	2055	2055	0.26	2055
1965	4	850	2125	2125	0.26	2125
1966	4	1540	2026	2026	0.26	2026
1967	4	796	1780	1780	0.26	1780
1968	4	1689	1737	1737	0.26	1737
1969	4	2086	1667	1667	0.26	1667
1970	4	6577	1445	1445	0.26	1445
1971	4	3316	1316	1316	0.26	1316
1972	4	1774	1485	1485	0.26	1485
1973	4	6253	1754	1754	0.26	1754
1974	4	4126	1723	1723	0.26	1723
1975	4	3361	1924	1924	0.26	1924
1976	4	3217	1790	1790	0.26	1790
1977	4	2937	1641	1641	0.26	1641
1978	4	1743	2324	2324	0.26	2324
1979	4	933	1880	1880	0.26	1880
1980	4	877	2120	2120	0.26	2120
1981	4	1804	2130	2130	0.26	2130
1982	4	4076	1851	1851	0.26	1851
1983	4	1103	2029	2029	0.25	2029
1984	4	11067	1953	1953	0.26	1953
1985	4	3990	2032	2032	0.26	2032
1986	4	1997	1986	1986	0.28	1986
1987	4	5793	1835	1835	0.28	1835
1988	4	2950	1975	1975	0.28	1975
1989	4	5981	1735	1735	0.27	1735
1990	4	3833	1633	1633	0.26	1633
1991	4	5125	1568	1568	0.26	1568
1992	4	4067	1602	1602	0.24	1602
1993	4	2611	1860	1860	0.25	1860
1994	4	3961	1951	1951	0.22	1951
1995	4	1019	2177	2177	0.22	2177
1996	4	1087	1875	1875	0.18	1875
1997	4	832	1783	1783	0.17	1783
1998	4	1689	1711	1711	0.16	1711
1999	4	655	1712	1712	0.16	1712
2000	4	2830	1606	1606	0.17	1606
2001	4	2452	1590	1590	0.16	1590
2002	4	8399	1460	1460	0.18	1460
2003	4	2432	1304	1304	0.17	1304
2004	4	2011	1333	1333	0.16	1333
2005	4	2948	1325	1325	0.16	1325
2006	4	5163	1218	1218	0.18	1218
2007	4	3406	1391	1391	0.19	1391
2008	4	3228	1312	1312	0.2	1312
2009	4	7618	1485	1485	0.19	1485
2010	4	3019	1706	1706	0.18	1706
2011	4	2783	1693	1693	0.19	1693
2012	4	9870	1334	1334	0.2	1334
2013	4	5186	1466	1466	0.19	1466
2014	4	2344	1724	1724	0.25	1724
2015	4	2338	1555	1555	0.24	1555
2016	4	10550	1246	1246	0.26	1246
2017	4	3638	1534	1534	0.26	1534
2018	4	1426	1849	1849	0.25	1849
1961	5	483	3348	3348	0.57	3348
1962	5	617	3293	3293	0.57	3293
1963	5	340	3212	3212	0.57	3212
1964	5	1506	3266	3266	0.57	3266
1965	5	1708	2941	2941	0.57	2941
1966	5	1201	3055	3055	0.57	3055
1967	5	1364	2534	2534	0.57	2534
1968	5	1116	2036	2036	0.57	2036
1969	5	2294	2302	2302	0.57	2302
1970	5	1558	2249	2249	0.57	2249
1971	5	5585	1818	1818	0.57	1818
1972	5	2588	2055	2055	0.57	2055
1973	5	7075	1899	1899	0.57	1899
1974	5	4011	2493	2493	0.57	2493
1975	5	3801	2623	2623	0.57	2623
1976	5	1720	3074	3074	0.57	3074
1977	5	2034	2660	2660	0.57	2660
1978	5	1736	3068	3068	0.57	3068
1979	5	1341	2620	2620	0.57	2620
1980	5	720	3320	3320	0.57	3320
1981	5	769	3000	3000	0.57	3000
1982	5	994	2951	2951	0.57	2951
1983	5	5052	2965	2965	0.55	2965
1984	5	2359	2470	2470	0.58	2470
1985	5	5583	2965	2965	0.57	2965
1986	5	4473	2618	2618	0.6	2618
1987	5	3827	2395	2395	0.58	2395
1988	5	9555	1978	1978	0.57	1978
1989	5	5300	1907	1907	0.58	1907
1990	5	10120	1830	1830	0.58	1830
1991	5	7452	1864	1864	0.57	1864
1992	5	3667	2069	2069	0.54	2069
1993	5	4689	2323	2323	0.56	2323
1994	5	2663	2267	2267	0.54	2267
1995	5	3468	2420	2420	0.57	2420
1996	5	1146	2496	2496	0.54	2496
1997	5	2440	2032	2032	0.55	2032
1998	5	1934	1954	1954	0.53	1954
1999	5	3096	1905	1905	0.5	1905
2000	5	1484	2077	2077	0.48	2077
2001	5	8437	1785	1785	0.47	1785
2002	5	5962	1652	1652	0.48	1652
2003	5	11152	1614	1614	0.47	1614
2004	5	8544	1450	1450	0.42	1450
2005	5	9486	1516	1516	0.39	1516
2006	5	7963	1462	1462	0.38	1462
2007	5	11596	1413	1413	0.37	1413
