#year	age	oU2
1994	3	127
1995	3	157
1996	3	63
1997	3	79
1998	3	335
1999	3	218
2000	3	215
2001	3	797
2002	3	419
2003	3	838
2004	3	531
2005	3	1417
2006	3	2726
2007	3	254
2008	3	5922
2009	3	1292
2010	3	146
2011	3	3723
2012	3	255
2013	3	281
2014	3	488
2015	3	2343
2016	3	1001
2017	3	1126
2018	3	216
2019	3	13608
1994	4	847
1995	4	527
1996	4	270
1997	4	107
1998	4	941
1999	4	208
2000	4	381
2001	4	363
2002	4	6989
2003	4	927
2004	4	5326
2005	4	1208
2006	4	1145
2007	4	410
2008	4	648
2009	4	7699
2010	4	401
2011	4	647
2012	4	2305
2013	4	2203
2014	4	1215
2015	4	988
2016	4	6118
2017	4	4372
2018	4	517
2019	4	1772
1994	5	470
1995	5	914
1996	5	115
1997	5	252
1998	5	805
1999	5	699
2000	5	310
2001	5	1112
2002	5	2717
2003	5	3306
2004	5	7993
2005	5	2774
2006	5	1991
2007	5	1401
2008	5	481
2009	5	978
2010	5	674
2011	5	210
2012	5	602
2013	5	1130
2014	5	1434
2015	5	1067
2016	5	176
2017	5	5213
2018	5	1228
2019	5	828
1994	6	423
1995	6	916
1996	6	131
1997	6	131
1998	6	1358
1999	6	557
2000	6	1256
2001	6	291
2002	6	2574
2003	6	964
2004	6	4765
2005	6	4592
2006	6	1470
2007	6	536
2008	6	1333
2009	6	274
2010	6	180
2011	6	235
2012	6	140
2013	6	524
2014	6	447
2015	6	538
2016	6	189
2017	6	190
2018	6	803
2019	6	771
1994	7	108
1995	7	357
1996	7	105
1997	7	94
1998	7	323
1999	7	662
2000	7	503
2001	7	427
2002	7	206
2003	7	585
2004	7	297
2005	7	1497
2006	7	1480
2007	7	226
2008	7	334
2009	7	466
2010	7	200
2011	7	65
2012	7	73
2013	7	89
2014	7	238
2015	7	139
2016	7	59
2017	7	83
2018	7	56
2019	7	442
1994	8	68
1995	8	85
1996	8	57
1997	8	63
1998	8	145
1999	8	89
2000	8	568
2001	8	163
2002	8	211
2003	8	76
2004	8	120
2005	8	218
2006	8	457
2007	8	242
2008	8	343
2009	8	217
2010	8	297
2011	8	46
2012	8	43
2013	8	82
2014	8	65
2015	8	88
2016	8	47
2017	8	72
2018	8	32
2019	8	90
1994	9	51
1995	9	58
1996	9	34
1997	9	23
1998	9	104
1999	9	39
2000	9	28
2001	9	130
2002	9	79
2003	9	49
2004	9	13
2005	9	83
2006	9	41
2007	9	111
2008	9	223
2009	9	206
2010	9	194
2011	9	92
2012	9	58
2013	9	32
2014	9	55
2015	9	20
2016	9	19
2017	9	27
2018	9	33
2019	9	74
1994	10	54
1995	10	24
1996	10	16
1997	10	26
1998	10	23
1999	10	19
2000	10	12
2001	10	23
2002	10	39
2003	10	46
2004	10	28
2005	10	26
2006	10	25
2007	10	13
2008	10	27
2009	10	16
2010	10	14
2011	10	60
2012	10	64
2013	10	31
2014	10	26
2015	10	6
2016	10	12
2017	10	21
2018	10	5
2019	10	46
