#year	age	oU1
1996	3	146.5
1997	3	633
1998	3	111.5
1999	3	151
2000	3	810.5
2001	3	13530
2002	3	2320
2003	3	7874.5
2004	3	686
2005	3	2346.5
2006	3	4493
2007	3	823.5
2008	3	3432
2009	3	1175
2010	3	1395
2011	3	2947.5
2012	3	3228.5
2013	3	543
2014	3	1240.5
2015	3	2941
2016	3	2178.5
2017	3	1217.5
2018	3	132
2019	3	2171.5
1996	4	409
1997	4	490.5
1998	4	421.5
1999	4	209
2000	4	2502.5
2001	4	7415
2002	4	6574
2003	4	10523.5
2004	4	7235.5
2005	4	2904
2006	4	10147
2007	4	1040.5
2008	4	1207.5
2009	4	1169.5
2010	4	620
2011	4	856.5
2012	4	3009
2013	4	1888.5
2014	4	742
2015	4	1088.5
2016	4	5742
2017	4	2294
2018	4	349.5
2019	4	406.5
1996	5	201.5
1997	5	807
1998	5	399
1999	5	649
2000	5	669
2001	5	14110.5
2002	5	2345.5
2003	5	7312
2004	5	16218
2005	5	3018.5
2006	5	4421
2007	5	2779.5
2008	5	482.5
2009	5	3469.5
2010	5	730.5
2011	5	259.5
2012	5	1506
2013	5	1965.5
2014	5	625.5
2015	5	1061
2016	5	810
2017	5	1840
2018	5	774.5
2019	5	437
1996	6	167
1997	6	322
1998	6	550.5
1999	6	459
2000	6	1479
2001	6	939
2002	6	2510.5
2003	6	1138.5
2004	6	5982
2005	6	3400.5
2006	6	1883.5
2007	6	1023
2008	6	1186.5
2009	6	469
2010	6	106.5
2011	6	194
2012	6	196.5
2013	6	926.5
2014	6	275
2015	6	423.5
2016	6	334.5
2017	6	211.5
2018	6	676
2019	6	556.5
1996	7	83
1997	7	229.5
1998	7	110
1999	7	617.5
2000	7	599
2001	7	1247
2002	7	167
2003	7	993
2004	7	809.5
2005	7	893.5
2006	7	1528.5
2007	7	503.5
2008	7	345
2009	7	845
2010	7	67
2011	7	53.5
2012	7	96.5
2013	7	101
2014	7	117.5
2015	7	166.5
2016	7	102.5
2017	7	157.5
2018	7	38.5
2019	7	311
1996	8	42
1997	8	118
1998	8	55
1999	8	103
2000	8	662.5
2001	8	391.5
2002	8	209.5
2003	8	81
2004	8	355.5
2005	8	131
2006	8	395.5
2007	8	361
2008	8	189
2009	8	334.5
2010	8	122.5
2011	8	44
2012	8	43
2013	8	43
2014	8	19.5
2015	8	44
2016	8	55
2017	8	85
2018	8	27
2019	8	53.5
1996	9	15.5
1997	9	38.5
1998	9	28
1999	9	40
2000	9	85.5
2001	9	399.5
2002	9	104
2003	9	52.5
2004	9	25.5
2005	9	84
2006	9	36
2007	9	126
2008	9	116.5
2009	9	215.5
2010	9	63
2011	9	81.5
2012	9	29
2013	9	15
2014	9	13
2015	9	19
2016	9	19.5
2017	9	29
2018	9	8.5
2019	9	29.5
1996	10	13
1997	10	9.5
1998	10	9.5
1999	10	19.5
2000	10	47.5
2001	10	96
2002	10	72
2003	10	46.5
2004	10	24.5
2005	10	16
2006	10	28.5
2007	10	34.5
2008	10	36
2009	10	179.5
2010	10	49
2011	10	47
2012	10	43
2013	10	15.5
2014	10	10
2015	10	11.5
2016	10	22
2017	10	11
2018	10	3.5
2019	10	20.5
