#year	age	ind
1996	0	15.3728658
1996	1	430.5157614
1996	2	105.2420819
1996	3	83.243282
1996	4	18.0064666
1996	5	7.654516
1996	6	17.9231049
1996	7	1.5326881
1996	8	0
1996	9	0
1996	10	0
1996	11	0
1996	12	0
1997	0	52.772197
1997	1	31.6857945
1997	2	208.2489103
1997	3	55.1720256
1997	4	37.8417164
1997	5	7.6503942
1997	6	5.8620862
1997	7	6.0176578
1997	8	0.278521
1997	9	0
1997	10	0
1997	11	0
1997	12	0
1998	0	198.8741925
1998	1	80.4175132
1998	2	31.8309121
1998	3	131.0816574
1998	4	19.6891141
1998	5	15.7070685
1998	6	5.2680412
1998	7	5.3351094
1998	8	1.8758979
1998	9	0
1998	10	0
1998	11	0.0873742
1998	12	0
1999	0	179.2538928
1999	1	373.7948596
1999	2	65.398617
1999	3	28.0320888
1999	4	95.3326636
1999	5	11.7347089
1999	6	10.3336492
1999	7	0.5306429
1999	8	2.0894373
1999	9	0.3080997
1999	10	0
1999	11	0
1999	12	0
2000	0	59.1633593
2000	1	158.8881184
2000	2	253.6933912
2000	3	45.5351724
2000	4	8.1157333
2000	5	28.2139967
2000	6	1.9330937
2000	7	3.158217
2000	8	0.0755757
2000	9	0.2653365
2000	10	0.5760598
2000	11	0
2000	12	0
2001	0	44.4599808
2001	1	379.1510934
2001	2	271.9898297
2001	3	168.7588808
2001	4	34.6203035
2001	5	3.9056154
2001	6	13.7244968
2001	7	0.6935278
2001	8	0.9489007
2001	9	0
2001	10	0.2069774
2001	11	0
2001	12	0
2002	0	147.8446683
2002	1	76.921149
2002	2	234.0135751
2002	3	187.8202746
2002	4	94.3079042
2002	5	18.6422052
2002	6	2.8849443
2002	7	2.2315943
2002	8	0.9940636
2002	9	0.0708124
2002	10	0
2002	11	0
2002	12	0
2003	0	312.6970033
2003	1	334.2234089
2003	2	140.010304
2003	3	243.0834343
2003	4	163.9165414
2003	5	55.2558708
2003	6	9.2859286
2003	7	2.388655
2003	8	0.65107
2003	9	0
2003	10	0.0501313
2003	11	0
2003	12	0
2004	0	185.4251339
2004	1	692.5919557
2004	2	332.3720527
2004	3	49.7227287
2004	4	156.7289796
2004	5	69.288114
2004	6	16.7815091
2004	7	3.9180031
2004	8	0.8079417
2004	9	0.5067378
2004	10	0
2004	11	0
2004	12	0
2005	0	90.9310401
2005	1	72.1622098
2005	2	544.9546822
2005	3	178.231855
2005	4	26.7367427
2005	5	94.4381055
2005	6	26.1252085
2005	7	10.1523853
2005	8	1.845402
2005	9	0
2005	10	0.1317136
2005	11	0
2005	12	0
2006	0	90.3590445
2006	1	117.6764474
2006	2	114.7107509
2006	3	498.4722203
2006	4	106.2533021
2006	5	13.5645239
2006	6	39.6065339
2006	7	9.6108501
2006	8	3.8704656
2006	9	1.5106813
2006	10	0
2006	11	0
2006	12	0
2007	0	229.8569763
2007	1	95.4117771
2007	2	74.4267816
2007	3	87.9341909
2007	4	326.7160517
2007	5	57.0528426
2007	6	8.0096529
2007	7	12.1050135
2007	8	3.7163852
2007	9	0.5546073
2007	10	0.1945617
2007	11	0
2007	12	0.1010783
2008	0	90.3963874
2008	1	202.4506325
2008	2	91.8354337
2008	3	66.7582386
2008	4	85.6536918
2008	5	194.114941
2008	6	16.4124857
2008	7	2.8102849
2008	8	3.3955533
2008	9	0.2187082
2008	10	0.0770519
2008	11	0
2008	12	0
2009	0	50.323546
2009	1	46.7227111
2009	2	265.9606968
2009	3	67.0809619
2009	4	30.4564822
2009	5	47.5290818
2009	6	94.562834
2009	7	9.2772686
2009	8	1.4525451
2009	9	2.1466397
2009	10	0.0577206
2009	11	0.3620545
2009	12	0
2010	0	35.707404
2010	1	41.6193137
2010	2	55.6989432
