#year	age	cn	cw	sw	mat	ssbw
1980	0	33101	57	15	0	15
1981	0	56682	60	15	0	15
1982	0	11180	53	15	0	15
1983	0	7333	50	15	0	15
1984	0	287287	31	15	0	15
1985	0	81799	55	15	0	15
1986	0	49983	39	15	0	15
1987	0	7403	76	15	0	15
1988	0	57644	55	15	0	15
1989	0	65400	49	15	0	15
1990	0	24246	85	15	0	15
1991	0	10007	68	15	0	15
1992	0	43447	51	15	0	15
1993	0	19354	61	15	0	15
1994	0	25368	46	15	0	15
1995	0	14759	72	15	0	15
1996	0	37956	58	15	0	15
1997	0	36012	76	15	0	15
1998	0	61127	65	15	0	15
1999	0	67003	62	15	0	15
2000	0	36345	63	15	0	15
2001	0	26034	69	15	0	15
2002	0	70409	52	15	0	15
2003	0	14744	81	15	0	15
2004	0	11553	67	15	0	15
2005	0	12426	48	15	0	15
2006	0	75651	38	15	0	15
2007	0	19302	89	15	0	15
2008	0	25886	51	15	0	15
2009	0	17615	104	15	0	15
2010	0	23453	48	15	0	15
2011	0	30429	29	15	0	15
2012	0	23872	89	15	0	15
2013	0	11325	91	15	0	15
2014	0	62100	43	15	0	15
2015	0	6732	51	15	0	15
2016	0	716	35	15	0	15
2017	0	28306	18	15	0	15
1980	1	411327	131	125	0.093	125
1981	1	276229	132	123	0.097	123
1982	1	213936	131	122	0.097	122
1983	1	47914	168	122	0.098	122
1984	1	31901	102	119	0.103	119
1985	1	268960	144	123	0.103	123
1986	1	58126	146	115	0.103	115
1987	1	40126	179	76	0.103	76
1988	1	152656	133	111	0.103	111
1989	1	64263	136	114	0.103	114
1990	1	140534	156	96	0.103	96
1991	1	58459	156	174	0.103	174
1992	1	83583	167	130	0.103	130
1993	1	128144	134	145	0.103	145
1994	1	147315	136	114	0.103	114
1995	1	81529	143	116	0.103	116
1996	1	119852	143	97	0.103	97
1997	1	144390	143	84	0.097	84
1998	1	99352	157	83	0.097	83
1999	1	73597	176	87	0.097	87
2000	1	102407	135	93	0.104	93
2001	1	40315	172	113	0.104	113
2002	1	222577	160	109	0.104	109
2003	1	187997	170	112	0.107	112
2004	1	31421	156	112	0.107	112
2005	1	46840	151	106	0.107	106
2006	1	149425	71	108	0.095	108
2007	1	88439	120	83	0.095	83
2008	1	59899	105	133	0.095	133
2009	1	36514	153	107	0.096	107
2010	1	78605	118	96	0.096	96
2011	1	62708	113	80	0.096	80
2012	1	66196	123	89	0.094	89
2013	1	47020	173	76	0.092	76
2014	1	43173	127	107	0.092	107
2015	1	104019	154	78	0.104	78
2016	1	45199	158	59	0.103	59
2017	1	43458	178	58	0.101	58
1980	2	393025	249	205	0.521	205
1981	2	502365	248	179	0.497	179
1982	2	432867	249	159	0.498	159
1983	2	668909	219	179	0.485	179
