#year	age	fj
1987	1	0
1987	2	0.05
1987	3	1
1987	4	3.21
1987	5	3.5
1987	6	4.85
1987	7	3.47
1987	8	4.01
1987	9	2.11
1987	10	2.3
1987	11	0.53
1987	12	0.49
1987	13	0.03
1987	14	0.15
1987	15	0.07
1990	1	0.05
1990	2	0
1990	3	0.22
1990	4	1.4
1990	5	4.71
1990	6	3.64
1990	7	3.96
1990	8	1.15
1990	9	0.76
1990	10	1.5
1990	11	0.25
1990	12	0.23
1990	13	0.14
1990	14	0
1990	15	0.12
1991	1	0.04
1991	2	0
1991	3	0
1991	4	1.38
1991	5	5.25
1991	6	4.99
1991	7	3.7
1991	8	3.02
1991	9	1.43
1991	10	0.83
1991	11	0.59
1991	12	0.18
1991	13	0.3
1991	14	0.14
1991	15	0.05
1999	1	0
1999	2	0
1999	3	0.09
1999	4	2.14
1999	5	2.32
1999	6	1.61
1999	7	1.26
1999	8	0.69
1999	9	0.92
1999	10	0.25
1999	11	0.18
1999	12	0.02
1999	13	0.08
1999	14	0.04
1999	15	0
2000	1	0
2000	2	0
2000	3	0.03
2000	4	0.15
2000	5	0.35
2000	6	0.86
2000	7	0.87
2000	8	0.94
2000	9	0.66
2000	10	0.39
2000	11	0.34
2000	12	0.24
2000	13	0.06
2000	14	0
2000	15	0
2001	1	0.04
2001	2	0
2001	3	0.16
2001	4	0.75
2001	5	0.37
2001	6	1.11
2001	7	0.78
2001	8	0.87
2001	9	0.34
2001	10	0.31
2001	11	0.23
2001	12	0.13
2001	13	0.01
2001	14	0
2001	15	0.01
2002	1	0
2002	2	0
2002	3	0.04
2002	4	1.05
2002	5	2.31
2002	6	1.19
2002	7	1.21
2002	8	1.01
2002	9	0.61
2002	10	0.19
2002	11	0.13
2002	12	0
2002	13	0.03
2002	14	0
2002	15	0
2003	1	0.03
2003	2	0.1
2003	3	0
2003	4	1.53
2003	5	2.94
2003	6	1.94
2003	7	1.3
2003	8	1.12
2003	9	0.59
2003	10	0.27
2003	11	0.07
2003	12	0.03
2003	13	0.02
2003	14	0
2003	15	0
2004	1	0
2004	2	0.02
2004	3	0.09
2004	4	0.64
2004	5	4.34
2004	6	4.74
2004	7	1.84
2004	8	1.35
2004	9	0.86
2004	10	0.59
2004	11	0.18
2004	12	0.04
2004	13	0.05
2004	14	0
2004	15	0
2005	1	0
2005	2	0
2005	3	0.08
2005	4	0.25
2005	5	1.42
2005	6	3.17
2005	7	2.12
2005	8	1.31
2005	9	0.8
2005	10	0.3
2005	11	0.18
2005	12	0.02
2005	13	0
2005	14	0
2005	15	0
2006	1	0
2006	2	0
2006	3	0.14
2006	4	0.94
2006	5	2.16
2006	6	3.33
2006	7	2.3
2006	8	1.88
2006	9	0.71
2006	10	0.49
2006	11	0.18
2006	12	0.11
2006	13	0
2006	14	0.02
2006	15	0
2007	1	0
2007	2	0
2007	3	0.09
2007	4	1.57
2007	5	2.36
2007	6	2.26
2007	7	2.21
2007	8	1.21
2007	9	0.57
2007	10	0.17
2007	11	0.09
2007	12	0
2007	13	0
2007	14	0
2007	15	0
2008	1	0
2008	2	0
2008	3	0.37
2008	4	0.7
2008	5	1.7
2008	6	1.75
2008	7	0.88
2008	8	0.81
2008	9	0.59
2008	10	0.26
2008	11	0.18
2008	12	0.15
2008	13	0.07
2008	14	0.08
2008	15	0.02
2009	1	0
2009	2	0.03
2009	3	0.48
2009	4	1.01
2009	5	1.83
2009	6	1.88
2009	7	1.3
2009	8	0.8
2009	9	0.43
2009	10	0.24
2009	11	0.11
2009	12	0.04
2009	13	0.07
2009	14	0
2009	15	0
2010	1	0
2010	2	0.03
2010	3	0.79
2010	4	2.76
2010	5	2.97
2010	6	2.57
2010	7	2.04
2010	8	1.49
2010	9	0.69
2010	10	0.49
2010	11	0.2
2010	12	0.15
2010	13	0.09
2010	14	0
2010	15	0
2011	1	0
2011	2	0
2011	3	0.13
2011	4	1.09
2011	5	2.03
2011	6	1.77
2011	7	1.3
2011	8	0.88
2011	9	0.44
2011	10	0.33
2011	11	0.18
2011	12	0.25
2011	13	0.11
2011	14	0.07
2011	15	0.04
2012	1	0
2012	2	0.02
2012	3	0.31
2012	4	0.59
2012	5	2.01
2012	6	1.91
2012	7	1.03
2012	8	0.75
2012	9	0.37
2012	10	0.41
2012	11	0.26
2012	12	0.23
2012	13	0.09
2012	14	0.06
2012	15	0.06
2013	1	0
2013	2	0
2013	3	0.24
2013	4	1.17
2013	5	1.2
2013	6	2.13
2013	7	2.53
2013	8	1.18
2013	9	0.46
2013	10	0.43
2013	11	0.42
2013	12	0.19
2013	13	0.14
2013	14	0.07
2013	15	0.04
2014	1	0
2014	2	0
2014	3	0.15
2014	4	0.98
2014	5	1.33
2014	6	2.01
2014	7	1.98
2014	8	1.54
2014	9	0.64
2014	10	0.43
2014	11	0.37
2014	12	0.12
2014	13	0.09
2014	14	0.05
2014	15	0.05
2015	1	0.01
2015	2	0
2015	3	0.09
2015	4	0.39
2015	5	0.96
2015	6	1.17
2015	7	1.23
2015	8	1.11
2015	9	0.9
2015	10	0.51
2015	11	0.22
2015	12	0.13
2015	13	0.07
2015	14	0.09
2015	15	0.1
2016	1	0
2016	2	0.04
2016	3	0.36
2016	4	0.95
2016	5	1.9
2016	6	2.26
2016	7	2.1
2016	8	1.24
2016	9	1.15
2016	10	0.33
2016	11	0.19
2016	12	0.13
2016	13	0.1
2016	14	0.08
2016	15	0.11
2017	1	0
2017	2	0
2017	3	0.76
2017	4	1.24
2017	5	1.86
2017	6	2.75
2017	7	2.51
2017	8	2.14
2017	9	1.41
2017	10	0.97
2017	11	0.54
2017	12	0.19
2017	13	0.06
2017	14	0.13
2017	15	0.09
2018	1	0
2018	2	0
2018	3	0.32
2018	4	0.64
2018	5	1.5
2018	6	1.97
2018	7	2.82
2018	8	2.13
2018	9	1.23
2018	10	1.02
2018	11	0.39
2018	12	0.23
2018	13	0.13
2018	14	0.09
2018	15	0.07
