year	age	CatchWts	StockWts	StockSexmat	SSBwts
2018	1	123	30	-1	30
2018	2	461	198	0.045	198
2018	3	981	582	0.28	582
2018	4	1407	973	0.34	973
2018	5	2300	1963	0.965	1963
2018	6	2693	2459	0.747	2459
2018	7	2889	2719	0.857	2719
2018	8	3207	3156	0.917	3156
2018	9	3293	3278	1	3278
2018	10	3581	3695	1	3695
2018	11	3582	3697	1	3697
2018	12	3044	2930	1	2930
2018	13	3953	4255	1	4255
2018	14	4156	4570	1	4570
2019	1	123	30	0.002	30
2019	2	431	180	0.062	180
2019	3	929	538	0.349	538
2019	4	1562	1130	0.687	1130
2019	5	2001	1610	0.811	1610
2019	6	2806	2609	0.915	2609
2019	7	3128	3046	0.935	3046
2019	8	3283	3264	0.943	3264
2019	9	3527	3616	0.953	3616
2019	10	3593	3712	0.955	3712
2019	11	3806	4031	0.961	4031
2019	12	3807	4032	0.961	4032
2019	13	3403	3436	0.948	3436
2019	14	4074	4441	0.967	4441
2020	1	123	30	0.002	30
2020	2	433	181	0.063	181
2020	3	887	503	0.32	503
2020	4	1505	1071	0.665	1071
2020	5	2151	1784	0.84	1784
2020	6	2550	2276	0.893	2276
2020	7	3218	3172	0.94	3172
2020	8	3468	3529	0.95	3529
2020	9	3585	3701	0.954	3701
2020	10	3767	3971	0.96	3971
2020	11	3814	4043	0.961	4043
2020	12	3969	4279	0.965	4279
2020	13	3969	4280	0.965	4280
2020	14	3675	3834	0.957	3834
2021	1	123	30	0.002	30
2021	2	442	186	0.066	186
2021	3	890	506	0.322	506
2021	4	1457	1023	0.645	1023
2021	5	2096	1720	0.83	1720
2021	6	2680	2443	0.905	2443
2021	7	3013	2888	0.929	2888
2021	8	3536	3629	0.953	3629
2021	9	3722	3905	0.959	3905
2021	10	3809	4035	0.961	4035
2021	11	3940	4235	0.964	4235
2021	12	3975	4288	0.965	4288
2021	13	4085	4458	0.968	4458
2021	14	4085	4459	0.968	4459
2022	1	123	30	0.002	30
2022	2	442	186	0.066	186
2022	3	902	516	0.331	516
2022	4	1461	1027	0.646	1027
2022	5	2050	1666	0.821	1666
2022	6	2633	2382	0.901	2382
2022	7	3118	3032	0.935	3032
2022	8	3380	3402	0.947	3402
2022	9	3773	3981	0.96	3981
2022	10	3909	4187	0.964	4187
2022	11	3971	4282	0.965	4282
2022	12	4065	4427	0.967	4427
2022	13	4089	4465	0.968	4465
2022	14	4166	4586	0.969	4586
