#ReleaseY	RecaptureY	Yearclass	Nscan	R	r	Type
1980	1986	1974	194	1837	0	1
1980	1986	1975	208	1809	0	1
1980	1986	1976	126	1712	0	1
1980	1986	1977	51	300	0	1
1980	1986	1978	221	215	0	1
1980	1987	1974	205	1837	0	1
1980	1987	1975	197	1809	0	1
1980	1987	1976	240	1712	0	1
1980	1987	1977	278	300	0	1
1980	1987	1978	319	215	0	1
1980	1988	1975	70	1809	0	1
1980	1988	1976	156	1712	0	1
1980	1988	1977	136	300	0	1
1980	1988	1978	286	215	0	1
1980	1989	1976	121	1712	1	1
1980	1989	1977	81	300	0	1
1980	1989	1978	94	215	0	1
1980	1990	1977	11	300	0	1
1980	1990	1978	163	215	0	1
1980	1991	1978	172	215	0	1
1981	1986	1974	194	1234	0	1
1981	1986	1975	208	1241	0	1
1981	1986	1976	126	1227	0	1
1981	1986	1977	51	197	0	1
1981	1986	1978	221	1508	0	1
1981	1986	1979	611	493	0	1
1981	1987	1974	205	1234	0	1
1981	1987	1975	197	1241	0	1
1981	1987	1976	240	1227	0	1
1981	1987	1977	278	197	0	1
1981	1987	1978	319	1508	0	1
1981	1987	1979	802	493	1	1
1981	1988	1975	70	1241	0	1
1981	1988	1976	156	1227	0	1
1981	1988	1977	136	197	0	1
1981	1988	1978	286	1508	0	1
1981	1988	1979	485	493	0	1
1981	1989	1976	121	1227	0	1
1981	1989	1977	81	197	0	1
1981	1989	1978	94	1508	0	1
1981	1989	1979	241	493	0	1
1981	1990	1977	11	197	0	1
1981	1990	1978	163	1508	0	1
1981	1990	1979	85	493	0	1
1981	1991	1978	172	1508	0	1
1981	1991	1979	266	493	0	1
1981	1992	1979	220	493	0	1
1982	1986	1974	194	870	0	1
1982	1986	1975	208	1168	0	1
1982	1986	1976	126	1175	0	1
1982	1986	1977	51	162	1	1
1982	1986	1978	221	1518	0	1
1982	1986	1979	611	2275	0	1
1982	1986	1980	1112	842	1	1
1982	1987	1974	205	870	0	1
1982	1987	1975	197	1168	0	1
1982	1987	1976	240	1175	0	1
1982	1987	1977	278	162	0	1
1982	1987	1978	319	1518	0	1
1982	1987	1979	802	2275	0	1
1982	1987	1980	1734	842	0	1
1982	1988	1975	70	1168	0	1
1982	1988	1976	156	1175	0	1
1982	1988	1977	136	162	0	1
1982	1988	1978	286	1518	0	1
1982	1988	1979	485	2275	1	1
1982	1988	1980	1173	842	0	1
1982	1989	1976	121	1175	0	1
1982	1989	1977	81	162	0	1
1982	1989	1978	94	1518	0	1
1982	1989	1979	241	2275	1	1
1982	1989	1980	704	842	1	1
1982	1990	1977	11	162	0	1
1982	1990	1978	163	1518	0	1
1982	1990	1979	85	2275	0	1
1982	1990	1980	585	842	0	1
1982	1991	1978	172	1518	0	1
