#year	age	cn	cw	sw	mat	ssbw
1980	0	33101	57	1	0	1
1981	0	56682	60	1	0	1
1982	0	11180	53	1	0	1
1983	0	7333	50	1	0	1
1984	0	287287	31	1	0	1
1985	0	81799	55	1	0	1
1986	0	49983	39	1	0	1
1987	0	7403	76	1	0	1
1988	0	57644	55	1	0	1
1989	0	65400	49	1	0	1
1990	0	24246	85	1	0	1
1991	0	10007	68	1	0	1
1992	0	43447	51	1	0	1
1993	0	19354	61	1	0	1
1994	0	25368	46	1	0	1
1995	0	14759	72	1	0	1
1996	0	37956	58	1	0	1
1997	0	36012	76	1	0	1
1998	0	61127	65	1	0	1
1999	0	67003	62	1	0	1
2000	0	36345	63	1	0	1
2001	0	26034	69	1	0	1
2002	0	70409	52	1	0	1
2003	0	14744	81	1	0	1
2004	0	11553	67	1	0	1
2005	0	12426	48	1	0	1
2006	0	75651	38	1	0	1
2007	0	19302	89	1	0	1
2008	0	25886	51	1	0	1
2009	0	17615	104	1	0	1
2010	0	23453	48	1	0	1
2011	0	30429	29	1	0	1
2012	0	23877	89	1	0	1
2013	0	11325	91	1	0	1
2014	0	62142	43	1	0	1
2015	0	6732	51	1	0	1
2016	0	716	35	1	0	1
2017	0	28306	18	1	0	1
2018	0	6995	66	1	0	1
2019	0	6236	57	1	0	1
2020	0	6443	57	1	0	1
1980	1	411327	131	114.413757	0.100023421	114.413757
1981	1	276229	132	112.04303	0.103943783	112.04303
1982	1	213936	131	111.567325	0.104730434	111.567325
1983	1	47914	168	111.130612	0.105452606	111.130612
1984	1	31901	102	107.825189	0.110236995	107.825189
1985	1	268960	144	111.275789	0.110236995	111.275789
1986	1	58126	146	103.991189	0.110236995	103.991189
1987	1	40126	179	74.743678	0.110236995	74.743678
1988	1	152656	133	99.134789	0.110236995	99.134789
1989	1	64263	136	58.127667	0.110236995	58.127667
1990	1	140534	156	95.6454	0.110236995	95.6454
1991	1	58459	156	173.999	0.110236995	173.999
1992	1	83583	167	130.1784	0.110236995	130.1784
1993	1	128144	134	144.5694	0.110236995	144.5694
1994	1	147315	136	114.2452	0.110236995	114.2452
1995	1	81529	143	115.7788	0.110236995	115.7788
1996	1	119852	143	96.5996	0.110236995	96.5996
1997	1	144390	143	83.677	0.103836833	83.677
1998	1	99352	157	83.4675	0.103836833	83.4675
1999	1	73597	176	87.448	0.103836833	87.448
2000	1	102407	135	93.2423	0.111858362	93.2423
2001	1	40315	172	113.2379	0.111858362	113.2379
2002	1	222577	160	109.4496	0.111858362	109.4496
2003	1	187997	170	112.188	0.114561448	112.188
2004	1	31421	156	112.47	0.114561448	112.47
2005	1	46840	151	113.625	0.114561448	113.625
2006	1	149425	71	114.36	0.10200905	114.36
2007	1	88439	120	95.226667	0.10200905	95.226667
2008	1	59899	105	133.06	0.10200905	133.06
2009	1	36514	153	111.552383	0.103158643	111.552383
2010	1	78636	118	95.72104	0.103192473	95.72104
2011	1	62748	113	80.370051	0.103192473	80.370051
2012	1	66370	123	89.001171	0.100850114	89.001171
2013	1	47077	173	75.686429	0.099149149	75.686429
2014	1	44558	126	107.201304	0.099063458	107.201304
2015	1	104282	154	78.359384	0.112124298	78.359384
2016	1	57466	154	59.216902	0.110505116	59.216902
2017	1	43763	178	58.125592	0.109042392	58.125592
2018	1	40332	147	64.278569	0.092258374	64.278569
2019	1	41921	112	69.848711	0.092258374	69.848711
2020	1	52637	174	68.307734	0.092258374	68.307734
1980	2	393025	249	205.352733	0.521415979	205.352733
