#year age ind
2007 1 1.33
2010 1 0.03
2011 1 0.21
2012 1 0.5
2013 1 0.06
2014 1 0.01
2015 1 1.2
2016 1 0
2017 1 0.86
2018 1 2.18
2019 1 0.08
2007 2 1.86
2010 2 2.8
2011 2 0.26
2012 2 4.99
2013 2 7.78
2014 2 0.58
2015 2 0.83
2016 2 4.98
2017 2 0.12
2018 2 2.5
2019 2 1.35
2007 3 0.9
2010 3 1.52
2011 3 0.87
2012 3 1.22
2013 3 8.99
2014 3 7.8
2015 3 2.41
2016 3 1.37
2017 3 3.56
2018 3 0.5
2019 3 3.81
2007 4 0.24
2010 4 4.02
2011 4 1.11
2012 4 2.11
2013 4 2.14
2014 4 5.14
2015 4 5.77
2016 4 2.64
2017 4 1.95
2018 4 2.38
2019 4 1.21
2007 5 1
2010 5 3.06
2011 5 1.64
2012 5 1.82
2013 5 2.91
2014 5 2.61
2015 5 4.56
2016 5 5.24
2017 5 3.32
2018 5 1.2
2019 5 2.92
2007 6 0.16
2010 6 1.35
2011 6 1.22
2012 6 2.42
2013 6 2.87
2014 6 2.62
2015 6 1.94
2016 6 4.37
2017 6 4.68
2018 6 1.41
2019 6 2.86
2007 7 0.06
2010 7 0.53
2011 7 0.57
2012 7 1.64
2013 7 2.68
2014 7 2.67
2015 7 1.83
2016 7 1.89
2017 7 4.65
2018 7 2.33
2019 7 1.95
2007 8 0.04
2010 8 0.39
2011 8 0.28
2012 8 0.65
2013 8 1.27
2014 8 1.69
2015 8 1.04
2016 8 1.66
2017 8 1.75
2018 8 1.79
2019 8 3.91
2007 9 0.03
2010 9 0.2
2011 9 0.12
2012 9 0.34
2013 9 0.45
2014 9 0.74
2015 9 0.62
2016 9 1.11
2017 9 1.94
2018 9 1.05
2019 9 3.82
2007 10 0.01
2010 10 0.05
2011 10 0.07
2012 10 0.12
2013 10 0.19
2014 10 0.36
2015 10 0.32
2016 10 0.75
2017 10 0.63
2018 10 0.5
2019 10 1.5
2007 11 0.01
2010 11 0.03
2011 11 0.06
2012 11 0.07
2013 11 0.16
2014 11 0.09
2015 11 0.08
2016 11 0.45
2017 11 0.51
2018 11 0.56
2019 11 1.25
2007 12 0
2010 12 0.02
2011 12 0.02
2012 12 0.02
2013 12 0.04
2014 12 0.05
2015 12 0.07
2016 12 0.2
2017 12 0.12
2018 12 0.29
2019 12 0.58
2007 13 0.01
2010 13 0.01
2011 13 0.01
2012 13 0.01
2013 13 0.01
2014 13 0.02
2015 13 0.04
2016 13 0.07
2017 13 0.08
2018 13 0.14
2019 13 0.59
2007 14 0
2010 14 0.01
2011 14 0
2012 14 0.01
2013 14 0.02
2014 14 0
2015 14 0.02
2016 14 0.07
2017 14 0.04
2018 14 0.09
2019 14 0.57
