#year	age	ind
2007	1	1330
2007	2	1860
2007	3	900
2007	4	240
2007	5	1000
2007	6	160
2007	7	60
2007	8	40
2007	9	30
2007	10	10
2007	11	10
2007	12	10
2010	1	30
2010	2	2800
2010	3	1520
2010	4	4020
2010	5	3060
2010	6	1350
2010	7	530
2010	8	390
2010	9	200
2010	10	50
2010	11	30
2010	12	40
2011	1	210
2011	2	260
2011	3	870
2011	4	1110
2011	5	1640
2011	6	1220
2011	7	570
2011	8	280
2011	9	120
2011	10	70
2011	11	60
2011	12	30
2012	1	500
2012	2	4990
2012	3	1220
2012	4	2110
2012	5	1820
2012	6	2420
2012	7	1640
2012	8	650
2012	9	340
2012	10	120
2012	11	70
2012	12	40
2013	1	60
2013	2	7780
2013	3	8990
2013	4	2140
2013	5	2910
2013	6	2870
2013	7	2680
2013	8	1270
2013	9	450
2013	10	190
2013	11	160
2013	12	70
2014	1	10
2014	2	580
2014	3	7800
2014	4	5140
2014	5	2610
2014	6	2620
2014	7	2670
2014	8	1690
2014	9	740
2014	10	360
2014	11	90
2014	12	70
2015	1	1200
2015	2	830
2015	3	2410
2015	4	5770
2015	5	4560
2015	6	1940
2015	7	1830
2015	8	1040
2015	9	620
2015	10	320
2015	11	80
2015	12	130
2016	1	0
2016	2	4980
2016	3	1370
2016	4	2640
2016	5	5240
2016	6	4370
2016	7	1890
2016	8	1660
2016	9	1110
2016	10	750
2016	11	450
2016	12	340
2017	1	860
2017	2	120
2017	3	3560
2017	4	1950
2017	5	3320
2017	6	4680
2017	7	4650
2017	8	1750
2017	9	1940
2017	10	630
2017	11	510
2017	12	240
2018	1	2180
2018	2	2500
2018	3	500
2018	4	2380
2018	5	1200
2018	6	1410
2018	7	2330
2018	8	1790
2018	9	1050
2018	10	500
2018	11	560
2018	12	520
2019	1	80
2019	2	1350
2019	3	3810
2019	4	1210
2019	5	2920
2019	6	2860
2019	7	1950
2019	8	3910
2019	9	3820
2019	10	1500
2019	11	1250
2019	12	1740
