#year	age	ind
2010	3	1617.005
2012	3	1283.247
2013	3	9201.746
2014	3	7034.162
2015	3	2539.963
2016	3	1374.705
2017	3	3562.908
2018	3	496.595
2019	3	3814.661
2020	3	1430.995
2021	3	709.444
2010	4	4035.646
2012	4	2383.26
2013	4	2456.618
2014	4	4896.456
2015	4	6409.324
2016	4	2635.033
2017	4	1953.609
2018	4	2384.31
2019	4	1211.77
2020	4	3361.778
2021	4	1220.543
2010	5	3059.146
2012	5	2164.365
2013	5	3073.772
2014	5	2659.443
2015	5	4802.298
2016	5	5243.607
2017	5	3318.099
2018	5	1200.541
2019	5	2920.591
2020	5	2134.411
2021	5	1527.964
2010	6	1591.1
2012	6	2850.847
2013	6	3218.99
2014	6	2630.617
2015	6	1795.564
2016	6	4368.491
2017	6	4680.603
2018	6	1408.582
2019	6	2856.932
2020	6	2528.651
2021	6	367.017
2010	7	691.936
2012	7	1783.942
2013	7	2540.444
2014	7	2768.227
2015	7	1628.872
2016	7	1893.026
2017	7	4653.944
2018	7	2330.52
2019	7	1948.653
2020	7	2525.46
2021	7	1291.607
2010	8	413.253
2012	8	740.361
2013	8	1087.937
2014	8	1910.16
2015	8	1254.859
2016	8	1658.839
2017	8	1754.954
2018	8	1787.503
2019	8	3906.891
2020	8	2032.783
2021	8	811.226
2010	9	198.106
2012	9	299.49
2013	9	377.406
2014	9	849.01
2015	9	727.691
2016	9	1107.866
2017	9	1944.991
2018	9	1049.868
2019	9	3824.41
2020	9	2904.239
2021	9	1051.955
2010	10	65.803
2012	10	149.282
2013	10	144.695
2014	10	379.745
2015	10	270.562
2016	10	754.993
2017	10	626.406
2018	10	499.295
2019	10	1499.778
2020	10	3835.479
2021	10	969.868
2010	11	24.747
2012	11	84.344
2013	11	146.826
2014	11	95.304
2015	11	72.41
2016	11	450.1
2017	11	507.546
2018	11	557.573
2019	11	1248.16
2020	11	1495.649
2021	11	927.41
