#Year	Age	ind
2010	1	10.42254542
2010	2	3575.098733
2010	3	1617.004647
2010	4	4035.646375
2010	5	3059.145752
2010	6	1591.100113
2010	7	691.9357333
2010	8	413.2529621
2010	9	198.1058195
2010	10	65.8032538
2010	11	24.74686681
2010	12	42.6109860509
2012	1	921.3184417
2012	2	5420.720054
2012	3	1283.247147
2012	4	2383.260396
2012	5	2164.364674
2012	6	2850.847096
2012	7	1783.942032
2012	8	740.3609242
2012	9	299.4902855
2012	10	149.2819341
2012	11	84.34388635
2012	12	41.0527434316
2013	1	38.08129011
2013	2	6385.830908
2013	3	9201.746085
2013	4	2456.618468
2013	5	3073.772476
2013	6	3218.990141
2013	7	2540.444269
2013	8	1087.9368
2013	9	377.405941
2013	10	144.6947563
2013	11	146.8260073
2013	12	70.691483779
2014	1	13.01115457
2014	2	564.1198767
2014	3	7034.16218
2014	4	4896.455844
2014	5	2659.443344
2014	6	2630.616991
2014	7	2768.227202
2014	8	1910.16037
2014	9	849.0097472
2014	10	379.7454062
2014	11	95.30379159
2014	12	111.1770033773
2015	1	861.606515
2015	2	841.0995697
2015	3	2539.963074
2015	4	6409.324067
2015	5	4802.298144
2015	6	1795.563599
2015	7	1628.871993
2015	8	1254.858697
2015	9	727.6909644
2015	10	270.561744
2015	11	72.41027794
2015	12	72.626305099
2016	1	2.027018633
2016	2	4982.297931
2016	3	1374.704985
2016	4	2635.033113
2016	5	5243.607028
2016	6	4368.490989
2016	7	1893.025528
2016	8	1658.839349
2016	9	1107.865809
2016	10	754.9934078
2016	11	450.0996895
2016	12	339.620376652
2017	1	863.3131799
2017	2	115.7963615
2017	3	3562.908259
2017	4	1953.608715
2017	5	3318.098614
2017	6	4680.602924
2017	7	4653.944013
2017	8	1754.953766
2017	9	1944.991157
2017	10	626.4058799
2017	11	507.5456093
2017	12	237.654521716
2018	1	2184.822461
2018	2	2502.232873
2018	3	496.5952274
2018	4	2384.309757
2018	5	1200.541361
2018	6	1408.581759
2018	7	2330.520389
2018	8	1787.503048
2018	9	1049.867884
2018	10	499.2951533
2018	11	557.5727234
2018	12	517.81736541276
2019	1	77.21956
2019	2	1350.307711
2019	3	3814.985091
2019	4	1211.872951
2019	5	2920.839131
2019	6	2857.174723
2019	7	1948.818556
2019	8	3907.222926
2019	9	3824.734919
2019	10	1499.90542
2019	11	1248.266043
2019	12	1741.802971
2020	1	42.414
2020	2	1097.212
2020	3	1430.995
2020	4	3361.778
2020	5	2134.411
2020	6	2528.651
2020	7	2525.46
2020	8	2032.783
2020	9	2904.239
2020	10	3835.479
2020	11	1495.649
2020	12	3076.326
2021	1	88.32936874
2021	2	2128.038557
2021	3	709.4436902
2021	4	1220.54277
2021	5	1527.96374
2021	6	367.0174283
2021	7	1291.606913
2021	8	811.2259102
2021	9	1051.955374
2021	10	969.8680548
2021	11	927.4095901
2021	12	1128.61573996
