#year	age	cw	sw	mat	ssbw
2020	0	43	1	0	1
2020	1	141	68.604617	0.085917042	68.604617
2020	2	257.333333333333	190.848097	0.433906217	190.848097
2020	3	309.333333333333	249.976298	0.873056074	249.976298
2020	4	356.666666666667	293.369801	0.997146886	293.369801
2020	5	387	311.284038	1	311.284038
2020	6	412	345.844473	1	345.844473
2020	7	427.333333333333	365.485647	1	365.485647
2020	8	447.666666666667	371.362251	0.999334216	371.362251
2020	9	469	396.573862	1	396.573862
2020	10	490.666666666667	428.124222	1	428.124222
2020	11	506	431.390596	1	431.390596
2020	12	535	480.901986	1	480.901986
