#year	age	cwt	swt	mat	ssbwt
2021	1	-1	10	-1	-1
2021	2	-1	111	-1	-1
2021	3	1001	489	0.002	449
2021	4	1742	1014	0.005	1348
2021	5	2566	2096	0.111	2943
2021	6	3322	3090	0.43200000000000005	3817
2021	7	4075	4078	0.612	4523
2021	8	5405	5825	0.873	6061
2021	9	6969	7879	1	7879
2021	10	7838	8920	1	7838
2021	11	8484	10300	1	8484
2021	12	9631	11407	1	9631
2021	13	9601	13227	1	9601
2021	14	11945	11997	1	11945
2022	1	-1	10	-1	-1
2022	2	-1	111	-1	-1
2022	3	1001	489	0.002	449
2022	4	1742	1014	0.005	1348
2022	5	2566	2096	0.111	2943
2022	6	3322	3090	0.43200000000000005	3817
2022	7	4075	4078	0.612	4523
2022	8	5405	5825	0.873	6061
2022	9	6969	7879	1	7879
2022	10	7838	8920	1	7838
2022	11	8484	10300	1	8484
2022	12	9631	11407	1	9631
2022	13	9601	13227	1	9601
2022	14	11945	11997	1	11945
