#year	age	fj	cv
1985	1	17.18	0.086
1985	2	111.13	0.434
1985	3	35.39	0.187
1985	4	48.27	0.106
1985	5	64.86	0.104
1985	6	23.21	0.096
1985	7	15.46	0.098
1985	8	5.21	0.112
1985	9	3.56	0.17
1985	10	1.94	0.185
1985	11	0.31	0.399
1985	12	0.32	0.386
1985	13	0.09	0.438
1985	14	0.08	0.52
1986	1	15.61	0.094
1986	2	61.09	0.102
1986	3	96.43	0.103
1986	4	22.57	0.102
1986	5	21.74	0.089
1986	6	27.73	0.08
1986	7	7.36	0.088
1986	8	2.85	0.074
1986	9	0.97	0.076
1986	10	0.85	0.071
1986	11	0.31	0.087
1986	12	0.08	0.119
1986	13	0.06	0.142
1986	14	0.04	0.173
1987	1	3.66	0.127
1987	2	28.17	0.111
1987	3	104.43	0.089
1987	4	82.67	0.096
1987	5	21.47	0.099
1987	6	12.83	0.092
1987	7	13.01	0.087
1987	8	2.81	0.102
1987	9	0.99	0.091
1987	10	0.41	0.127
1987	11	0.45	0.141
1987	12	0.23	0.248
1987	13	0.13	0.283
1987	14	0.13	0.33
1988	1	3.45	0.186
1988	2	7.08	0.173
1988	3	73.15	0.111
1988	4	103.77	0.101
1988	5	69.57	0.105
1988	6	8.47	0.092
1988	7	6.57	0.087
1988	8	7.28	0.086
1988	9	0.7	0.107
1988	10	0.29	0.107
1988	11	0.12	0.112
1988	12	0.27	0.102
1988	13	0.06	0.164
1988	14	0.05	0.166
1989	1	4.02	0.126
1989	2	16.39	0.097
1989	3	21.28	0.131
1989	4	75.16	0.161
1989	5	71.44	0.127
1989	6	38.41	0.105
1989	7	4.82	0.089
1989	8	1.71	0.092
1989	9	1.41	0.11
1989	10	0.27	0.118
1989	11	0.19	0.134
1989	12	0.06	0.156
1989	13	0.01	0.33
1989	14	0.01	0.534
1990	1	5.47	0.147
1990	2	11.74	0.088
1990	3	26.44	0.139
1990	4	14.3	0.13
1990	5	27.98	0.098
1990	6	35.3	0.083
1990	7	16.78	0.083
1990	8	1.76	0.098
1990	9	0.58	0.118
1990	10	0.47	0.15
1990	11	0.13	0.286
1990	12	0	0.5
1990	13	0.04	0.349
1990	14	0.04	0.158
1991	1	3.95	0.118
1991	2	15.97	0.098
1991	3	18.11	0.075
1991	4	30.13	0.12
1991	5	15.44	0.114
1991	6	18.9	0.099
1991	7	22.46	0.099
1991	8	4.93	0.101
1991	9	0.94	0.137
1991	10	0.31	0.294
1991	11	0.22	0.453
1991	12	0	0.5
1991	13	0.08	0.552
1991	14	0.08	0.543
1992	1	0.71	0.111
1992	2	16.96	0.081
1992	3	33.51	0.073
1992	4	18.78	0.084
1992	5	16.44	0.092
1992	6	6.8	0.088
1992	7	6.33	0.076
1992	8	5.75	0.087
1992	9	1.48	0.107
1992	10	0.23	0.21
1992	11	0.04	0.342
1992	12	0.04	0.28
1992	13	0.04	0.266
1992	14	0	0.5
1993	1	3.55	0.201
1993	2	4.66	0.103
1993	3	30.75	0.084
1993	4	36.67	0.111
1993	5	13.49	0.109
1993	6	10.59	0.1
1993	7	2.42	0.096
1993	8	2.02	0.103
1993	9	1.39	0.102
1993	10	0.41	0.104
1993	11	0.13	0.143
1993	12	0.03	0.267
1993	13	0.03	0.491
1993	14	0.01	0.575
1994	1	14.22	0.267
1994	2	14.72	0.12
1994	3	9.02	0.085
1994	4	26.93	0.12
1994	5	22.47	0.14
1994	6	6.08	0.13
1994	7	3.95	0.124
1994	8	0.79	0.104
1994	9	0.53	0.124
1994	10	0.5	0.152
1994	11	0.18	0.174
1994	12	0.02	0.354
1994	13	0.03	0.217
1994	14	0.01	0.426
1995	1	1.08	0.169
1995	2	29.27	0.075
1995	3	24.77	0.087
1995	4	9.07	0.099
1995	5	24.56	0.099
1995	6	18.47	0.092
1995	7	4.04	0.093
1995	8	1.92	0.11
1995	9	0.39	0.143
1995	10	0.2	0.151
1995	11	0.24	0.147
1995	12	0.14	0.178
1995	13	0.03	0.103
1995	14	0	0.5
1996	1	3.7	0.119
1996	2	5.42	0.103
1996	3	42.5	0.109
1996	4	29.69	0.151
1996	5	13.25	0.145
1996	6	15.43	0.112
1996	7	15.22	0.101
1996	8	4.21	0.105
1996	9	1.16	0.155
1996	10	0.21	0.217
1996	11	0.07	0.351
1996	12	0.22	0.263
1996	13	0.1	0.387
1996	14	0.05	0.474
1997	1	1.2	0.145
1997	2	22.39	0.082
1997	3	13.61	0.076
1997	4	56.71	0.104
1997	5	29.74	0.101
1997	6	9.98	0.094
1997	7	9.46	0.098
1997	8	7.3	0.108
1997	9	0.62	0.151
1997	10	0.25	0.248
1997	11	0.19	0.176
1997	12	0.04	0.321
1997	13	0.15	0.383
1997	14	0.1	0.576
1998	1	8.04	0.122
1998	2	5.46	0.163
1998	3	30.11	0.097
1998	4	16.08	0.122
1998	5	63.24	0.173
1998	6	29.99	0.152
1998	7	7.01	0.113
1998	8	5.78	0.112
1998	9	3.33	0.127
1998	10	0.76	0.168
1998	11	0.2	0.139
1998	12	0	0.5
1998	13	0.02	0.377
1998	14	0	0.5
1999	1	7.38	0.11
1999	2	33.15	0.084
1999	3	6.99	0.075
1999	4	42.29	0.099
1999	5	13.27	0.096
1999	6	24.77	0.091
1999	7	12	0.088
1999	8	2.61	0.099
1999	9	1.47	0.077
1999	10	0.83	0.1
1999	11	0.19	0.095
1999	12	0.07	0.13
1999	13	0	0.5
