#year	age	ind
1996	1	6.323260599999999
1996	2	3.432869
1996	3	19.593863
1996	4	14.1905558
1996	5	5.5677655
1996	6	7.699391
1996	7	6.4887646
1996	8	1.651681
1996	9	0.3099045
1996	10	0.0832777
1996	11	0.020479599999999997
1996	12	0.0511195
1996	13	0.0135949
1996	14	0
1997	1	0.634307
1997	2	16.6569134
1997	3	6.6507249
1997	4	29.2489013
1997	5	16.3379929
1997	6	5.4006725
1997	7	3.7374034
1997	8	2.1342316
1997	9	0.3063145
1997	10	0.1446353
1997	11	0.013156600000000001
1997	12	0.028964200000000002
1997	13	0.0421207
1997	14	0
1998	1	5.7129155
1998	2	2.5878987999999996
1998	3	15.3350861
1998	4	7.2928657
1998	5	16.1036958
1998	6	16.1605215
1998	7	5.2414407999999995
1998	8	2.2508529
1998	9	1.2721988999999998
1998	10	0.2037011
1998	11	0.0496051
1998	12	0.024570599999999998
1998	13	0.0111208
1998	14	0
1999	1	7.9957240999999994
1999	2	13.7939352
1999	3	5.5813045
1999	4	23.1587689
1999	5	7.4490912
1999	6	10.0447593
1999	7	4.0849684
1999	8	0.5872421999999999
1999	9	0.34092809999999996
1999	10	0.3674727
1999	11	0.0324274
1999	12	0
1999	13	0.0616354
1999	14	0
2000	1	4.52038
2000	2	12.7358549
2000	3	15.2359817
2000	4	3.7580763
2000	5	11.5469832
2000	6	3.6471481
2000	7	2.7097325
2000	8	1.1382307
2000	9	0.3424905
2000	10	0.28323170000000003
2000	11	0.1084694
2000	12	0.018373
2000	13	0.0122113
2000	14	0
2001	1	6.8882779
2001	2	11.2877378
2001	3	19.3210658
2001	4	21.270621600000002
2001	5	3.3983337999999996
2001	6	6.9320322
2001	7	1.6511696999999999
2001	8	0.792007
2001	9	0.1755273
2001	10	0.0291535
2001	11	0.1027525
2001	12	0.0158066
2001	13	0
2001	14	0
2002	1	0.934208
2002	2	13.189077300000001
2002	3	15.837835
2002	4	23.389145199999998
2002	5	16.207066
2002	6	5.5340647
2002	7	4.8645937
2002	8	1.132051
2002	9	0.6270081999999999
2002	10	0.0782096
2002	11	0.1667765
2002	12	0.0192711
2002	13	0.036904900000000004
2002	14	0
2003	1	5.1983127
2003	2	2.7315799
2003	3	26.0532261
2003	4	17.3137515
2003	5	13.4727062
2003	6	9.1139534
2003	7	1.9151018999999998
2003	8	2.587995
2003	9	0.36812090000000003
2003	10	0.1044251
2003	11	0.08815110000000001
2003	12	0.017217
2003	13	0.0157699
2003	14	0
2004	1	3.567546
2004	2	15.8623222
2004	3	6.9051345
2004	4	30.288095
2004	5	19.379822100000002
2004	6	12.068809400000001
2004	7	7.603067
2004	8	1.9218315
2004	9	1.6833331999999999
2004	10	0.2316001
2004	11	0.1089602
2004	12	0.0730983
2004	13	0
2004	14	0
2005	1	2.1284747000000004
2005	2	8.8811837
2005	3	19.9597837
2005	4	6.7668687
2005	5	26.099548
2005	6	11.2967745
2005	7	4.0034527
2005	8	1.9617743
2005	9	0.3115408
2005	10	0.3156363
2005	11	0.030735099999999998
2005	12	0.0594036
2005	13	0.023786599999999998
2005	14	0
2006	1	4.4072480999999994
2006	2	4.4094171
2006	3	15.878186900000001
2006	4	22.8520355
2006	5	7.7845395
2006	6	14.4495939
2006	7	6.3087896
2006	8	2.1182717999999996
2006	9	1.0524208000000002
2006	10	0.1652853
2006	11	0.11315510000000001
2006	12	0
2006	13	0.0135566
2006	14	0
2007	1	3.6679312000000004
2007	2	9.5707033
2007	3	4.9007365
2007	4	12.1012625
2007	5	16.2611457
2007	6	6.5258088
2007	7	6.1048785
2007	8	3.2102501
2007	9	0.8020605
2007	10	0.5325831
2007	11	0.0402729
2007	12	0.08391269999999999
2007	13	0
2007	14	0
2008	1	6.6796511
2008	2	12.7371928
2008	3	15.0750549
2008	4	8.0632827
2008	5	17.949321899999997
2008	6	18.807439300000002
2008	7	5.8908168
2008	8	5.5883173
2008	9	1.4113368
2008	10	0.7388188
2008	11	0.2809584
2008	12	0.0928122
2008	13	0.0180098
2008	14	0.0264403
2009	1	6.7756266
2009	2	9.2597094
2009	3	13.7274323
2009	4	17.7112003
2009	5	12.755876599999999
2009	6	16.889766
2009	7	10.5710423
2009	8	3.2892086000000003
2009	9	2.759572
2009	10	0.9225266999999999
2009	11	0.30479670000000003
2009	12	0.16196739999999998
2009	13	0.012659
2009	14	0.047964900000000005
2010	1	11.901874099999999
2010	2	22.2130482
2010	3	16.4378584
2010	4	15.9737665
2010	5	18.082433
2010	6	9.8927405
2010	7	11.3079839
2010	8	6.7621035
2010	9	2.2642139
2010	10	1.2395454
2010	11	0.5484646999999999
2010	12	0.0698315
2010	13	0.10580010000000001
2010	14	0.0274266
2012	1	9.6769217
2012	2	10.7937233
2012	3	24.8465675
2012	4	21.5816355
2012	5	12.813087099999999
2012	6	11.1341971
2012	7	9.587824099999999
2012	8	5.4055144
2012	9	3.2477866
2012	10	1.4343641999999999
2012	11	0.5533456999999999
2012	12	0.1609151
2012	13	0.11116619999999999
2012	14	0.1233552
2013	1	8.0992219
2013	2	28.8227649
2013	3	14.0703494
2013	4	26.0475381
2013	5	21.290099
2013	6	12.6171749
2013	7	7.875749099999999
2013	8	6.0142316
2013	9	3.0606744
2013	10	1.8715136
2013	11	0.9891506999999999
2013	12	0.4585718
2013	13	0.2108783
2013	14	0.07800960000000001
2014	1	4.0305614
2014	2	20.3585485
2014	3	30.5206824
2014	4	15.9178614
2014	5	24.263867100000002
2014	6	19.8504976
2014	7	8.463081599999999
2014	8	5.7189825999999995
2014	9	3.6760278
2014	10	2.1120505
2014	11	1.3751619
2014	12	0.6929079
2014	13	0.313184
2014	14	0.1124386
2015	1	18.8518214
2015	2	12.8391155
2015	3	34.9551916
2015	4	43.5895196
2015	5	18.981581600000002
2015	6	27.605730100000002
2015	7	16.1354548
2015	8	5.386932900000001
2015	9	3.0989452
2015	10	1.0971908000000001
2015	11	0.5784646
2015	12	0.466931
2015	13	0.18985839999999998
2015	14	0.0785112
2016	1	12.0009401
2016	2	18.442992
2016	3	8.657853300000001
2016	4	17.909296100000002
2016	5	22.237465800000003
2016	6	10.996632400000001
2016	7	11.960548900000001
2016	8	6.7140360999999995
2016	9	2.6739463999999997
2016	10	1.5271528
2016	11	0.7603868
2016	12	0.4642036
2016	13	0.172715
2016	14	0
2017	1	6.0721514
2017	2	25.9573839
2017	3	32.3378912
2017	4	16.856289699999998
2017	5	31.308006
2017	6	31.9874954
2017	7	12.1293709
2017	8	9.7419596
2017	9	4.3700825
2017	10	1.5255428
2017	11	0.9708495
2017	12	0.4601706
2017	13	0.3478348
2017	14	0.1883385
2018	1	8.6917181
2018	2	10.6231085
2018	3	21.8442033
2018	4	20.9957478
2018	5	8.4036839
2018	6	13.431747099999999
2018	7	12.8722931
2018	8	7.4211746
2018	9	4.993404900000001
2018	10	2.3058495
2018	11	0.8512881
2018	12	0.3953765
2018	13	0.14294279999999998
2018	14	0.0704455
2019	1	8.2955447
2019	2	20.0529108
2019	3	19.3768561
2019	4	26.6036459
2019	5	18.0119905
2019	6	9.066462300000001
2019	7	8.6581017
2019	8	5.3019938
2019	9	2.4649165
2019	10	1.6785523
2019	11	0.7371866
2019	12	0.2641019
2019	13	0.1554357
2019	14	0.0227732
2020	1	17.9113672
2020	2	9.3360424
2020	3	14.9944267
2020	4	8.7835096
2020	5	12.7862919
2020	6	11.5082485
2020	7	4.0070589
2020	8	4.0418011
