#year	age	fj	cv
1996	1	6.3232606	0.34
1996	2	3.432869	0.182
1996	3	19.593863	0.111
1996	4	14.1905558	0.151
1996	5	5.5677655	0.13
1996	6	7.699391	0.128
1996	7	6.4887646	0.166
1996	8	1.651681	0.22
1996	9	0.3099045	0.267
1996	10	0.0832777	0.32
1996	11	0.0204796	0.17
1996	12	0.0511195	0.296
1996	13	0.0135949	0.499
1996	14	0	0.5
1997	1	0.634307	0.355
1997	2	16.6569134	0.545
1997	3	6.6507249	0.218
1997	4	29.2489013	0.26
1997	5	16.3379929	0.208
1997	6	5.4006725	0.143
1997	7	3.7374034	0.108
1997	8	2.1342316	0.118
1997	9	0.3063145	0.122
1997	10	0.1446353	0.134
1997	11	0.0131566	0.541
1997	12	0.0289642	0.271
1997	13	0.0421207	0.346
1997	14	0	0.5
1998	1	5.7129155	0.156
1998	2	2.5878988	0.123
1998	3	15.3350861	0.126
1998	4	7.2928657	0.112
1998	5	16.1036958	0.13
1998	6	16.1605215	0.186
1998	7	5.2414408	0.314
1998	8	2.2508529	0.344
1998	9	1.2721989	0.377
1998	10	0.2037011	0.337
1998	11	0.0496051	0.454
1998	12	0.0245706	0.405
1998	13	0.0111208	0.686
1998	14	0	0.5
1999	1	7.9957241	0.309
1999	2	13.7939352	0.125
1999	3	5.5813045	0.245
1999	4	23.1587689	0.298
1999	5	7.4490912	0.314
1999	6	10.0447593	0.228
1999	7	4.0849684	0.199
1999	8	0.5872422	0.191
1999	9	0.3409281	0.186
1999	10	0.3674727	0.207
1999	11	0.0324274	0.272
1999	12	0	0.5
1999	13	0.0616354	0.924
1999	14	0	0.5
2000	1	4.52038	0.178
2000	2	12.7358549	0.249
2000	3	15.2359817	0.142
2000	4	3.7580763	0.132
2000	5	11.5469832	0.149
2000	6	3.6471481	0.179
2000	7	2.7097325	0.155
2000	8	1.1382307	0.175
2000	9	0.3424905	0.325
2000	10	0.2832317	0.307
2000	11	0.1084694	0.307
2000	12	0.018373	0.275
2000	13	0.0122113	0.417
2000	14	0	0.5
2001	1	6.8882779	0.17
2001	2	11.2877378	0.131
2001	3	19.3210658	0.133
2001	4	21.2706216	0.106
2001	5	3.3983338	0.109
2001	6	6.9320322	0.116
2001	7	1.6511697	0.167
2001	8	0.792007	0.323
2001	9	0.1755273	0.4
2001	10	0.0291535	0.791
2001	11	0.1027525	0.587
2001	12	0.0158066	0.707
2001	13	0	0.5
2001	14	0	0.5
2002	1	0.934208	0.156
2002	2	13.1890773	0.115
2002	3	15.837835	0.117
2002	4	23.3891452	0.124
2002	5	16.207066	0.123
2002	6	5.5340647	0.115
2002	7	4.8645937	0.113
2002	8	1.132051	0.123
2002	9	0.6270082	0.148
2002	10	0.0782096	0.499
2002	11	0.1667765	0.452
2002	12	0.0192711	0.489
2002	13	0.0369049	0.47
2002	14	0	0.5
2003	1	5.1983127	0.132
2003	2	2.7315799	0.141
2003	3	26.0532261	0.115
2003	4	17.3137515	0.112
2003	5	13.4727062	0.107
2003	6	9.1139534	0.093
2003	7	1.9151019	0.097
2003	8	2.587995	0.135
2003	9	0.3681209	0.188
2003	10	0.1044251	0.319
2003	11	0.0881511	0.275
2003	12	0.017217	0.109
2003	13	0.0157699	0.641
2003	14	0	0.5
2004	1	3.567546	0.141
2004	2	15.8623222	0.176
2004	3	6.9051345	0.13
2004	4	30.288095	0.129
2004	5	19.3798221	0.106
2004	6	12.0688094	0.091
2004	7	7.603067	0.084
2004	8	1.9218315	0.08
2004	9	1.6833332	0.075
2004	10	0.2316001	0.086
2004	11	0.1089602	0.201
2004	12	0.0730983	0.547
2004	13	0	0.5
2004	14	0	0.5
2005	1	2.1284747	0.276
2005	2	8.8811837	0.103
2005	3	19.9597837	0.109
2005	4	6.7668687	0.102
2005	5	26.099548	0.119
2005	6	11.2967745	0.109
2005	7	4.0034527	0.097
2005	8	1.9617743	0.083
2005	9	0.3115408	0.085
2005	10	0.3156363	0.096
2005	11	0.0307351	0.311
2005	12	0.0594036	0.274
2005	13	0.0237866	0.154
2005	14	0	0.5
2006	1	4.4072481	0.156
2006	2	4.4094171	0.143
2006	3	15.8781869	0.126
2006	4	22.8520355	0.125
2006	5	7.7845395	0.104
2006	6	14.4495939	0.106
2006	7	6.3087896	0.108
2006	8	2.1182718	0.103
2006	9	1.0524208	0.093
2006	10	0.1652853	0.158
2006	11	0.1131551	0.195
2006	12	0	0.5
2006	13	0.0135566	0.251
2006	14	0	0.5
2007	1	3.6679312	0.219
2007	2	9.5707033	0.137
2007	3	4.9007365	0.107
2007	4	12.1012625	0.142
2007	5	16.2611457	0.14
2007	6	6.5258088	0.136
2007	7	6.1048785	0.131
2007	8	3.2102501	0.114
2007	9	0.8020605	0.111
2007	10	0.5325831	0.113
2007	11	0.0402729	0.143
2007	12	0.0839127	0.25
2007	13	0	0.5
2007	14	0	0.5
2008	1	6.6796511	0.239
2008	2	12.7371928	0.115
2008	3	15.0750549	0.09
2008	4	8.0632827	0.099
2008	5	17.9493219	0.103
2008	6	18.8074393	0.104
2008	7	5.8908168	0.142
2008	8	5.5883173	0.195
2008	9	1.4113368	0.234
2008	10	0.7388188	0.217
2008	11	0.2809584	0.148
2008	12	0.0928122	0.232
2008	13	0.0180098	0.25
2008	14	0.0264403	0.125
2009	1	6.7756266	0.148
2009	2	9.2597094	0.122
2009	3	13.7274323	0.127
2009	4	17.7112003	0.135
2009	5	12.7558766	0.131
2009	6	16.889766	0.125
2009	7	10.5710423	0.114
2009	8	3.2892086	0.108
2009	9	2.759572	0.104
2009	10	0.9225267	0.125
2009	11	0.3047967	0.147
2009	12	0.1619674	0.126
2009	13	0.012659	0.438
2009	14	0.0479649	0.173
2010	1	11.9018741	0.166
2010	2	22.2130482	0.161
2010	3	16.4378584	0.104
2010	4	15.9737665	0.111
2010	5	18.082433	0.118
2010	6	9.8927405	0.11
2010	7	11.3079839	0.145
