year landings
1979 51008915
1980 46314284
1981 56654941
1982 69385009
1983 65869011
1984 48236009
1985 50952909
1986 48880634
1987 41027658
1988 54148010
1989 62782073
1990 67117302
1991 54715137
1992 47198031
1993 48893155
1994 61608545
1995 61510168
1996 57222944
1997 44163967
1998 41527813
1999 45602925
2000 41398443
2001 40220458
2002 50508569
2003 61036229
2004 84917836
2005 97443234
2006 97724496
2007 109880447
2008 102888382
2009 82268173
2010 64237336
2011 49449435
2012 46048877
2013 44028357
2014 33853279
2015 39573599
2016 38089861
2017 36830562
2018 48724920
2019 57713142
2020 54547873
