#year	age	ind
1974	3	154
1974	4	0
1974	5	0
1974	6	0
1974	7	0
1974	8	0
1974	9	0
1974	10	0
1974	11	0
1974	12	0
1974	13	0
1974	14	0
1974	15	0
1975	3	5
1975	4	137
1975	5	19
1975	6	21
1975	7	2
1975	8	2
1975	9	0
1975	10	0
1975	11	0
1975	12	0
1975	13	0
1975	14	0
1975	15	0
1976	3	136
1976	4	20
1976	5	133
1976	6	17
1976	7	10
1976	8	3
1976	9	3
1976	10	0
1976	11	0
1976	12	0
1976	13	0
1976	14	0
1976	15	0
1978	3	212
1978	4	424
1978	5	46
1978	6	19
1978	7	139
1978	8	18
1978	9	18
1978	10	10
1978	11	0
1978	12	0
1978	13	0
1978	14	0
1978	15	0
1979	3	158
1979	4	334
1979	5	215
1979	6	49
1979	7	20
1979	8	111
1979	9	30
1979	10	30
1979	11	20
1979	12	0
1979	13	0
1979	14	0
1979	15	0
1980	3	19
1980	4	177
1980	5	360
1980	6	253
1980	7	51
1980	8	41
1980	9	93
1980	10	10
1980	11	0
1980	12	0
1980	13	0
1980	14	0
1980	15	0
1981	3	361
1981	4	462
1981	5	85
1981	6	170
1981	7	182
1981	8	33
1981	9	29
1981	10	58
1981	11	10
1981	12	0
1981	13	0
1981	14	0
1981	15	0
1982	3	17
1982	4	75
1982	5	159
1982	6	42
1982	7	123
1982	8	162
1982	9	24
1982	10	8
1982	11	46
1982	12	10
1982	13	0
1982	14	0
1982	15	0
1984	3	171
1984	4	310
1984	5	724
1984	6	80
1984	7	39
1984	8	15
1984	9	27
1984	10	26
1984	11	10
1984	12	5
1984	13	12
1984	14	0
1984	15	0
1985	3	28
1985	4	67
1985	5	56
1985	6	360
1985	7	65
1985	8	32
1985	9	16
1985	10	17
1985	11	18
1985	12	9
1985	13	7
1985	14	4
1985	15	5
1986	3	652
1986	4	208
1986	5	110
1986	6	86
1986	7	425
1986	8	67
1986	9	41
1986	10	17
1986	11	27
1986	12	26
1986	13	16
1986	14	6
1986	15	6
1988	3	115.544
1988	4	401.246
1988	5	858.012
1988	6	308.065
1988	7	57.103
1988	8	32.532
1988	9	70.426
1988	10	36.713
1988	11	23.586
1988	12	18.401
1988	13	24.278
1988	14	10.127
1988	15	3.926
1989	3	635.675
1989	4	201.284
1989	5	232.808
1989	6	381.417
1989	7	188.456
1989	8	46.448
1989	9	25.798
1989	10	32.819
1989	11	17.439
1989	12	10.373
1989	13	9.081
1989	14	5.419
1989	15	3.128
1990	3	138.78
1990	4	655.361
1990	5	179.364
1990	6	278.836
1990	7	592.982
1990	8	179.665
1990	9	22.182
1990	10	21.768
1990	11	13.08
1990	12	9.941
1990	13	1.989
1990	14	0
1990	15	0
1991	3	403.661
1991	4	132.235
1991	5	258.591
1991	6	94.373
1991	7	191.054
1991	8	514.403
1991	9	79.353
1991	10	37.618
1991	11	9.394
1991	12	12.636
1991	13	0
1991	14	0
1991	15	0
1992	3	598.157
1992	4	1049.99
1992	5	354.521
1992	6	319.866
1992	7	89.825
1992	8	138.333
1992	9	256.921
1992	10	21.29
1992	11	9.866
1992	12	0
1992	13	9.327
1992	14	0
1992	15	0
1993	3	267.862
1993	4	830.608
1993	5	729.556
1993	6	158.778
1993	7	130.781
1993	8	54.156
1993	9	96.33
1993	10	96.649
1993	11	24.542
1993	12	1.13
1993	13	1.13
1993	14	3.39
1993	15	0
1994	3	302.075
1994	4	505.279
1994	5	882.868
1994	6	496.297
1994	7	66.963
1994	8	58.295
1994	9	106.172
1994	10	48.874
1994	11	36.201
1994	12	0
1994	13	4.224
1994	14	18.08
1994	15	0
1996	3	216.991
1996	4	133.81
1996	5	761.581
1996	6	277.893
1996	7	385.027
1996	8	176.906
1996	9	98.15
1996	10	48.503
1996	11	16.226
1996	12	29.39
1996	13	47.945
1996	14	4.476
1996	15	0
1997	3	33.363
1997	4	270.706
1997	5	133.667
1997	6	468.678
1997	7	269.888
1997	8	325.664
1997	9	217.421
1997	10	92.979
1997	11	55.494
1997	12	39.048
1997	13	30.028
1997	14	53.216
1997	15	18.838
1998	3	291.884
1998	4	601.783
1998	5	81.055
1998	6	57.366
1998	7	287.046
1998	8	155.998
1998	9	203.382
1998	10	105.73
1998	11	35.469
1998	12	27.373
1998	13	14.234
1998	14	36.5
1998	15	14.235
1999	3	100.426
1999	4	255.937
1999	5	1081.504
1999	6	103.344
1999	7	51.786
1999	8	135.246
1999	9	70.514
1999	10	101.626
1999	11	53.935
1999	12	17.414
1999	13	13.636
1999	14	2.642
1999	15	4.209
2000	3	516.153
2000	4	839.491
2000	5	239.064
2000	6	605.858
2000	7	88.214
2000	8	43.353
2000	9	165.716
2000	10	89.916
2000	11	121.345
2000	12	77.6
2000	13	21.542
2000	14	3.74
2000	15	11.149
2001	3	190.281
2001	4	966.96
2001	5	1316.413
2001	6	191.001
2001	7	482.418
2001	8	34.377
2001	9	15.727
2001	10	37.94
2001	11	14.32
2001	12	15.413
2001	13	14.668
2001	14	1.705
2001	15	3.259
2002	3	1047.643
2002	4	287.004
2002	5	217.441
2002	6	260.497
2002	7	161.049
2002	8	345.852
2002	9	62.451
2002	10	57.105
2002	11	38.405
2002	12	46.044
2002	13	38.114
2002	14	21.062
2002	15	3.663
2003	3	1731.809
2003	4	1919.368
2003	5	553.149
2003	6	205.656
2003	7	262.362
2003	8	153.037
2003	9	276.199
2003	10	99.206
2003	11	47.621
2003	12	55.126
2003	13	18.798
2003	14	24.419
2003	15	24.112
2004	3	1115.255
2004	4	1434.976
2004	5	2058.222
2004	6	330.8
2004	7	109.146
2004	8	100.785
2004	9	38.693
2004	10	45.582
2004	11	7.039
2004	12	6.362
2004	13	7.509
2004	14	10.894
2004	15	0
2005	3	2417.128
2005	4	713.73
2005	5	1022.326
2005	6	1046.657
2005	7	171.326
2005	8	62.429
2005	9	44.313
2005	10	10.947
2005	11	23.942
2005	12	12.669
2005	13	0
2005	14	1.948
2005	15	11.088
2006	3	469.532
2006	4	443.877
2006	5	344.983
2006	6	818.738
2006	7	1220.902
2006	8	281.448
2006	9	122.183
2006	10	129.588
2006	11	73.339
2006	12	65.287
2006	13	10.115
2006	14	9.205
2006	15	3.548
2007	3	109.959
2007	4	608.205
2007	5	1059.597
2007	6	410.145
2007	7	424.525
2007	8	693.423
2007	9	95.997
2007	10	123.748
2007	11	48.773
2007	12	0.955
2007	13	0
2007	14	0
2007	15	0
2008	3	90.231
2008	4	456.773
2008	5	289.26
2008	6	541.585
2008	7	309.443
2008	8	402.889
2008	9	702.708
2008	10	221.626
2008	11	244.772
2008	12	13.997
2008	13	22.113
2008	14	68.105
2008	15	10.136
2009	3	149.466
2009	4	196.127
2009	5	416.862
2009	6	288.156
2009	7	457.659
2009	8	266.975
2009	9	225.747
2009	10	168.96
