#year	age	ind
1973	2	154
1973	3	0
1973	4	0
1973	5	0
1973	6	0
1973	7	0
1973	8	0
1973	9	0
1973	10	0
1973	11	0
1973	12	0
1973	13	0
1973	14	0
1973	15	0
1974	2	5
1974	3	137
1974	4	19
1974	5	21
1974	6	2
1974	7	2
1974	8	0
1974	9	0
1974	10	0
1974	11	0
1974	12	0
1974	13	0
1974	14	0
1974	15	0
1975	2	136
1975	3	20
1975	4	133
1975	5	17
1975	6	10
1975	7	3
1975	8	3
1975	9	0
1975	10	0
1975	11	0
1975	12	0
1975	13	0
1975	14	0
1975	15	0
1977	2	212
1977	3	424
1977	4	46
1977	5	19
1977	6	139
1977	7	18
1977	8	18
1977	9	10
1977	10	0
1977	11	0
1977	12	0
1977	13	0
1977	14	0
1977	15	0
1978	2	158
1978	3	334
1978	4	215
1978	5	49
1978	6	20
1978	7	111
1978	8	30
1978	9	30
1978	10	20
1978	11	0
1978	12	0
1978	13	0
1978	14	0
1978	15	0
1979	2	19
1979	3	177
1979	4	360
1979	5	253
1979	6	51
1979	7	41
1979	8	93
1979	9	10
1979	10	0
1979	11	0
1979	12	0
1979	13	0
1979	14	0
1979	15	0
1980	2	361
1980	3	462
1980	4	85
1980	5	170
1980	6	182
1980	7	33
1980	8	29
1980	9	58
1980	10	10
1980	11	0
1980	12	0
1980	13	0
1980	14	0
1980	15	0
1981	2	17
1981	3	75
1981	4	159
1981	5	42
1981	6	123
1981	7	162
1981	8	24
1981	9	8
1981	10	46
1981	11	10
1981	12	0
1981	13	0
1981	14	0
1981	15	0
1983	2	171
1983	3	310
1983	4	724
1983	5	80
1983	6	39
1983	7	15
1983	8	27
1983	9	26
1983	10	10
1983	11	5
1983	12	12
1983	13	0
1983	14	0
1983	15	0
1984	2	28
1984	3	67
1984	4	56
1984	5	360
1984	6	65
1984	7	32
1984	8	16
1984	9	17
1984	10	18
1984	11	9
1984	12	7
1984	13	4
1984	14	5
1984	15	5
1985	2	652
1985	3	208
1985	4	110
1985	5	86
1985	6	425
1985	7	67
1985	8	41
1985	9	17
1985	10	27
1985	11	26
1985	12	16
1985	13	6
1985	14	6
1985	15	1
1987	2	115.544
1987	3	401.246
1987	4	858.012
1987	5	308.065
1987	6	57.103
1987	7	32.532
1987	8	70.426
1987	9	36.713
1987	10	23.586
1987	11	18.401
1987	12	24.278
1987	13	10.127
1987	14	3.926
1987	15	4.858
1988	2	635.675
1988	3	201.284
1988	4	232.808
1988	5	381.417
1988	6	188.456
1988	7	46.448
1988	8	25.798
1988	9	32.819
1988	10	17.439
1988	11	10.373
1988	12	9.081
1988	13	5.419
1988	14	3.128
1988	15	5.007
1989	2	138.78
1989	3	655.361
1989	4	179.364
1989	5	278.836
1989	6	592.982
1989	7	179.665
1989	8	22.182
1989	9	21.768
1989	10	13.08
1989	11	9.941
1989	12	1.989
1989	13	0
1989	14	0
1989	15	0
1990	2	403.661
1990	3	132.235
1990	4	258.591
1990	5	94.373
1990	6	191.054
1990	7	514.403
1990	8	79.353
1990	9	37.618
1990	10	9.394
1990	11	12.636
1990	12	0
1990	13	0
1990	14	0
1990	15	0
1991	2	598.157
1991	3	1049.99
1991	4	354.521
1991	5	319.866
1991	6	89.825
1991	7	138.333
1991	8	256.921
1991	9	21.29
1991	10	9.866
1991	11	0
1991	12	9.327
1991	13	0
1991	14	0
1991	15	1.494
1992	2	267.862
1992	3	830.608
1992	4	729.556
1992	5	158.778
1992	6	130.781
1992	7	54.156
1992	8	96.33
1992	9	96.649
1992	10	24.542
1992	11	1.13
1992	12	1.13
1992	13	3.39
1992	14	0
1992	15	0
1993	2	302.075
1993	3	505.279
1993	4	882.868
1993	5	496.297
1993	6	66.963
1993	7	58.295
1993	8	106.172
1993	9	48.874
1993	10	36.201
1993	11	0
1993	12	4.224
1993	13	18.08
1993	14	0
1993	15	0
1995	2	216.991
1995	3	133.81
1995	4	761.581
1995	5	277.893
1995	6	385.027
1995	7	176.906
1995	8	98.15
1995	9	48.503
1995	10	16.226
1995	11	29.39
1995	12	47.945
1995	13	4.476
1995	14	0
1995	15	0
1996	2	33.363
1996	3	270.706
1996	4	133.667
1996	5	468.678
1996	6	269.888
1996	7	325.664
1996	8	217.421
1996	9	92.979
1996	10	55.494
1996	11	39.048
1996	12	30.028
1996	13	53.216
1996	14	18.838
1996	15	12.612
1997	2	291.884
1997	3	601.783
1997	4	81.055
1997	5	57.366
1997	6	287.046
1997	7	155.998
1997	8	203.382
1997	9	105.73
1997	10	35.469
1997	11	27.373
1997	12	14.234
1997	13	36.5
1997	14	14.235
1997	15	11.57
1998	2	100.426
1998	3	255.937
1998	4	1081.504
1998	5	103.344
1998	6	51.786
1998	7	135.246
1998	8	70.514
1998	9	101.626
1998	10	53.935
1998	11	17.414
1998	12	13.636
1998	13	2.642
1998	14	4.209
1998	15	8.775
1999	2	516.153
1999	3	839.491
1999	4	239.064
1999	5	605.858
1999	6	88.214
1999	7	43.353
1999	8	165.716
1999	9	89.916
1999	10	121.345
1999	11	77.6
1999	12	21.542
1999	13	3.74
1999	14	11.149
1999	15	0
2000	2	190.281
2000	3	966.96
2000	4	1316.413
2000	5	191.001
2000	6	482.418
2000	7	34.377
2000	8	15.727
2000	9	37.94
2000	10	14.32
2000	11	15.413
2000	12	14.668
2000	13	1.705
2000	14	3.259
2000	15	0
2001	2	1047.643
2001	3	287.004
2001	4	217.441
2001	5	260.497
2001	6	161.049
2001	7	345.852
2001	8	62.451
2001	9	57.105
2001	10	38.405
2001	11	46.044
2001	12	38.114
2001	13	21.062
2001	14	3.663
2001	15	0
2002	2	1731.809
2002	3	1919.368
2002	4	553.149
2002	5	205.656
2002	6	262.362
2002	7	153.037
2002	8	276.199
2002	9	99.206
2002	10	47.621
2002	11	55.126
2002	12	18.798
2002	13	24.419
2002	14	24.112
2002	15	1.377
2003	2	1115.255
2003	3	1434.976
2003	4	2058.222
2003	5	330.8
2003	6	109.146
2003	7	100.785
2003	8	38.693
2003	9	45.582
2003	10	7.039
2003	11	6.362
2003	12	7.509
2003	13	10.894
2003	14	0
2003	15	2.289
2004	2	2417.128
2004	3	713.73
2004	4	1022.326
2004	5	1046.657
2004	6	171.326
2004	7	62.429
2004	8	44.313
2004	9	10.947
2004	10	23.942
2004	11	12.669
2004	12	0
2004	13	1.948
2004	14	11.088
2004	15	0
2005	2	469.532
2005	3	443.877
2005	4	344.983
2005	5	818.738
2005	6	1220.902
2005	7	281.448
2005	8	122.183
2005	9	129.588
2005	10	73.339
2005	11	65.287
2005	12	10.115
2005	13	9.205
2005	14	3.548
2005	15	12.417
2006	2	109.959
2006	3	608.205
2006	4	1059.597
2006	5	410.145
2006	6	424.525
2006	7	693.423
2006	8	95.997
2006	9	123.748
2006	10	48.773
2006	11	0.955
2006	12	0
2006	13	0
2006	14	0
2006	15	0.48
2007	2	90.231
2007	3	456.773
2007	4	289.26
2007	5	541.585
2007	6	309.443
2007	7	402.889
2007	8	702.708
2007	9	221.626
2007	10	244.772
2007	11	13.997
2007	12	22.113
2007	13	68.105
2007	14	10.136
2007	15	2.8
2008	2	149.466
2008	3	196.127
2008	4	416.862
2008	5	288.156
2008	6	457.659
2008	7	266.975
2008	8	225.747
2008	9	168.96
2008	10	29.922
2008	11	26.281
2008	12	17.79
2008	13	9.881
2008	14	0.974
2008	15	3.195
2009	2	151.066
2009	3	315.941
2009	4	490.653
2009	5	554.818
2009	6	271.445
2009	7	327.275
2009	8	149.143
2009	9	83.875
2009	10	156.92
2009	11	36.666
2009	12	13.649
2009	13	8.507
2009	14	1.458
2009	15	5.59
2010	2	106.178
2010	3	280.582
2010	4	228.857
2010	5	304.885
2010	6	296.254
2010	7	138.686
2010	8	301.285
2010	9	60.997
2010	10	141.323
2010	11	97.412
2010	12	37.006
2010	13	0
2010	14	4.018
2010	15	0
2011	2	704.863
2011	3	977.323
2011	4	434.876
2011	5	313.742
2011	6	272.14
2011	7	239.32
2011	8	154.581
2011	9	175.088
2011	10	84.582
2011	11	92.435
2011	12	89.376
2011	13	17.638
2011	14	6.808
2011	15	6.989
2012	2	178.5
2012	3	781.1
2012	4	631.4
2012	5	166.6
2012	6	127
2012	7	142
2012	8	110.1
2012	9	97
2012	10	74.3
2012	11	69.5
2012	12	43.4
2012	13	38.5
2012	14	7.5
2012	15	0.8
2013	2	15.919
2013	3	314.865
2013	4	218.715
2013	5	344.981
2013	6	151.631
2013	7	132.767
2013	8	120.756
2013	9	118.377
2013	10	89.555
2013	11	74.602
2013	12	48.695
