#year	age	cno	cwt	swt	mat	ssbwt
1985	1	0	16	79	0.011	79
1985	2	0	80	152	0.09	152
1985	3	0	470	280	0.055	280
1985	4	1431	493	382	0.174	382
1985	5	2627	616	525	0.322	525
1985	6	3387	624	668	0.512	668
1985	7	3940	719	791	0.619	791
1985	8	4025	745	899	0.742	899
1985	9	921	943	1038	0.798	1038
1985	10	1583	1300	1195	0.862	1195
1985	11	687	1296	1312	0.918	1312
1985	12	87	1749	1440	0.935	1440
1985	13	120	1938	1626	0.926	1626
1985	14	0	1851	1585	0.897	1585
1985	15	0	1884	1816	0.927	1816
1985	16	0	1924	1924	1	1924
1986	1	-1	16	79	0.011	79
1986	2	-1	80	152	0.09	152
1986	3	-1	470	280	0.055	280
1986	4	-1	580	382	0.174	382
1986	5	-1	683	525	0.322	525
1986	6	-1	808	668	0.512	668
1986	7	-1	934	791	0.619	791
1986	8	-1	1080	899	0.742	899
1986	9	-1	1232	1038	0.798	1038
1986	10	-1	1352	1195	0.862	1195
1986	11	-1	1465	1312	0.918	1312
1986	12	-1	1578	1440	0.935	1440
1986	13	-1	1704	1626	0.926	1626
1986	14	-1	1851	1585	0.897	1585
1986	15	-1	1884	1816	0.927	1816
1986	16	-1	1924	1924	1	1924
1987	1	-1	16	79	0.011	79
1987	2	-1	80	117	0	117
1987	3	-1	470	255	0	255
1987	4	-1	580	398	0.082	398
1987	5	-1	683	515	0.143	515
1987	6	-1	808	620	0.381	620
1987	7	-1	934	760	0.393	760
1987	8	-1	1080	807	0.759	807
1987	9	-1	1232	886	0.71	886
1987	10	-1	1352	1087	0.872	1087
1987	11	-1	1465	1350	1	1350
1987	12	-1	1578	1341	1	1341
1987	13	-1	1704	1764	1	1764
1987	14	-1	1851	1612	1	1612
1987	15	-1	1884	1709	1	1709
1987	16	-1	1924	1924	1	1924
1988	1	0	16	79	0.011	79
1988	2	0	80	152	0.09	152
1988	3	0	470	250	0	250
1988	4	3206	461	325	0.11	325
1988	5	7542	498	512	0.379	512
1988	6	5029	575	603	0.47	603
1988	7	3110	566	664	0.576	664
1988	8	3023	769	723	0.635	723
1988	9	1798	667	860	0.864	860
1988	10	323	706	1142	0.731	1142
1988	11	510	624	1026	0.864	1026
1988	12	0	1578	1467	0.804	1467
1988	13	106	617	2266	1	2266
1988	14	0	1851	2030	1	2030
1988	15	0	1884	1816	0.927	1816
1988	16	0	1924	1924	1	1924
1989	1	0	16	79	0.011	79
1989	2	0	80	71	0.007	71
1989	3	50	437	143	0	143
1989	4	509	433	324	0.26	324
1989	5	3311	526	435	0.058	435
1989	6	3768	603	581	0.223	581
1989	7	2684	621	614	0.196	614
1989	8	1111	795	746	0.49	746
1989	9	1566	849	808	0.432	808
1989	10	1179	1071	941	0.639	941
1989	11	432	788	1079	0.583	1079
1989	12	1014	1357	1494	0.76	1494
1989	13	0	1704	1626	0.926	1626
1989	14	0	1851	907	0	907
1989	15	109	1764	1816	0.927	1816
1989	16	0	1924	1924	1	1924
1990	1	-1	16	62	0.019	62
1990	2	-1	80	152	0.09	152
1990	3	-1	470	263	0	263
1990	4	-1	580	348	0	348
1990	5	-1	683	484	0.216	484
1990	6	-1	808	608	0.07	608
1990	7	-1	934	618	0.245	618
1990	8	-1	1080	729	0.302	729
1990	9	-1	1232	903	0.661	903
1990	10	-1	1352	1068	0.55	1068
1990	11	-1	1465	906	1	906
1990	12	-1	1578	1591	0.9	1591
1990	13	-1	1704	1064	0	1064
1990	14	-1	1851	1585	0.897	1585
1990	15	-1	1884	1292	0.5	1292
1990	16	-1	1924	1924	1	1924
1991	1	0	16	69	0.011	69
1991	2	0	80	152	0.09	152
1991	3	67	353	263	0	263
1991	4	1122	459	301	0.047	301
1991	5	7465	510	406	0.123	406
1991	6	2638	567	569	0.235	569
1991	7	3221	617	671	0.304	671
1991	8	2603	649	739	0.412	739
1991	9	853	699	834	0.517	834
1991	10	431	892	963	0.727	963
1991	11	28	2121	907	0.604	907
1991	12	66	1380	1418	1	1418
1991	13	0	1704	1336	0.72	1336
1991	14	0	1851	1649	0.473	1649
1991	15	53	1279	1632	0.692	1632
1991	16	0	1924	1924	1	1924
1992	1	0	16	75	0.01	75
1992	2	0	80	152	0.09	152
1992	3	83	425	203	0.087	203
1992	4	1471	432	319	0.099	319
1992	5	3273	549	455	0.145	455
1992	6	5559	577	582	0.269	582
1992	7	3042	642	695	0.413	695
1992	8	2253	583	852	0.595	852
1992	9	1321	642	999	0.662	999
1992	10	481	1194	1298	0.645	1298
1992	11	112	920	1431	1	1431
1992	12	0	1578	1311	0.669	1311
1992	13	0	1704	1626	0.926	1626
1992	14	0	1851	1585	0.897	1585
1992	15	0	1884	1816	0.927	1816
1992	16	0	1924	1924	1	1924
1993	1	0	16	79	0.011	79
1993	2	0	80	152	0.09	152
1993	3	2035	442	192	0	192
1993	4	5974	460	328	0.022	328
1993	5	4679	571	455	0.133	455
1993	6	3076	700	555	0.261	555
1993	7	2046	799	744	0.618	744
1993	8	1222	878	798	0.697	798
1993	9	1187	1031	744	0.612	744
1993	10	525	878	937	0.687	937
1993	11	89	1208	1198	0.93	1198
1993	12	117	1607	1194	0.66	1194
1993	13	0	1704	1534	0.992	1534
1993	14	0	1851	1368	1	1368
1993	15	32	1729	1593	1	1593
1993	16	0	1924	1924	1	1924
1994	1	0	16	79	0.011	79
1994	2	0	80	79	0.005	79
1994	3	1419	414	242	0	242
1994	4	5933	464	346	0.091	346
1994	5	6336	532	421	0.165	421
1994	6	3079	597	597	0.366	597
1994	7	2905	619	666	0.437	666
1994	8	720	791	828	0.785	828
1994	9	682	1060	936	0.728	936
1994	10	265	971	978	0.924	978
1994	11	118	865	1293	1	1293
1994	12	30	636	1521	1	1521
1994	13	86	1078	1661	1	1661
1994	14	193	1393	1585	0.897	1585
1994	15	27	1749	1816	0.927	1816
1994	16	59	768	768	1	768
1995	1	0	16	79	0.011	79
1995	2	0	80	121	0.004	121
1995	3	890	409	190	0	190
1995	4	2132	458	275	0.255	275
1995	5	6392	506	422	0.195	422
1995	6	3914	569	525	0.447	525
1995	7	2051	762	815	0.479	815
1995	8	1306	873	928	0.692	928
1995	9	464	1020	1349	0.845	1349
1995	10	193	1007	1189	0.842	1189
1995	11	291	1255	1775	1	1775
1995	12	86	1138	1440	0.935	1440
1995	13	126	1204	1626	0.926	1626
1995	14	86	2152	1585	0.897	1585
1995	15	37	1655	1816	0.927	1816
1995	16	35	1475	1475	1	1475
1996	1	0	16	79	0.011	79
1996	2	0	80	239	0	239
1996	3	354	382	246	0	246
1996	4	1624	468	294	0.041	294
1996	5	2270	556	398	0.224	398
1996	6	5124	620	502	0.281	502
1996	7	3211	717	673	0.445	673
1996	8	1807	856	850	0.599	850
1996	9	920	1032	1016	0.55	1016
1996	10	382	1020	1389	1	1389
1996	11	315	1056	1312	0.918	1312
1996	12	286	1229	1440	0.935	1440
1996	13	241	1042	1626	0.926	1626
1996	14	59	1225	1585	0.897	1585
1996	15	30	1549	1816	0.927	1816
1996	16	41	1221	1221	1	1221
1997	1	0	16	79	0.011	79
1997	2	0	80	152	0.09	152
1997	3	288	421	235	0	235
1997	4	1701	521	316	0	316
1997	5	3571	588	460	0.204	460
1997	6	2106	672	573	0.425	573
1997	7	4013	745	734	0.284	734
1997	8	1919	824	721	0.423	721
1997	9	803	984	937	0.477	937
1997	10	355	1069	958	0.781	958
1997	11	159	1100	1246	0.735	1246
1997	12	156	1179	1343	0.79	1343
1997	13	172	1289	1141	1	1141
1997	14	83	1447	1270	1	1270
1997	15	47	1488	1816	0.485	1816
1997	16	48	1488	1488	1	1488
1998	1	0	16	79	0.011	79
1998	2	0	80	81	0.055	81
1998	3	910	380	256	0	256
1998	4	1036	438	303	0.063	303
1998	5	3142	565	488	0.327	488
1998	6	2604	646	548	0.389	548
1998	7	1192	790	632	0.625	632
1998	8	1450	924	735	0.699	735
1998	9	549	987	782	0.597	782
1998	10	197	1267	850	0.734	850
1998	11	128	1261	1004	1	1004
1998	12	42	1368	1125	1	1125
1998	13	28	1268	1626	0.926	1626
1998	14	15	1747	1466	0.587	1466
1998	15	24	2038	1743	1	1743
1998	16	0	1924	1924	1	1924
1999	1	0	16	79	0.011	79
1999	2	0	80	152	0.09	152
1999	3	272	433	310	0	310
1999	4	1150	553	371	0.102	371
1999	5	1506	598	447	0.168	447
1999	6	1880	708	728	0.505	728
1999	7	1651	800	707	0.682	707
1999	8	1078	863	781	0.706	781
1999	9	1102	1049	899	0.684	899
1999	10	316	1233	820	0.71	820
1999	11	164	1376	1138	0.852	1138
1999	12	89	1603	904	1	904
1999	13	59	1711	1506	1	1506
1999	14	33	1912	1719	1	1719
1999	15	0	1264	1816	0.927	1816
1999	16	7	2399	2399	1	2399
2000	1	0	16	79	0.011	79
2000	2	0	80	152	0.09	152
2000	3	417	361	99	0	99
2000	4	274	448	310	0.345	310
2000	5	828	619	445	0.133	445
2000	6	1120	743	565	0.368	565
2000	7	1369	902	667	0.363	667
2000	8	915	1010	807	0.626	807
2000	9	560	983	892	0.62	892
2000	10	458	1120	977	0.805	977
2000	11	236	1256	966	0.825	966
2000	12	86	1518	1414	0.996	1414
2000	13	22	1630	1280	1	1280
2000	14	12	1846	1585	0.897	1585
2000	15	13	1856	1816	0.927	1816
2000	16	8	1896	1896	1	1896
2001	1	0	16	133	0.002	133
2001	2	0	80	152	0.09	152
2001	3	443	376	356	0	356
2001	4	1077	523	401	0.091	401
2001	5	918	630	517	0.202	517
2001	6	1141	790	668	0.418	668
2001	7	855	917	790	0.567	790
2001	8	756	1054	785	0.862	785
2001	9	487	1122	910	0.96	910
2001	10	248	1200	983	0.902	983
2001	11	130	1330	1091	1	1091
2001	12	107	1537	1137	1	1137
2001	13	21	1644	1286	1	1286
2001	14	7	2339	1585	0.897	1585
2001	15	0	1884	1764	1	1764
2001	16	0	1924	1924	1	1924
2002	1	0	16	79	0.011	79
2002	2	0	80	152	0.09	152
2002	3	109	413	256	0	256
2002	4	1319	516	360	0.031	360
2002	5	1850	625	500	0.206	500
2002	6	995	738	668	0.556	668
2002	7	954	848	787	0.661	787
2002	8	635	1015	862	0.866	862
2002	9	432	1112	922	0.947	922
2002	10	243	1243	1287	0.816	1287
2002	11	127	1418	1372	1	1372
2002	12	74	1744	1440	0.935	1440
2002	13	25	1694	1516	1	1516
2002	14	0	1851	1585	0.897	1585
2002	15	4	1731	1816	0.927	1816
2002	16	0	1924	1924	1	1924
2003	1	0	16	78	0.001	78
2003	2	0	80	152	0.003	152
2003	3	65	421	280	0.055	280
2003	4	658	506	390	0.071	390
2003	5	1845	595	491	0.226	491
2003	6	1729	720	639	0.543	639
2003	7	936	869	773	0.704	773
2003	8	637	977	783	0.76	783
2003	9	408	1072	1003	0.962	1003
2003	10	271	1170	1083	1	1083
2003	11	169	1449	1400	0.768	1400
2003	12	62	1676	1553	1	1553
2003	13	33	1982	1719	1	1719
2003	14	11	2052	1585	0.897	1585
2003	15	0	1736	1816	0.927	1816
2003	16	4	2014	2014	1	2014
2004	1	0	16	79	0.011	79
2004	2	0	80	140	0.011	140
2004	3	69	419	547	0.271	547
2004	4	704	533	386	0	386
2004	5	1571	676	490	0.189	490
2004	6	2085	759	587	0.412	587
2004	7	1271	881	798	0.729	798
2004	8	608	1047	858	0.794	858
2004	9	369	1162	982	0.857	982
2004	10	210	1314	1303	1	1303
2004	11	98	1503	1269	1	1269
2004	12	66	1698	1743	1	1743
2004	13	19	2082	2464	1	2464
2004	14	2	1284	1585	0.897	1585
2004	15	6	1784	1816	0.927	1816
2004	16	0	1924	1924	1	1924
2005	1	0	16	79	0.011	79
2005	2	0	80	152	0.09	152
2005	3	66	406	204	0	204
2005	4	716	512	339	0.164	339
2005	5	2020	641	569	0.357	569
2005	6	1868	807	665	0.54	665
2005	7	1460	896	821	0.676	821
2005	8	778	986	899	0.763	899
2005	9	354	1060	1114	0.932	1114
2005	10	150	1218	1252	0.946	1252
2005	11	61	1192	1443	0.833	1443
2005	12	11	916	920	1	920
2005	13	5	1479	1626	0.926	1626
2005	14	0	1851	1585	0.897	1585
2005	15	0	1884	1816	0.927	1816
2005	16	0	1924	1924	1	1924
2006	1	0	16	79	0.011	79
2006	2	0	80	152	0.09	152
2006	3	505	467	357	0	357
2006	4	1424	571	395	0.071	395
2006	5	1028	673	513	0.224	513
2006	6	1443	773	629	0.48	629
2006	7	1398	902	733	0.65	733
2006	8	1136	964	871	0.838	871
2006	9	569	1039	963	0.918	963
2006	10	333	1078	1243	0.927	1243
2006	11	139	1206	1225	1	1225
2006	12	83	1339	1934	1	1934
2006	13	30	1457	1626	0.926	1626
2006	14	27	1559	1281	1	1281
2006	15	6	1673	1816	0.927	1816
2006	16	6	1569	1569	1	1569
2007	1	0	16	79	0.011	79
2007	2	0	80	152	0.09	152
2007	3	466	415	419	0	419
2007	4	1356	512	381	0.285	381
2007	5	1638	642	551	0.504	551
2007	6	1060	772	731	0.834	731
2007	7	1087	902	881	0.909	881
2007	8	863	1035	986	0.861	986
2007	9	526	1116	1162	0.861	1162
2007	10	211	1220	1426	1	1426
2007	11	117	1346	1868	1	1868
2007	12	79	1338	1440	0.935	1440
2007	13	42	1753	1626	0.926	1626
2007	14	31	1583	1585	0.897	1585
2007	15	9	1668	1816	0.927	1816
2007	16	4	1477	1477	1	1477
2008	1	0	16	79	0.011	79
2008	2	0	80	152	0.09	152
2008	3	479	440	290	0.066	290
2008	4	724	549	433	0.485	433
2008	5	1520	638	589	0.562	589
2008	6	1729	763	735	0.695	735
2008	7	987	889	859	0.866	859
2008	8	986	1014	922	0.87	922
2008	9	631	1150	1107	0.922	1107
2008	10	407	1192	1239	0.911	1239
2008	11	194	1207	1329	0.812	1329
2008	12	137	1358	1169	1	1169
2008	13	81	1480	1011	1	1011
2008	14	80	1517	1225	1	1225
2008	15	29	1557	1816	0.927	1816
2008	16	18	1807	1807	1	1807
2009	1	0	16	79	0.011	79
2009	2	0	80	256	0	256
2009	3	504	444	302	0.162	302
2009	4	869	558	442	0.393	442
2009	5	1045	680	591	0.569	591
2009	6	1614	775	766	0.815	766
