#year	age	fj
1987	2	0.05
1987	3	0.97
1987	4	2.96
1987	5	3.5
1987	6	4.55
1987	7	3.36
1987	8	4.59
1987	9	2.5
1987	10	2.19
1987	11	0.51
1987	12	0.52
1987	13	0.03
1987	14	0.15
1987	15	0.07
1988	2	0
1988	3	1.22
1988	4	4.17
1988	5	4.64
1988	6	4.11
1988	7	6.32
1988	8	4.95
1988	9	2.92
1988	10	1.98
1988	11	1.64
1988	12	0.43
1988	13	0.02
1988	14	0.12
1988	15	0
1989	2	0.06
1989	3	0.1
1989	4	1.16
1989	5	3.66
1989	6	3.44
1989	7	2.17
1989	8	3.01
1989	9	2.35
1989	10	0.89
1989	11	0.89
1989	12	0.26
1989	13	0
1989	14	0.05
1989	15	0
1990	2	0
1990	3	0.21
1990	4	1.39
1990	5	4.81
1990	6	3.65
1990	7	4.05
1990	8	1.19
1990	9	0.78
1990	10	1.53
1990	11	0.26
1990	12	0.23
1990	13	0.14
1990	14	0
1990	15	0.12
1991	2	0
1991	3	0.06
1991	4	2.41
1991	5	4.52
1991	6	4.58
1991	7	3.79
1991	8	2.56
1991	9	1.26
1991	10	1.1
1991	11	0.59
1991	12	0.48
1991	13	0.32
1991	14	0.12
1991	15	0.08
1992	2	0
1992	3	0.74
1992	4	2.54
1992	5	7.59
1992	6	5.26
1992	7	3.94
1992	8	1.53
1992	9	0.9
1992	10	0.21
1992	11	0.11
1992	12	0.1
1992	13	0
1992	14	0
1992	15	0
1993	2	0
1993	3	0.21
1993	4	2.39
1993	5	3.57
1993	6	5.48
1993	7	1.52
1993	8	1.43
1993	9	1.23
1993	10	0.86
1993	11	0.48
1993	12	0.34
1993	13	0.39
1993	14	0.18
1993	15	0.16
1994	2	0.03
1994	3	0.27
1994	4	2.26
1994	5	4.63
1994	6	3.03
1994	7	2.58
1994	8	0.91
1994	9	0.91
1994	10	0.43
1994	11	0.03
1994	12	0.07
1994	13	0.18
1994	14	0
1994	15	0
1995	2	0.18
1995	3	0.21
1995	4	1.13
1995	5	4.47
1995	6	2.99
1995	7	1.07
1995	8	0.82
1995	9	0.24
1995	10	0.17
1995	11	0.03
1995	12	0
1995	13	0
1995	14	0
1995	15	0
1996	2	0.1
1996	3	0.28
1996	4	1.26
1996	5	2.49
1996	6	4.5
1996	7	1.76
1996	8	1.1
1996	9	0.42
1996	10	0.07
1996	11	0
1996	12	0
1996	13	0
1996	14	0
1996	15	0
1997	2	0
1997	3	0.25
1997	4	0.95
1997	5	0.92
1997	6	1.25
1997	7	1.5
1997	8	1.11
1997	9	0.42
1997	10	0.18
1997	11	0.11
1997	12	0.14
1997	13	0.06
1997	14	0.04
1997	15	0.04
1998	2	0.01
1998	3	0.09
1998	4	0.72
1998	5	1.37
1998	6	2.06
1998	7	1.05
1998	8	1.06
1998	9	0.59
1998	10	0.23
1998	11	0.06
1998	12	0.12
1998	13	0
1998	14	0.06
1998	15	0.02
1999	2	0
1999	3	0.09
1999	4	2.15
1999	5	2.31
1999	6	1.62
1999	7	1.24
1999	8	0.7
1999	9	0.92
1999	10	0.26
1999	11	0.18
1999	12	0.02
1999	13	0.08
1999	14	0.04
1999	15	0
2000	2	0
2000	3	0.03
2000	4	0.15
2000	5	0.35
2000	6	0.86
2000	7	0.86
2000	8	0.95
2000	9	0.65
2000	10	0.4
2000	11	0.35
2000	12	0.24
2000	13	0.06
2000	14	0
2000	15	0
2001	2	0
2001	3	0.16
2001	4	0.76
2001	5	0.36
2001	6	1.12
2001	7	0.76
2001	8	0.89
2001	9	0.33
2001	10	0.32
2001	11	0.23
2001	12	0.13
2001	13	0.01
2001	14	0
2001	15	0.01
2002	2	0
2002	3	0.04
2002	4	1.08
2002	5	2.29
2002	6	1.18
2002	7	1.2
2002	8	1.03
2002	9	0.62
2002	10	0.19
2002	11	0.13
2002	12	0
2002	13	0.03
2002	14	0
2002	15	0
2003	2	0.1
2003	3	0
2003	4	1.53
2003	5	2.86
2003	6	1.98
2003	7	1.33
2003	8	1.14
2003	9	0.58
2003	10	0.27
2003	11	0.07
2003	12	0.03
2003	13	0.02
2003	14	0
2003	15	0
2004	2	0.02
2004	3	0.09
2004	4	0.62
2004	5	4.28
2004	6	4.78
2004	7	1.84
2004	8	1.39
2004	9	0.87
2004	10	0.6
2004	11	0.18
2004	12	0.04
2004	13	0.05
2004	14	0
2004	15	0
2005	2	0
2005	3	0.08
2005	4	0.25
2005	5	1.41
2005	6	3.18
2005	7	2.14
2005	8	1.29
2005	9	0.81
2005	10	0.31
2005	11	0.18
2005	12	0.02
2005	13	0
2005	14	0
2005	15	0
2006	2	0
2006	3	0.15
2006	4	0.96
2006	5	2.2
2006	6	3.25
2006	7	2.34
2006	8	1.86
2006	9	0.7
2006	10	0.5
2006	11	0.18
2006	12	0.11
2006	13	0
2006	14	0.02
2006	15	0
2007	2	0
2007	3	0.05
2007	4	1.63
2007	5	2.3
2007	6	2.28
2007	7	2.2
2007	8	1.24
2007	9	0.57
2007	10	0.17
2007	11	0.09
2007	12	0
2007	13	0
2007	14	0
2007	15	0
2008	2	0
2008	3	0.37
2008	4	0.7
2008	5	1.69
2008	6	1.79
2008	7	0.88
2008	8	0.8
2008	9	0.59
2008	10	0.26
2008	11	0.19
2008	12	0.14
2008	13	0.07
2008	14	0.08
2008	15	0
2009	2	0.03
2009	3	0.49
2009	4	0.93
2009	5	1.83
2009	6	1.85
2009	7	1.36
2009	8	0.8
2009	9	0.47
2009	10	0.23
2009	11	0.12
2009	12	0.04
2009	13	0.07
2009	14	0
2009	15	0
2010	2	0.03
2010	3	0.79
2010	4	2.77
2010	5	2.9
2010	6	2.55
2010	7	2.02
2010	8	1.52
2010	9	0.72
2010	10	0.5
2010	11	0.21
2010	12	0.14
2010	13	0.09
2010	14	0
2010	15	0
2011	2	0
2011	3	0.13
2011	4	1.09
2011	5	2.04
2011	6	1.77
2011	7	1.3
2011	8	0.87
2011	9	0.44
2011	10	0.34
2011	11	0.18
2011	12	0.23
2011	13	0.11
2011	14	0.07
2011	15	0.04
2012	2	0.02
2012	3	0.31
2012	4	0.6
2012	5	2.01
2012	6	1.91
2012	7	1.04
2012	8	0.74
2012	9	0.36
2012	10	0.42
2012	11	0.27
2012	12	0.24
2012	13	0.09
2012	14	0.06
2012	15	0.06
2013	2	0
2013	3	0.24
2013	4	1.2
2013	5	1.21
2013	6	2.04
2013	7	2.51
2013	8	1.18
2013	9	0.47
2013	10	0.45
2013	11	0.44
2013	12	0.18
2013	13	0.13
2013	14	0.08
2013	15	0.04
2014	2	0
2014	3	0.13
2014	4	0.97
2014	5	1.34
2014	6	2.03
2014	7	1.96
2014	8	1.58
2014	9	0.67
2014	10	0.37
2014	11	0.37
2014	12	0.11
2014	13	0.1
2014	14	0.04
2014	15	0.05
2015	2	0
2015	3	0.09
2015	4	0.37
2015	5	0.96
2015	6	1.17
2015	7	1.22
2015	8	1.13
2015	9	0.91
2015	10	0.5
2015	11	0.23
2015	12	0.14
2015	13	0.07
2015	14	0.1
2015	15	0.07
2016	2	0.04
2016	3	0.36
2016	4	0.96
2016	5	1.93
2016	6	2.21
2016	7	2.1
2016	8	1.24
2016	9	1.15
2016	10	0.34
2016	11	0.17
2016	12	0.13
2016	13	0.11
2016	14	0.08
2016	15	0.11
2017	2	0
2017	3	0.76
2017	4	1.25
2017	5	1.84
2017	6	2.74
2017	7	2.42
2017	8	2.19
2017	9	1.44
2017	10	0.97
2017	11	0.55
2017	12	0.2
2017	13	0.06
2017	14	0.15
2017	15	0.1
2018	2	0
2018	3	0.32
2018	4	0.65
2018	5	1.52
2018	6	2
2018	7	2.81
2018	8	2.07
2018	9	1.24
2018	10	0.97
2018	11	0.38
2018	12	0.25
2018	13	0.15
2018	14	0.1
2018	15	0.08
2019	2	0
2019	3	0.13
2019	4	0.73
2019	5	0.88
2019	6	1.15
2019	7	1.39
2019	8	1.19
2019	9	0.63
2019	10	0.57
2019	11	0.42
2019	12	0.27
2019	13	0.14
2019	14	0.07
2019	15	0.06
2020	2	0
2020	3	0.08
2020	4	0.65
2020	5	1.44
2020	6	1.69
2020	7	1.41
2020	8	1.11
2020	9	0.8
2020	10	0.67
2020	11	0.26
2020	12	0.28
2020	13	0.07
2020	14	0.04
2020	15	0.03
2021	2	0
2021	3	0.05
2021	4	0.81
2021	5	2.32
2021	6	2.62
2021	7	1.83
2021	8	1.21
2021	9	1.2
2021	10	0.97
2021	11	0.47
2021	12	0.35
2021	13	0.23
2021	14	0.12
2021	15	0.07
