#year catch
1985 14.470990773
1986 12.7051031278
1987 11.1569930951
1988 14.0225839398
1989 11.30684139
1990 11.3433851126
1991 10.714708
1992 10.46815
1993 13.21449
1994 12.474756
1995 11.161183
1996 11.738898
1997 11.132286
1998 7.66841
1999 7.549031
2000 5.371089
2001 5.019635
2002 5.22456
2003 5.336
2004 5.826129
2005 5.921357
2006 6.547363
2007 5.891319
2008 6.726943
2009 6.323474
2010 6.056479
2011 4.970687
2012 5.946173
2013 6.009707
2014 5.933905
2015 6.767969
2016 7.454446
2017 6.696474
2018 8.341426
2019 6.83788
2020 7.509392
2021 8.622362
