#year	age	cno	cwt	swt	mat	ssbwt
1970	1	-1	8	8	0	8
1970	2	-1	21	21	0	21
1970	3	-1	47	47	0	47
1970	4	-1	96	96	0	96
1970	5	-1	760	172	0	2453
1970	6	-1	1092	284	0.002	2042
1970	7	-1	1340	462	0.016	2159
1970	8	-1	1596	716	0.062	2212
1970	9	-1	1838	983	0.147	2227
1970	10	-1	2114	1333	0.263	2428
1970	11	-1	2344	1615	0.353	2543
1970	12	-1	2572	1930	0.528	2629
1970	13	-1	2793	2234	0.656	2800
1970	14	-1	3052	2499	0.704	3039
1970	15	-1	3331	3025	0.806	3439
1970	16	-1	3528	3375	0.822	3807
1970	17	-1	3819	3686	0.843	4084
1970	18	-1	4235	4269	0.887	4633
1970	19	-1	4438	4807	0.907	5094
1970	20	-1	5020	5020	1	5020
1970	21	-1	4899	4899	1	4899
1970	22	-1	5001	5001	1	5001
1970	23	-1	5184	5184	1	5184
1970	24	-1	6122	6122	1	6122
1970	25	-1	6551	6551	1	6551
1971	1	-1	8	8	0	8
1971	2	-1	21	21	0	21
1971	3	-1	47	47	0	47
1971	4	-1	96	96	0	96
1971	5	-1	760	172	0	2453
1971	6	-1	1092	284	0.002	2042
1971	7	-1	1340	462	0.016	2159
1971	8	-1	1596	716	0.062	2212
1971	9	-1	1838	983	0.147	2227
1971	10	-1	2114	1333	0.263	2428
1971	11	-1	2344	1615	0.353	2543
1971	12	-1	2572	1930	0.528	2629
1971	13	-1	2793	2234	0.656	2800
1971	14	-1	3052	2499	0.704	3039
1971	15	-1	3331	3025	0.806	3439
1971	16	-1	3528	3375	0.822	3807
1971	17	-1	3819	3686	0.843	4084
1971	18	-1	4235	4269	0.887	4633
1971	19	-1	4438	4807	0.907	5094
1971	20	-1	5020	5020	1	5020
1971	21	-1	4899	4899	1	4899
1971	22	-1	5001	5001	1	5001
1971	23	-1	5184	5184	1	5184
1971	24	-1	6122	6122	1	6122
1971	25	-1	6551	6551	1	6551
1972	1	-1	8	8	0	8
1972	2	-1	21	21	0	21
1972	3	-1	47	47	0	47
1972	4	-1	96	96	0	96
1972	5	1	964	172	0	2453
1972	6	4	1163	284	0.002	2042
1972	7	134	1112	462	0.016	2159
1972	8	467	1391	716	0.062	2212
1972	9	1569	1730	983	0.147	2227
1972	10	1803	2125	1333	0.263	2428
1972	11	776	2627	1615	0.353	2543
1972	12	628	2649	1930	0.528	2629
1972	13	457	2910	2234	0.656	2800
1972	14	149	3072	2499	0.704	3039
1972	15	105	4048	3025	0.806	3439
1972	16	73	3933	3375	0.822	3807
1972	17	38	5087	3686	0.843	4084
1972	18	20	5081	4269	0.887	4633
1972	19	18	4007	4807	0.907	5094
1972	20	17	5367	5367	1	5367
1972	21	16	5416	5416	1	5416
1972	22	1	4297	4297	1	4297
1972	23	0	4373	4373	1	4373
1972	24	0	4358	4358	1	4358
1972	25	0	4511	4511	1	4511
1973	1	-1	8	8	0	8
1973	2	-1	21	21	0	21
1973	3	-1	47	47	0	47
1973	4	-1	96	96	0	96
1973	5	-1	760	172	0	2453
1973	6	-1	1092	284	0.002	2042
1973	7	-1	1340	462	0.016	2159
1973	8	-1	1596	716	0.062	2212
1973	9	-1	1838	983	0.147	2227
1973	10	-1	2114	1333	0.263	2428
1973	11	-1	2344	1615	0.353	2543
1973	12	-1	2572	1930	0.528	2629
1973	13	-1	2793	2234	0.656	2800
1973	14	-1	3052	2499	0.704	3039
1973	15	-1	3331	3025	0.806	3439
1973	16	-1	3528	3375	0.822	3807
1973	17	-1	3819	3686	0.843	4084
1973	18	-1	4235	4269	0.887	4633
1973	19	-1	4438	4807	0.907	5094
1973	20	-1	5020	5020	1	5020
1973	21	-1	4899	4899	1	4899
1973	22	-1	5001	5001	1	5001
1973	23	-1	5184	5184	1	5184
1973	24	-1	6122	6122	1	6122
1973	25	-1	6551	6551	1	6551
1974	1	-1	8	8	0	8
1974	2	-1	21	21	0	21
1974	3	-1	47	47	0	47
1974	4	-1	96	96	0	96
1974	5	-1	760	172	0	2453
1974	6	-1	1092	284	0.002	2042
1974	7	-1	1340	462	0.016	2159
1974	8	-1	1596	716	0.062	2212
1974	9	-1	1838	983	0.147	2227
1974	10	-1	2114	1333	0.263	2428
1974	11	-1	2344	1615	0.353	2543
1974	12	-1	2572	1930	0.528	2629
1974	13	-1	2793	2234	0.656	2800
1974	14	-1	3052	2499	0.704	3039
1974	15	-1	3331	3025	0.806	3439
1974	16	-1	3528	3375	0.822	3807
1974	17	-1	3819	3686	0.843	4084
1974	18	-1	4235	4269	0.887	4633
1974	19	-1	4438	4807	0.907	5094
1974	20	-1	5020	5020	1	5020
1974	21	-1	4899	4899	1	4899
1974	22	-1	5001	5001	1	5001
1974	23	-1	5184	5184	1	5184
1974	24	-1	6122	6122	1	6122
1974	25	-1	6551	6551	1	6551
1975	1	-1	8	8	0	8
1975	2	-1	21	21	0	21
1975	3	-1	47	47	0	47
1975	4	-1	96	96	0	96
1975	5	3	762	172	0	2453
1975	6	129	367	284	0.002	2042
1975	7	220	762	462	0.016	2159
1975	8	862	937	716	0.062	2212
1975	9	2194	1135	983	0.147	2227
1975	10	1604	1249	1333	0.263	2428
1975	11	2355	1550	1615	0.353	2543
1975	12	948	1643	1930	0.528	2629
1975	13	805	1889	2234	0.656	2800
1975	14	467	1721	2499	0.704	3039
1975	15	205	2030	3025	0.806	3439
1975	16	93	2687	3375	0.822	3807
1975	17	43	2235	3686	0.843	4084
1975	18	5	2633	4269	0.887	4633
1975	19	3	2955	4807	0.907	5094
1975	20	2	2947	2947	1	2947
1975	21	1	2874	2874	1	2874
1975	22	0	3085	3085	1	3085
1975	23	0	3174	3174	1	3174
