#year	age	fj
1985	2	1.502
1985	3	2.06
1985	4	2.508
1985	5	2.817
1985	6	3.203
1985	7	3.203
1985	8	4.714
1985	9	3.284
1985	10	4.871
1985	11	2.893
1985	12	4.56
1985	13	3.209
1985	14	1.6
1985	15	1.585
1985	16	0.923
1985	17	0.327
1985	18	0.284
1985	19	0.09
1985	20	0.153
1985	21	0.001
1985	22	0.001
1985	23	0
1985	24	0
1985	25	0
1986	2	2.977
1986	3	3.555
1986	4	3.348
1986	5	4.778
1986	6	3.837
1986	7	3.767
1986	8	4.111
1986	9	3.387
1986	10	4.09
1986	11	3.347
1986	12	3.794
1986	13	2.55
1986	14	1.392
1986	15	0.905
1986	16	0.457
1986	17	0.221
1986	18	0.157
1986	19	0.045
1986	20	0.053
1986	21	0.001
1986	22	0.001
1986	23	0
1986	24	0
1986	25	0
1987	2	2.103
1987	3	3.348
1987	4	3.796
1987	5	3.397
1987	6	3.284
1987	7	3.204
1987	8	3.79
1987	9	3.093
1987	10	3.927
1987	11	2.626
1987	12	3.948
1987	13	2.897
1987	14	1.68
1987	15	1.043
1987	16	0.516
1987	17	0.336
1987	18	0.1
1987	19	0.157
1987	20	0.099
1987	21	0.002
1987	22	0.001
1987	23	0
1987	24	0
1987	25	0
1988	2	0.633
1988	3	2.228
1988	4	2.544
1988	5	2.964
1988	6	2.507
1988	7	2.334
1988	8	2.184
1988	9	2.451
1988	10	2.983
1988	11	2.374
1988	12	2.245
1988	13	1.719
1988	14	1.205
1988	15	0.887
1988	16	0.491
1988	17	0.307
1988	18	0.169
1988	19	0.047
1988	20	0.072
1988	21	0.024
1988	22	0.011
1988	23	0.005
1988	24	0
1988	25	0
1989	2	1.334
1989	3	2.032
1989	4	2.359
1989	5	2.72
1989	6	2.85
1989	7	2.788
1989	8	2.8
1989	9	2.932
1989	10	3.193
1989	11	3.255
1989	12	3.398
1989	13	2.501
1989	14	1.407
1989	15	0.907
1989	16	0.648
1989	17	0.299
1989	18	0.27
1989	19	0.126
1989	20	0.064
1989	21	0.005
1989	22	0.03
1989	23	0.016
1989	24	0
1989	25	0.014
1990	2	1.657
1990	3	3.402
1990	4	2.43
1990	5	3.184
1990	6	2.917
1990	7	2.96
1990	8	2.768
1990	9	3.189
1990	10	2.655
1990	11	2.273
1990	12	1.699
1990	13	1.266
1990	14	0.686
1990	15	0.672
1990	16	0.418
1990	17	0.125
1990	18	0.026
1990	19	0.106
1990	20	0.054
1990	21	0.002
1990	22	0.001
1990	23	0.01
1990	24	0
1990	25	0
1991	2	1.579
1991	3	3.636
1991	4	5.369
1991	5	4.943
1991	6	4.006
1991	7	4.174
1991	8	4.028
1991	9	3.885
1991	10	3.493
1991	11	3.275
1991	12	3.321
1991	13	1.919
1991	14	1.358
1991	15	0.65
1991	16	0.374
1991	17	0.248
1991	18	0.12
1991	19	0.039
1991	20	0.015
1991	21	0.019
1991	22	0.001
1991	23	0.001
1991	24	0
1991	25	0
1992	2	1.284
1992	3	2.385
1992	4	4.446
1992	5	3.989
1992	6	3.934
1992	7	3.787
1992	8	3.498
1992	9	3.081
1992	10	3.236
1992	11	3.159
1992	12	2.819
1992	13	1.896
1992	14	1.235
1992	15	0.597
1992	16	0.377
1992	17	0.255
