#year catch
1950 12814000
1951 17273000
1952 25052000
1953 24041000
1954 15922000
1955 14681000
1956 17928000
1957 22337000
1958 23990000
1959 18892000
1960 18564000
1961 20455000
1962 23231000
1963 29454000
1964 17192000
1965 17555000
1966 14799000
1967 16947000
1968 14892000
1969 12470000
1970 10549000
1971 11284000
1972 14099000
1973 13996000
1974 15293000
1975 13842000
1976 13333000
1977 11441000
1978 11409000
1979 10334000
1980 8603000
1981 8354000
1982 8339015.0613
1983 12104852.6846
1984 10189078.4491
1985 9596543.0395
1986 12123254.3673
1987 12589870.9617
1988 14547368.6503
1989 14076231.1584
1990 14397560.805
1991 17911629
1992 1.6e+07
1993 11043201
1994 11318570
1995 11357311
1996 14797591
1997 11939797
1998 12108477
1999 14052987
2000 15227359
2001 18170352
2002 14424446
2003 16567781
2004 13321124
2005 15346014
2006 16559502
2007 16233708
2008 14630383
2009 15209575
2010 12661891
2011 11391372
2012 10213722
2013 8791798
2014 7328738
2015 8040965
2016 8698678
2017 7277678
2018 9693973
2019 9215631
2020 7340297
2021 8989423
