#year	age	cno	cwt	swt	mat	ssbwt
1955	1	-1	-1	15	-1	-1
1955	2	-1	-1	141	-1	-1
1955	3	4790	827	250	0.019	645
1955	4	25164	1307	588	0.022	1019
1955	5	46566	2157	1439	0.033	1833
1955	6	28287	3617	2901	0.181	3183
1955	7	10541	4638	3923	0.577	4128
1955	8	5224	5657	4944	0.782	5657
1955	9	2467	6635	5923	0.834	6635
1955	10	25182	6168	6168	0.96	6168
1955	11	2101	8746	8746	1	8746
1955	12	1202	8829	8829	1	8829
1955	13	1668	10086	10086	1	10086
1955	14	665	14584	14584	1	14584
1956	1	-1	-1	15	-1	-1
1956	2	-1	-1	141	-1	-1
1956	3	6709	1080	360	0.019	645
1956	4	17265	1600	881	0.025	1248
1956	5	31030	2190	1472	0.033	1862
1956	6	27793	3280	2563	0.111	2886
1956	7	14389	4650	3935	0.577	4138
1956	8	4261	5630	4917	0.782	5630
1956	9	3429	6180	5467	0.818	6180
1956	10	2128	6970	6970	0.98	6970
1956	11	16820	6830	6830	0.98	6830
1956	12	1552	9290	9290	1	9290
1956	13	1522	10965	10965	1	10965
1956	14	1545	12954	12954	1	12954
1957	1	-1	-1	15	-1	-1
1957	2	-1	-1	141	-1	-1
1957	3	13240	1140	420	0.019	645
1957	4	21278	1710	991	0.026	1334
1957	5	17515	2520	1802	0.043	2142
1957	6	24569	3200	2483	0.1	2816
1957	7	17634	4560	3845	0.549	4058
1957	8	12296	5960	5247	0.801	5960
1957	9	3568	7170	6459	0.842	7170
1957	10	2169	7260	7260	0.99	7260
1957	11	1171	8300	8300	1	8300
1957	12	6822	8290	8290	1	8290
1957	13	512	10350	10350	1	10350
1957	14	1089	13174	13174	1	13174
1958	1	-1	-1	15	-1	-1
1958	2	-1	-1	141	-1	-1
1958	3	25237	1210	490	0.019	645
1958	4	30742	1810	1091	0.028	1412
1958	5	14298	3120	2403	0.086	2652
1958	6	10859	4510	3795	0.52	3969
1958	7	15997	5000	4286	0.682	4450
1958	8	15822	5940	5227	0.801	5940
1958	9	12021	6640	5928	0.834	6640
1958	10	2003	8290	8290	1	8290
1958	11	2125	8510	8510	1	8510
1958	12	771	8840	8840	1	8840
1958	13	3508	9360	9360	1	9360
1958	14	723	13097	13097	1	13097
1959	1	-1	-1	15	-1	-1
1959	2	-1	-1	141	-1	-1
1959	3	18394	1110	390	0.019	645
1959	4	37650	1950	1231	0.029	1521
1959	5	23901	2930	2213	0.07	2490
1959	6	7682	4520	3805	0.535	3978
1959	7	5883	5520	4806	0.772	4913
1959	8	8791	6170	5457	0.818	6170
1959	9	13003	6610	5898	0.834	6610
1959	10	7683	7130	7130	0.99	7130
1959	11	914	8510	8510	1	8510
1959	12	990	8670	8670	1	8670
1959	13	218	9980	9980	1	9980
1959	14	1287	11276	11276	1	11276
1960	1	-1	-1	15	-1	-1
1960	2	-1	-1	141	-1	-1
1960	3	14830	1060	340	0.019	645
1960	4	28642	1720	1001	0.026	1342
1960	5	27968	2920	2203	0.066	2482
1960	6	14120	4640	3925	0.577	4083
1960	7	8387	5660	4947	0.782	5037
1960	8	6089	6550	5838	0.826	6550
1960	9	6393	6910	6198	0.834	6910
1960	10	11600	7140	7140	0.99	7140
1960	11	3526	7970	7970	1	7970
1960	12	692	10240	10240	1	10240
1960	13	183	10100	10100	1	10100
1960	14	510	12871	12871	1	12871
1961	1	-1	-1	15	-1	-1
1961	2	-1	-1	141	-1	-1
1961	3	16507	1020	300	0.019	645
1961	4	21808	1670	951	0.025	1303
1961	5	19488	2700	1982	0.053	2295
1961	6	15034	4330	3615	0.45	3810
1961	7	7900	5530	4816	0.772	4922
1961	8	6925	6310	5597	0.818	6310
1961	9	3969	6930	6218	0.834	6930
1961	10	3211	7310	7310	0.99	7310
1961	11	6756	7500	750	0.99	750
1961	12	1202	8510	8510	1	8510
1961	13	89	9840	9840	1	9840
1961	14	425	14550	14550	1	14550
1962	1	-1	-1	15	-1	-1
1962	2	-1	-1	141	-1	-1
1962	3	13514	990	270	0.019	645
1962	4	28526	1610	891	0.025	1256
1962	5	18924	2610	1892	0.048	2218
1962	6	14650	3900	3184	0.281	3432
1962	7	12045	5720	5007	0.791	5091
1962	8	4276	6660	5948	0.834	6660
1962	9	8809	6750	6038	0.834	6750
1962	10	2664	7060	7060	0.99	7060
1962	11	1883	7540	7540	0.99	7540
1962	12	2988	8280	8280	1	8280
1962	13	405	10900	10900	1	10900
1962	14	324	12826	12826	1	12826
1963	1	-1	-1	15	-1	-1
1963	2	-1	-1	141	-1	-1
1963	3	18507	1250	530	0.019	645
1963	4	28466	1650	931	0.025	1287
1963	5	19664	2640	1922	0.048	2244
1963	6	11314	3800	3084	0.237	3344
1963	7	15682	5110	4396	0.706	4548
1963	8	7704	6920	6208	0.834	6920
1963	9	2724	7840	7130	0.849	7840
1963	10	6508	7610	7610	1	7610
1963	11	1657	8230	8230	1	8230
1963	12	1030	9100	9100	1	9100
1963	13	1372	9920	9920	1	9920
1963	14	246	11553	11553	1	11553
1964	1	-1	-1	15	-1	-1
1964	2	-1	-1	141	-1	-1
1964	3	19287	1210	490	0.019	645
1964	4	28845	1750	1031	0.026	1365
1964	5	18712	2640	1922	0.048	2244
1964	6	11620	4020	3304	0.329	3538
1964	7	7936	5450	4736	0.762	4850
1964	8	18032	6460	5748	0.826	6460
1964	9	5040	8000	7290	0.849	8000
1964	10	1437	9940	9940	1	9940
1964	11	2670	9210	9210	1	9210
1964	12	655	10940	10940	1	10940
1964	13	370	12670	12670	1	12670
1964	14	1025	15900	15900	1	15900
1965	1	-1	-1	15	-1	-1
1965	2	-1	-1	141	-1	-1
1965	3	21658	1020	300	0.019	645
1965	4	29586	1530	811	0.025	1193
1965	5	24783	2570	1852	0.045	2184
1965	6	11706	4090	3374	0.354	3599
1965	7	9334	5410	4696	0.751	4815
1965	8	6394	6400	5688	0.826	6400
1965	9	11122	7120	6409	0.842	7120
1965	10	1477	8600	8600	1	8600
1965	11	823	12310	12310	1	12310
1965	12	489	10460	10460	1	10460
1965	13	118	10190	10190	1	10190
1965	14	489	17220	17220	1	17220
1966	1	-1	-1	15	-1	-1
1966	2	-1	-1	141	-1	-1
1966	3	17910	1170	450	0.019	645
1966	4	30649	1680	961	0.026	1310
1966	5	20006	2590	1872	0.045	2202
1966	6	13872	4180	3465	0.394	3678
1966	7	5942	5730	5017	0.791	5100
1966	8	7586	6900	6188	0.849	6900
1966	9	2320	7830	7120	0.849	7830
1966	10	5583	8580	8580	1	8580
1966	11	407	9090	9090	1	9090
1966	12	363	14230	14230	1	14230
1966	13	299	14090	14090	1	14090
1966	14	311	17924	17924	1	17924
1967	1	-1	-1	15	-1	-1
1967	2	-1	-1	141	-1	-1
1967	3	25945	1120	400	0.019	645
1967	4	27941	1820	1101	0.028	1420
1967	5	24322	2660	1942	0.051	2261
1967	6	11320	4067	3351	0.341	3579
1967	7	8751	5560	4846	0.772	4948
