#year	age	oU2
1994	1	7.769204965
1995	1	4.185057972
1996	1	0.1
1997	1	1.84501845
1998	1	1.180811808
1999	1	9.997318005
2000	1	2.032595326
2001	1	1.429889299
2002	1	0.230627306
2003	1	0.1
2004	1	0.230627306
2005	1	0.1
2006	1	1.07346528
2007	1	0.1
2008	1	5.551348686
2009	1	71.49171977
2010	1	34.99720981
2011	1	0.1
2012	1	0.1
2013	1	3.225138425
2014	1	0.98400984
2015	1	0.1
2016	1	6.211422445
2017	1	26.63360696
2018	1	22.06521361
2019	1	39.09919015
1994	2	612.5270497
1995	2	623.1759653
1996	2	215.4651419
1997	2	72.54259047
1998	2	69.72726088
1999	2	704.6697116
2000	2	315.9608048
2001	2	938.4212996
2002	2	383.0002296
2003	2	90.23993552
2004	2	609.5293794
2005	2	383.0726795
2006	2	167.4650029
2007	2	41.09427017
2008	2	176.6169603
2009	2	307.8115189
2010	2	697.639405
2011	2	148.4387413
2012	2	1.375751396
2013	2	67.98267935
2014	2	130.8909713
2015	2	22.40757577
2016	2	81.73989162
2017	2	107.5882646
2018	2	587.3531164
2019	2	347.4127527
1994	3	336.924338
1995	3	845.6837721
1996	3	4043.862586
1997	3	834.4025185
1998	3	425.1842917
1999	3	674.9181532
2000	3	1432.44047
2001	3	2387.799233
2002	3	4564.066506
2003	3	718.9575783
2004	3	575.8401224
2005	3	438.162472
2006	3	156.6915628
2007	3	270.8811875
2008	3	474.5399177
2009	3	475.518201
2010	3	1318.79466
2011	3	1318.9699
2012	3	273.7949047
2013	3	377.6271906
2014	3	113.4359764
2015	3	533.2709722
2016	3	280.0598897
2017	3	526.8446086
2018	3	924.2286007
2019	3	1078.689921
1994	4	912.7725533
1995	4	1528.426282
1996	4	3984.378919
1997	4	5398.273039
1998	4	1572.115873
1999	4	991.3467621
2000	4	746.0615858
2001	4	1993.76919
2002	4	2892.146635
2003	4	3914.969463
2004	4	844.6106615
2005	4	1151.674356
2006	4	177.2543613
2007	4	286.6419871
2008	4	851.9113594
2009	4	977.6774166
2010	4	745.6238452
2011	4	1240.312378
2012	4	1303.766052
2013	4	1699.781856
2014	4	159.5790672
2015	4	225.6304636
2016	4	697.2557775
2017	4	695.4402717
2018	4	1004.510267
2019	4	762.3139575
1994	5	508.5363361
1995	5	1525.182216
1996	5	1892.079249
1997	5	2359.549897
1998	5	4919.265617
1999	5	1225.188105
2000	5	441.0125216
2001	5	456.1781427
2002	5	1579.665203
2003	5	1260.432467
2004	5	1175.080517
2005	5	1440.241391
2006	5	360.0677562
2007	5	155.1505011
2008	5	479.1786088
2009	5	1159.092759
2010	5	538.1306489
2011	5	562.4316073
2012	5	326.7258472
2013	5	2053.207395
2014	5	419.7344714
2015	5	193.9137409
2016	5	151.7706837
2017	5	1087.846741
2018	5	731.5712224
2019	5	557.6939173
1994	6	129.6753837
1995	6	1191.393562
1996	6	1371.957515
1997	6	333.9431871
1998	6	1135.969041
1999	6	2079.198483
2000	6	506.7032337
2001	6	324.4389616
2002	6	331.9341111
2003	6	528.7282087
2004	6	292.9159065
2005	6	844.4929549
2006	6	291.9716462
2007	6	170.377431
2008	6	151.5211576
2009	6	427.2779335
2010	6	381.0078433
2011	6	300.1780848
2012	6	73.61221487
2013	6	295.5778448
2014	6	333.0489414
2015	6	305.2235308
2016	6	73.42496228
2017	6	136.0341
2018	6	715.6653415
2019	6	351.7206994
1994	7	187.2398303
1995	7	285.6473884
1996	7	420.8446371
1997	7	227.0077353
1998	7	82.29807421
1999	7	252.1279404
2000	7	836.7177473
2001	7	578.6495156
2002	7	231.7603217
2003	7	67.37036706
2004	7	66.0499762
2005	7	140.6442825
2006	7	94.98727743
2007	7	105.1062391
2008	7	83.90260935
2009	7	73.7438027
2010	7	98.93569685
2011	7	237.7541235
2012	7	27.00500494
2013	7	32.62339419
2014	7	74.75831989
2015	7	138.8554513
2016	7	77.32053771
2017	7	55.93701775
2018	7	155.7523346
2019	7	188.2150613
1994	8	28.5676454
1995	8	350.8401424
1996	8	82.83087463
1997	8	58.76879237
1998	8	40.73411381
1999	8	25.16617403
2000	8	63.84899394
2001	8	128.6121615
2002	8	178.9411061
2003	8	51.65322774
2004	8	22.22754635
2005	8	14.02155713
2006	8	15.49338646
2007	8	37.82111623
2008	8	39.36729675
2009	8	31.63666843
2010	8	40.97660789
2011	8	85.15854393
2012	8	23.74209551
2013	8	22.36737133
2014	8	22.0108338
2015	8	32.55694492
2016	8	27.18853187
2017	8	31.32841968
2018	8	51.30145156
2019	8	20.27064831
1994	9	0.1
1995	9	48.89464711
1996	9	169.7090598
1997	9	5.314749258
1998	9	35.23258727
1999	9	13.36398852
2000	9	3.115246134
2001	9	3.858525371
2002	9	131.9009767
2003	9	39.73308765
2004	9	11.90400539
2005	9	3.816385408
2006	9	3.99168909
2007	9	14.37574223
2008	9	13.34577067
2009	9	24.94299284
2010	9	17.18416913
2011	9	21.9080478
2012	9	6.173217144
2013	9	17.7255857
2014	9	13.56672241
2015	9	8.043228476
2016	9	7.655807303
2017	9	9.883191352
2018	9	35.3183514
2019	9	14.26846577
