#year	age	cno	cwt	swt	mat	ssbwt
1979	1	-1	-1	37	-1	-1
1979	2	149	620	185	0.08	185
1979	3	1908	960	481	0.301	481
1979	4	3762	1410	910	0.539	910
1979	5	6057	2030	1409	0.722	1409
1979	6	9022	2910	1968	0.821	1968
1979	7	1743	3800	2496	0.868	2496
1979	8	438	4560	3077	0.904	3077
1979	9	56	4720	3300	0.963	3300
1979	10	0	4000	4000	1	4000
1979	11	56	5741	5741	1	5741
1979	12	56	6171	6171	1	6171
1979	13	0	4000	4000	1	4000
1979	14	0	5213	5213	1	5213
1980	1	-1	-1	37	-1	-1
1980	2	595	837	185	0.08	185
1980	3	1385	831	481	0.301	481
1980	4	11481	1306	910	0.539	910
1980	5	4298	2207	1409	0.722	1409
1980	6	3798	2738	1968	0.821	1968
1980	7	3732	3188	2496	0.868	2496
1980	8	544	3843	3077	0.904	3077
1980	9	91	4506	3300	0.963	3300
1980	10	32	4615	4615	1	4615
1980	11	0	4000	4000	1	4000
1980	12	5	7337	7337	1	7337
1980	13	0	4000	4000	1	4000
1980	14	0	4000	4000	1	4000
1981	1	-1	-1	37	-1	-1
1981	2	10	584	185	0.08	185
1981	3	514	693	481	0.301	481
1981	4	4911	1081	910	0.539	910
1981	5	16900	1656	1409	0.722	1409
1981	6	5999	2283	1968	0.821	1968
1981	7	2825	3214	2496	0.868	2496
1981	8	1803	3409	3077	0.904	3077
1981	9	168	4046	3300	0.963	3300
1981	10	43	4898	4898	1	4898
1981	11	0	4000	4000	1	4000
1981	12	14	6376	6376	1	6376
1981	13	0	4000	4000	1	4000
1981	14	0	4000	4000	1	4000
1982	1	-1	-1	37	-1	-1
1982	2	107	289	185	0.08	185
1982	3	245	959	481	0.301	481
1982	4	3149	1455	910	0.539	910
1982	5	10851	1674	1409	0.722	1409
1982	6	14049	2351	1968	0.821	1968
1982	7	2068	3031	2496	0.868	2496
1982	8	1000	3481	3077	0.904	3077
1982	9	725	3874	3300	0.963	3300
1982	10	169	3952	3952	1	3952
1982	11	26	4958	4958	1	4958
1982	12	5	5323	5323	1	5323
1982	13	0	4000	4000	1	4000
1982	14	1	5213	5213	1	5213
1983	1	-1	-1	37	-1	-1
1983	2	34	320	185	0.08	185
1983	3	1010	1006	481	0.301	481
1983	4	1589	1496	910	0.539	910
1983	5	4596	1921	1409	0.722	1409
1983	6	9850	2371	1968	0.821	1968
1983	7	8839	2873	2496	0.868	2496
1983	8	766	3678	3077	0.904	3077
1983	9	207	4265	3300	0.963	3300
1983	10	263	4463	4463	1	4463
1983	11	17	5101	5101	1	5101
1983	12	0	4000	4000	1	4000
1983	13	0	4000	4000	1	4000
1983	14	0	4000	4000	1	4000
1984	1	-1	-1	37	-1	-1
1984	2	241	691	185	0.08	185
1984	3	1069	1007	481	0.301	481
1984	4	4946	1544	910	0.539	910
1984	5	1341	2120	1409	0.722	1409
1984	6	4772	2514	1968	0.821	1968
1984	7	3742	3027	2496	0.868	2496
1984	8	4076	2940	3077	0.904	3077
1984	9	238	3906	3300	0.963	3300
1984	10	58	3941	3941	1	3941
1984	11	19	4138	4138	1	4138
1984	12	3	5155	5155	1	5155
1984	13	0	4000	4000	1	4000
1984	14	0	4000	4000	1	4000
1985	1	-1	-1	35	0	35
1985	2	1320	652	244	0.016	244
1985	3	1728	1125	567	0.144	567
1985	4	4562	1811	1191	0.536	1191
1985	5	6796	2260	1683	0.577	1683
1985	6	855	2924	2395	0.765	2395
1985	7	1682	3547	2790	0.766	2790
1985	8	1914	3733	3220	0.961	3220
1985	9	1903	4039	3350	0.933	3350
1985	10	212	4564	3731	0.977	3731
1985	11	31	4930	4106	1	4106
1985	12	49	4852	4239	1	4239
1985	13	4	5209	5209	1	5209
1985	14	0	4000	4000	1	4000
1986	1	-1	-1	35	0	35
1986	2	1012	336	238	0.021	238
1986	3	4223	1227	670	0.205	670
1986	4	4068	1780	1135	0.413	1135
1986	5	4686	2431	1960	0.673	1960
1986	6	5139	2771	2418	0.845	2418
1986	7	494	3689	3215	0.884	3215
1986	8	796	3820	3305	0.951	3305
1986	9	897	4258	3743	0.986	3743
1986	10	344	4436	3689	0.998	3689
1986	11	27	3863	4346	1	4346
1986	12	29	5241	4613	0.918	4613
1986	13	0	4000	4533	1	4533
1986	14	0	4000	4000	1	4000
1987	1	-1	-1	31	0	31
1987	2	1939	452	163	0.02	163
1987	3	8308	1064	515	0.146	515
1987	4	6965	1692	1221	0.488	1221
1987	5	2728	2408	1758	0.598	1758
1987	6	2042	3000	2593	0.879	2593
1987	7	1094	3565	3008	0.901	3008
1987	8	132	4215	3504	1	3504
1987	9	165	4502	3877	0.988	3877
1987	10	220	3653	3847	0.955	3847
1987	11	89	4877	3204	0.989	3204
1987	12	14	3814	5335	1	5335
1987	13	6	5279	5279	1	5279
1987	14	10	4163	3751	1	3751
1988	1	-1	-1	37	0	37
1988	2	237	362	176	0.013	176
1988	3	9831	780	455	0.221	455
1988	4	15164	1474	976	0.394	976
1988	5	5824	2217	1845	0.768	1845
1988	6	1304	2931	2698	0.792	2698
1988	7	1084	3529	3096	0.928	3096
1988	8	609	3781	3440	0.913	3440
1988	9	66	4467	3172	1	3172
1988	10	89	4169	4196	0.938	4196
1988	11	96	4560	5370	1	5370
1988	12	24	4631	4509	0.966	4509
1988	13	2	5293	5370	1	5370
1988	14	2	5293	5293	1	5293
1989	1	-1	-1	27	0	27
1989	2	188	323	181	0.041	181
1989	3	2474	857	439	0.201	439
1989	4	22560	1185	889	0.532	889
1989	5	9571	1996	1512	0.723	1512
1989	6	3196	2893	2359	0.802	2359
1989	7	513	4066	2891	1	2891
1989	8	556	3866	3488	1	3488
1989	9	144	4734	3235	1	3235
1989	10	34	5039	3725	1	3725
1989	11	40	5015	2837	1	2837
1989	12	36	4975	4975	1	4975
1989	13	14	5338	5342	1	5342
1989	14	17	4575	4575	1	4575
