#year	age	ind
1985	1	29.91
1985	2	32.25
1985	3	17.67
1985	4	23.26
1985	5	26.3
1985	6	3.73
1985	7	11.01
1985	8	4.87
1985	9	5.68
1985	10	0.51
1985	11	0.12
1985	12	0.08
1985	13	0
1985	14	0
1986	1	122.05
1986	2	109.77
1986	3	61.1
1986	4	13.38
1986	5	16.84
1986	6	13.56
1986	7	1
1986	8	3.17
1986	9	1.27
1986	10	2.34
1986	11	0.09
1986	12	0.06
1986	13	0.05
1986	14	0
1987	1	21.49
1987	2	324.64
1987	3	148.07
1987	4	44.68
1987	5	7.77
1987	6	7.53
1987	7	4.77
1987	8	0.4
1987	9	0.62
1987	10	0.45
1987	11	0.83
1987	12	0.02
1987	13	0
1987	14	0.02
1988	1	15.72
1988	2	40.01
1988	3	184.62
1988	4	90.05
1988	5	23.12
1988	6	1.36
1988	7	2.2
1988	8	1.77
1988	9	0.16
1988	10	0.22
1988	11	0.01
1988	12	0.29
1988	13	0.01
1988	14	0
1989	1	10.45
1989	2	23.09
1989	3	40.59
1989	4	145.62
1989	5	45.09
1989	6	12.91
1989	7	0.79
1989	8	0.81
1989	9	0.42
1989	10	0.28
1989	11	0.14
1989	12	0
1989	13	0.1
1989	14	0
1990	1	71.9
1990	2	31.75
1990	3	26.67
1990	4	38.57
1990	5	92
1990	6	30.73
1990	7	3.43
1990	8	0.88
1990	9	0.23
1990	10	0
1990	11	0
1990	12	0
1990	13	0.02
1990	14	0
1991	1	88.46
1991	2	147.01
1991	3	42.89
1991	4	17.87
1991	5	20.18
1991	6	32.74
1991	7	7.58
1991	8	0.31
1991	9	0.1
1991	10	0.08
1991	11	0
1991	12	0.08
1991	13	0
1991	14	0
1992	1	18.23
1992	2	210.42
1992	3	139.58
1992	4	35.4
1992	5	16.77
1992	6	13.68
1992	7	16.21
1992	8	2.25
1992	9	0.18
1992	10	0.05
1992	11	0
1992	12	0
1992	13	0
1992	14	0
1993	1	30.66
1993	2	39.06
1993	3	251.81
1993	4	88.66
1993	5	11.37
1993	6	3.89
1993	7	1.68
1993	8	4.5
1993	9	0.89
1993	10	0
1993	11	0
1993	12	0
1993	13	0
1993	14	0
1994	1	58.86
1994	2	61.76
1994	3	40.53
1994	4	143.23
1994	5	42.43
1994	6	6.88
1994	7	2.85
1994	8	1.43
1994	9	4.44
1994	10	0.17
1994	11	0
1994	12	0
1994	13	0
1994	14	0
1995	1	37.07
1995	2	84.74
1995	3	47.12
1995	4	19.82
1995	5	69.91
1995	6	7.71
1995	7	1.31
1995	8	0.12
1995	9	0.34
1995	10	0
1995	11	0
1995	12	0
1995	13	0
1995	14	0
1996	1	96.53
1996	2	67.19
1996	3	121.31
1996	4	36.89
1996	5	19.78
1996	6	41
1996	7	5.84
1996	8	0.6
1996	9	0.13
1996	10	0.13
1996	11	0
1996	12	0
1996	13	0.15
1996	14	0
1997	1	8.41
1997	2	122.61
1997	3	51.08
1997	4	53.11
1997	5	10.8
1997	6	7.28
1997	7	10.85
1997	8	1.34
1997	9	0.07
1997	10	0.03
1997	11	0.06
1997	12	0.06
1997	13	0
1997	14	0
1998	1	23.17
1998	2	18.73
1998	3	110.23
1998	4	28.45
1998	5	23.27
1998	6	4.89
1998	7	3.48
1998	8	4.52
1998	9	0.34
1998	10	0
1998	11	0
1998	12	0
1998	13	0
1998	14	0
1999	1	80.92
1999	2	86.14
1999	3	25.79
1999	4	98.86
1999	5	12.99
1999	6	9.88
1999	7	1.43
1999	8	1.78
1999	9	1.04
1999	10	0.09
1999	11	0
1999	12	0
1999	13	0
1999	14	0
2000	1	60.41
2000	2	88.73
2000	3	43.92
2000	4	8.33
2000	5	24.82
2000	6	3.12
2000	7	1.58
2000	8	0.4
2000	9	0.15
2000	10	0.52
2000	11	0.04
2000	12	0
2000	13	0
2000	14	0
2001	1	81.03
2001	2	153.29
2001	3	116.21
2001	4	21.7
2001	5	4.03
2001	6	10.45
2001	7	0.89
2001	8	0.55
2001	9	0
2001	10	0.1
2001	11	0
2001	12	0
2001	13	0
2001	14	0
2002	1	20.68
2002	2	304.47
2002	3	198.83
2002	4	110.43
2002	5	22.88
2002	6	3.45
2002	7	7.39
2002	8	0.3
2002	9	0.34
2002	10	0.07
2002	11	0.14
2002	12	0
2002	13	0
2002	14	0
2003	1	112.29
2003	2	97.95
2003	3	283.72
2003	4	247.05
2003	5	115.11
2003	6	18.26
2003	7	2.6
2003	8	4.57
2003	9	0.49
2003	10	0.84
2003	11	0.07
2003	12	0
2003	13	0.08
2003	14	0
2004	1	325.12
2004	2	291.1
2004	3	70.86
2004	4	208.82
2004	5	110.08
2004	6	34.24
2004	7	6.82
2004	8	1.26
2004	9	0.83
2004	10	0
2004	11	0.16
2004	12	0.15
2004	13	0
2004	14	0
2005	1	57.55
2005	2	693.57
2005	3	288.64
2005	4	44.58
2005	5	157.39
2005	6	57.69
2005	7	15.78
2005	8	3.36
2005	9	0.32
2005	10	0.26
2005	11	0.02
2005	12	0
2005	13	0
2005	14	0
2006	1	39.87
2006	2	78.5
2006	3	575.82
2006	4	181.71
2006	5	19.34
2006	6	63.24
2006	7	16.54
2006	8	6.8
2006	9	0.7
2006	10	0.29
2006	11	0
2006	12	0
2006	13	0
2006	14	0
2007	1	34.23
2007	2	65.13
2007	3	89
2007	4	437.4
2007	5	85.58
2007	6	7.84
2007	7	21.32
2007	8	4.67
2007	9	2.13
2007	10	0.07
2007	11	0
2007	12	0
2007	13	0
2007	14	0
2008	1	88.07
2008	2	67.69
2008	3	71.12
2008	4	75.02
2008	5	220.74
2008	6	29.75
2008	7	3.51
2008	8	7.42
2008	9	1.63
2008	10	0.27
2008	11	0
2008	12	0.03
2008	13	0
2008	14	0
2009	1	10.87
2009	2	112.24
2009	3	53
2009	4	40.53
2009	5	41.31
2009	6	104.8
2009	7	12.76
2009	8	2.19
2009	9	3.04
2009	10	0.43
2009	11	0.22
2009	12	0
2009	13	0
2009	14	0
2010	1	15.25
2010	2	27.69
2010	3	137.03
2010	4	29.6
2010	5	18.1
2010	6	20.48
2010	7	31.38
2010	8	2.9
2010	9	0.46
2010	10	0.68
2010	11	0.12
2010	12	0.08
2010	13	0
2010	14	0
2011	1	8.76
2011	2	27.46
2011	3	24.33
2011	4	76.71
2011	5	13.95
2011	6	5.88
2011	7	9.4
2011	8	14.89
2011	9	1.28
2011	10	0.31
2011	11	0.23
2011	12	0.07
2011	13	0
2011	14	0
2012	1	12.33
2012	2	14.76
2012	3	31.18
2012	4	27.15
2012	5	58.16
2012	6	5.22
2012	7	2.92
2012	8	5.28
2012	9	6.85
2012	10	0.79
2012	11	0.26
2012	12	0.15
2012	13	0.08
2012	14	0
2013	1	13.93
2013	2	23.05
2013	3	19.56
2013	4	22.61
2013	5	22.25
2013	6	41.48
2013	7	4.76
2013	8	2.49
2013	9	3.82
2013	10	4.57
2013	11	0.59
2013	12	0.32
2013	13	0.03
2013	14	0.07
2014	1	14.15
2014	2	24.53
2014	3	30.15
2014	4	17.69
2014	5	16.4
2014	6	14.76
2014	7	16.39
2014	8	1.33
2014	9	1.04
2014	10	1.67
2014	11	1.47
2014	12	0.18
2014	13	0
2014	14	0.03
2015	1	62.08
2015	2	19.53
2015	3	26.5
2015	4	34.1
2015	5	12.62
2015	6	11.11
2015	7	9.57
2015	8	9.85
2015	9	1.16
2015	10	0.56
2015	11	1.14
2015	12	1.02
2015	13	0
2015	14	0.09
2016	1	29.85
2016	2	162.26
2016	3	23.51
2016	4	22.09
2016	5	22.24
2016	6	7.17
2016	7	7.27
2016	8	5.05
2016	9	4.25
2016	10	0.93
2016	11	0.46
2016	12	0.52
2016	13	0.56
2016	14	0.24
2017	1	26.66
2017	2	66.57
2017	3	140.89
2017	4	23.02
2017	5	20.29
2017	6	22.05
2017	7	6.47
2017	8	5.05
2017	9	3.53
2017	10	1.95
2017	11	0.26
2017	12	0.23
2017	13	0.33
2017	14	0.09
2018	1	63.84
2018	2	76.1
2018	3	83.2
2018	4	106.5
2018	5	13.47
2018	6	9.73
2018	7	9.16
2018	8	3.79
2018	9	3.18
2018	10	1.08
2018	11	0.81
2018	12	0.23
2018	13	0
2018	14	0
