#year age cno cwt swt mat ssbwt
1985 1 0 16 16 0 16
1986 1 -1 16 16 0 16
1987 1 -1 16 16 0 16
1988 1 0 16 16 0 16
1989 1 0 16 16 0 16
1990 1 -1 16 16 0 16
1991 1 0 16 16 0 16
1992 1 0 16 16 0 16
1993 1 0 16 16 0 16
1994 1 0 16 16 0 16
1995 1 0 16 16 0 16
1996 1 0 16 16 0 16
1997 1 0 16 16 0 16
1998 1 0 16 16 0 16
1999 1 0 16 16 0 16
2000 1 0 16 16 0 16
2001 1 0 16 16 0 16
2002 1 0 16 16 0 16
2003 1 0 16 16 0 16
2004 1 0 16 16 0 16
2005 1 0 16 16 0 16
2006 1 0 16 16 0 16
2007 1 0 16 16 0 16
2008 1 0 16 16 0 16
2009 1 0 16 16 0 16
2010 1 0 16 16 0 16
2011 1 0 16 16 0 16
2012 1 0 16 16 0 16
2013 1 0 16 16 0 16
2014 1 0 16 16 0 16
2015 1 0 16 16 0 16
2016 1 0 16 16 0 16
2017 1 0 16 16 0 16
1985 2 0 80 80 0.125 80
1986 2 -1 80 80 0.125 80
1987 2 -1 80 80 0.125 80
1988 2 0 80 80 0.125 80
1989 2 0 80 80 0.125 80
1990 2 -1 80 80 0.125 80
1991 2 0 80 80 0.125 80
1992 2 0 80 80 0.125 80
1993 2 0 80 80 0.125 80
1994 2 0 80 80 0.125 80
1995 2 0 80 80 0.125 80
1996 2 0 80 80 0.125 80
1997 2 0 80 80 0.125 80
1998 2 0 80 80 0.125 80
1999 2 0 80 80 0.125 80
2000 2 0 80 80 0.125 80
2001 2 0 80 80 0.125 80
2002 2 0 80 80 0.125 80
2003 2 0 80 80 0.125 80
2004 2 0 80 80 0.125 80
2005 2 0 80 80 0.125 80
2006 2 0 80 80 0.125 80
2007 2 0 80 80 0.125 80
2008 2 0 80 80 0.125 80
2009 2 0 80 80 0.125 80
2010 2 0 80 80 0.125 80
2011 2 0 80 80 0.125 80
2012 2 0 80 80 0.125 80
2013 2 0 80 80 0.125 80
