#year	age	cno	cwt	swt	mat	ssbwts
1980	1	-1	-1	51	0	-1
1980	2	-1	-1	288	0	-1
1980	3	275	1428	767	0	1428
1980	4	2540	1983	1339	0.083	1983
1980	5	5214	2667	2026	0.188	2667
1980	6	2596	3689	2866	0.372	3689
1980	7	2169	5409	3941	0.603	5409
1980	8	1341	6321	5148	0.796	6321
1980	9	387	7213	6192	0.909	7213
1980	10	262	8565	7791	1	8565
1980	11	155	9147	9645	1	9147
1980	12	112	9617	11263	1	9617
1980	13	64	10066	12616	1	10066
1980	14	33	11041	13749	1	11041
1981	1	-1	-1	51	0	-1
1981	2	-1	-1	288	0	-1
1981	3	203	1585	767	0	1585
1981	4	1325	2037	1339	0.083	2037
1981	5	3503	2696	2026	0.188	2696
1981	6	5404	3525	2866	0.372	3525
1981	7	1457	4541	3941	0.603	4541
1981	8	1415	6247	5148	0.796	6247
1981	9	578	6991	6192	0.909	6991
1981	10	242	8202	7791	1	8202
1981	11	61	9537	9645	1	9537
1981	12	154	9089	11263	1	9089
1981	13	135	9351	12616	1	9351
1981	14	128	10225	13749	1	10225
1982	1	-1	-1	51	0	-1
1982	2	-1	-1	288	0	-1
1982	3	508	1547	767	0	1547
1982	4	1092	2194	1339	0.083	2194
1982	5	2804	3015	2026	0.188	3015
1982	6	4845	3183	2866	0.372	3183
1982	7	4293	5114	3941	0.603	5114
1982	8	1215	6202	5148	0.796	6202
1982	9	975	7256	6192	0.909	7256
1982	10	306	7922	7791	1	7922
1982	11	59	8924	9645	1	8924
1982	12	35	10134	11263	1	10134
1982	13	48	9447	12616	1	9447
1982	14	46	10535	13749	1	10535
1983	1	-1	-1	51	0	-1
1983	2	-1	-1	288	0	-1
1983	3	107	1530	767	0	1530
1983	4	1750	2221	1339	0.083	2221
1983	5	1065	3171	2026	0.188	3171
1983	6	2455	4270	2866	0.372	4270
1983	7	4454	4107	3941	0.603	4107
1983	8	2311	5984	5148	0.796	5984
1983	9	501	7565	6192	0.909	7565
1983	10	251	8673	7791	1	8673
1983	11	38	8801	9645	1	8801
1983	12	12	9039	11263	1	9039
1983	13	2	11138	12616	1	11138
1983	14	4	9818	13749	1	9818
1984	1	-1	-1	51	0	-1
1984	2	-1	-1	288	0	-1
1984	3	53	1653	767	0	1653
1984	4	657	2432	1339	0.083	2432
1984	5	800	3330	2026	0.188	3330
1984	6	1825	4681	2866	0.372	4681
1984	7	2184	5466	3941	0.603	5466
1984	8	3610	4973	5148	0.796	4973
1984	9	844	7407	6192	0.909	7407
1984	10	376	8179	7791	1	8179
1984	11	291	8770	9645	1	8770
1984	12	135	8831	11263	1	8831
1984	13	185	11010	12616	1	11010
1984	14	226	11127	13749	1	11127
1985	1	-1	-1	51	0	-1
1985	2	-1	-1	267	0	-1
1985	3	376	1609	962	0	1609
1985	4	4014	2172	1677	0.083	2172
1985	5	3366	3169	2148	0.188	3169
1985	6	1958	3922	3127	0.372	3922
1985	7	1536	4697	4062	0.603	4697
1985	8	1172	6411	5145	0.796	6411
1985	9	747	6492	6192	0.909	6492
1985	10	479	8346	7791	1	8346
1985	11	74	9401	9645	1	9401
1985	12	23	10335	11263	1	10335
1985	13	72	11027	12616	1	11027
1985	14	71	10644	13749	1	10644
1986	1	-1	-1	51	0	-1
1986	2	-1	-1	249	0	-1
1986	3	3108	1450	841	0	1450
1986	4	1400	2190	1409	0.074	2190
1986	5	4170	2959	2269	0.171	2959
1986	6	2665	4402	3308	0.345	4402
1986	7	1550	5488	4741	0.575	5488
1986	8	1116	6406	5969	0.776	6406
1986	9	628	7570	6192	0.899	7570
1986	10	1549	6487	7791	1	6487
1986	11	216	9616	9645	1	9616
1986	12	51	10462	11263	1	10462
1986	13	30	11747	12616	1	11747
1986	14	14	11902	13749	1	11902
1987	1	-1	-1	51	0	-1
1987	2	-1	-1	188	0	-1
1987	3	956	1516	868	0	1516
1987	4	5135	1715	1157	0.067	1715
1987	5	4428	2670	1726	0.156	2670
1987	6	5409	3839	3416	0.321	3839
1987	7	2915	5081	4228	0.548	5081
1987	8	1348	6185	5999	0.757	6185
1987	9	661	7330	6192	0.888	7330
1987	10	496	8025	7791	1	8025
1987	11	498	7974	9645	1	7974
1987	12	58	9615	11263	1	9615
1987	13	27	12246	12616	1	12246
1987	14	48	11656	13749	1	11656
1988	1	-1	-1	51	0	-1
1988	2	-1	-1	216	0	-1
1988	3	1318	1261	779	0	1261
1988	4	5067	2017	1433	0.061	2017
1988	5	6619	2513	2012	0.143	2513
1988	6	3678	3476	2782	0.3	3476
1988	7	2859	4719	4324	0.523	4719
1988	8	1775	5932	5359	0.738	5932
1988	9	845	7523	6192	0.878	7523
1988	10	226	8439	7791	1	8439
1988	11	270	8748	9645	1	8748
1988	12	107	9559	11263	1	9559
1988	13	24	10824	12616	1	10824
1988	14	1	14099	13749	1	14099
1989	1	-1	-1	51	0	-1
1989	2	-1	-1	242	0	-1
1989	3	315	1403	644	0	1403
1989	4	4313	2021	1401	0.057	2021
1989	5	8471	2194	1787	0.133	2194
1989	6	7309	3047	2807	0.283	3047
1989	7	1794	4505	3680	0.503	4505
1989	8	1928	5889	5060	0.722	5889
1989	9	848	7172	6192	0.869	7172
1989	10	270	8852	7791	1	8852
1989	11	191	10170	9645	1	10170
1989	12	135	10392	11263	1	10392
1989	13	76	12522	12616	1	12522
1989	14	10	11923	13749	1	11923
1990	1	-1	-1	51	0	-1
1990	2	-1	-1	257	0	-1
1990	3	143	1647	743	0	1647
1990	4	1692	1983	1256	0.054	1983
1990	5	5471	2566	2136	0.127	2566
1990	6	10112	3021	2610	0.271	3021
1990	7	6174	4077	4417	0.488	4077
1990	8	1816	5744	5984	0.71	5744
1990	9	1087	7038	6192	0.863	7038
1990	10	380	7564	7791	1	7564
1990	11	151	8854	9645	1	8854
1990	12	55	10645	11263	1	10645
1990	13	76	11674	12616	1	11674
1990	14	37	11431	13749	1	11431
1991	1	-1	-1	51	0	-1
1991	2	-1	-1	340	0	-1
1991	3	198	1224	792	0	1224
1991	4	874	1939	1360	0.052	1939
1991	5	3613	2432	1866	0.123	2432
1991	6	6844	3160	2661	0.265	3160
1991	7	10772	3634	2937	0.481	3634
1991	8	3223	4967	4726	0.704	4967
1991	9	858	6629	6192	0.859	6629
1991	10	838	7704	7791	1	7704
1991	11	228	9061	9645	1	9061
1991	12	40	9117	11263	1	9117
1991	13	6	10922	12616	1	10922
1991	14	5	11342	13749	1	11342
1992	1	-1	-1	51	0	-1
1992	2	-1	-1	340	0	-1
1992	3	242	1269	879	0	1269
1992	4	2928	1909	1386	0.052	1909
1992	5	3844	2578	2008	0.123	2578
1992	6	4355	3288	2971	0.265	3288
1992	7	3884	4150	3807	0.481	4150
1992	8	4046	4865	4267	0.704	4865
1992	9	1290	6168	6192	0.859	6168
1992	10	350	7926	7791	1	7926
1992	11	196	8349	9645	1	8349
1992	12	56	9029	11263	1	9029
1992	13	54	11574	12616	1	11574
1992	14	15	9466	13749	1	9466
1993	1	-1	-1	51	0	-1
1993	2	-1	-1	319	0	-1
1993	3	657	1381	763	0	1381
1993	4	1083	2143	1462	0.054	2143
1993	5	2841	2742	2061	0.127	2742
1993	6	2252	3636	2938	0.272	3636
1993	7	2247	4398	3746	0.489	4398
1993	8	2314	5421	4842	0.711	5421
1993	9	3671	5319	6192	0.863	5319
1993	10	830	7006	7791	1	7006
1993	11	223	8070	9645	1	8070
1993	12	188	10048	11263	1	10048
1993	13	81	9106	12616	1	9106
1993	14	12	11591	13749	1	11591
1994	1	-1	-1	51	0	-1
1994	2	-1	-1	227	0	-1
1994	3	702	1444	853	0	1444
1994	4	2955	1836	1607	0.057	1836
1994	5	1770	2649	2770	0.135	2649
1994	6	2603	3512	3387	0.286	3512
1994	7	1377	4906	4720	0.507	4906
1994	8	1243	5539	6196	0.725	5539
1994	9	1263	6818	6192	0.871	6818
1994	10	2009	6374	7791	1	6374
1994	11	454	8341	9645	1	8341
1994	12	158	9770	11263	1	9770
1994	13	188	10528	12616	1	10528
1994	14	82	11257	13749	1	11257
1995	1	-1	-1	51	0	-1
1995	2	-1	-1	360	0	-1
1995	3	1573	1370	742	0	1370
1995	4	1853	1977	1230	0.064	1977
1995	5	2661	2769	2324	0.148	2769
1995	6	1807	3722	3642	0.309	3722
1995	7	2370	4621	4271	0.534	4621
1995	8	905	5854	6121	0.746	5854
1995	9	574	6416	6192	0.883	6416
1995	10	482	7356	7791	1	7356
1995	11	521	6815	9645	1	6815
1995	12	106	8312	11263	1	8312
1995	13	35	9119	12616	1	9119
1995	14	13	11910	13749	1	11910
1996	1	-1	-1	51	0	-1
1996	2	-1	-1	265	0	-1
1996	3	1102	1229	899	0	1229
1996	4	2608	1755	1327	0.073	1755
1996	5	1868	2670	1972	0.168	2670
1996	6	1649	3802	2740	0.341	3802
1996	7	835	4902	5260	0.57	4902
1996	8	1233	5681	5102	0.773	5681
1996	9	385	7182	6192	0.897	7182
1996	10	267	7734	7791	1	7734
1996	11	210	9256	9645	1	9256
1996	12	232	8322	11263	1	8322
1996	13	141	10501	12616	1	10501
1996	14	74	11894	13749	1	11894
1997	1	-1	-1	51	0	-1
1997	2	-1	-1	394	0	-1
1997	3	603	1325	740	0	1325
1997	4	2960	1936	1303	0.087	1936
1997	5	2766	2409	1780	0.196	2409
1997	6	1651	3906	2732	0.385	3906
1997	7	1178	5032	4228	0.616	5032
1997	8	599	6171	5749	0.804	6171
1997	9	454	7202	6192	0.913	7202
1997	10	125	7883	7791	1	7883
1997	11	95	8856	9645	1	8856
1997	12	114	9649	11263	1	9649
1997	13	77	9621	12616	1	9621
1997	14	43	10877	13749	1	10877
1998	1	-1	-1	51	0	-1
1998	2	-1	-1	369	0	-1
1998	3	183	1347	841	0	1347
1998	4	1289	1972	1155	0.105	1972
1998	5	1767	2943	1799	0.231	2943
1998	6	1545	3419	2530	0.435	3419
1998	7	1114	4850	3932	0.664	4850
1998	8	658	5962	5374	0.835	5962
1998	9	351	6933	6192	0.928	6933
1998	10	265	7781	7791	1	7781
1998	11	120	8695	9645	1	8695
1998	12	81	9564	11263	1	9564
1998	13	85	10164	12616	1	10164
1998	14	85	10379	13749	1	10379
1999	1	-1	-1	51	0	-1
1999	2	-1	-1	280	0	-1
1999	3	989	1279	774	0	1279
1999	4	732	2106	1465	0.126	2106
1999	5	1564	2752	2131	0.27	2752
1999	6	2176	3497	2872	0.486	3497
1999	7	1934	3831	3546	0.708	3831
1999	8	669	5819	5522	0.862	5819
1999	9	324	7072	6192	0.941	7072
1999	10	140	8078	7791	1	8078
1999	11	72	8865	9645	1	8865
1999	12	25	10550	11263	1	10550
1999	13	28	10823	12616	1	10823
1999	14	22	11300	13749	1	11300
2000	1	-1	-1	51	0	-1
2000	2	-1	-1	335	0	-1
2000	3	850	1367	821	0	1367
2000	4	2383	1929	1352	0.147	1929
2000	5	896	2751	2227	0.307	2751
2000	6	1511	3274	2712	0.532	3274
2000	7	1612	4171	3614	0.744	4171
2000	8	1806	4447	3871	0.882	4447
2000	9	335	6790	6192	0.95	6790
2000	10	173	8216	7791	1	8216
2000	11	57	9369	9645	1	9369
2000	12	33	9817	11263	1	9817
2000	13	17	10932	12616	1	10932
2000	14	7	12204	13749	1	12204
2001	1	-1	-1	51	0	-1
2001	2	-1	-1	351	0	-1
2001	3	1223	1280	767	0	1280
2001	4	2619	1882	1517	0.165	1882
2001	5	2184	2599	2124	0.336	2599
2001	6	591	3697	3391	0.565	3697
2001	7	977	4420	4222	0.769	4420
2001	8	943	5538	5128	0.895	5538
2001	9	819	5639	6192	0.956	5639
2001	10	186	7985	7791	1	7985
2001	11	94	9059	9645	1	9059
2001	12	28	9942	11263	1	9942
2001	13	28	10632	12616	1	10632
2001	14	13	10988	13749	1	10988
2002	1	-1	-1	51	0	-1
2002	2	-1	-1	226	0	-1
2002	3	1187	1308	739	0	1308
2002	4	4190	1946	1264	0.174	1946
2002	5	3147	2569	2196	0.351	2569
2002	6	2970	3266	3366	0.581	3266
2002	7	519	4872	4589	0.78	4872
2002	8	820	5365	5382	0.901	5365
2002	9	570	6830	6192	0.959	6830
2002	10	309	7067	7791	1	7067
2002	11	101	9240	9645	1	9240
2002	12	27	9659	11263	1	9659
2002	13	15	10088	12616	1	10088
2002	14	11	11632	13749	1	11632
2003	1	-1	-1	51	0	-1
2003	2	-1	-1	260	0	-1
2003	3	2284	1310	603	0	1310
2003	4	4363	1908	1183	0.173	1908
2003	5	6031	2545	1888	0.35	2545
2003	6	2472	3336	2678	0.58	3336
2003	7	1942	4069	3675	0.779	4069
2003	8	285	5792	5303	0.901	5792
2003	9	438	7156	6192	0.959	7156
