#year	age	fj
1985	1	0.03
1985	2	0.59
1985	3	0.56
1985	4	3.1
1985	5	5.31
1985	6	1.8
1985	7	1.09
1985	8	0.51
1985	9	1.4
1985	10	0.15
1985	11	0.08
1985	12	0.08
1985	13	0.07
1985	14	0.07
1986	1	0.02
1986	2	2.3
1986	3	2.46
1986	4	2.15
1986	5	2.2
1986	6	1.49
1986	7	0.65
1986	8	0.3
1986	9	0.19
1986	10	0.33
1986	11	0.09
1986	12	0.07
1986	13	0.03
1986	14	0
1987	1	0.1
1987	2	0.38
1987	3	11.84
1987	4	13.22
1987	5	6.61
1987	6	4.08
1987	7	3.18
1987	8	0.82
1987	9	0.37
1987	10	0.27
1987	11	0.34
1987	12	0.05
1987	13	0.01
1987	14	0.03
1988	1	0.61
1988	2	0.31
1988	3	0.47
1988	4	2.74
1988	5	2.85
1988	6	1.75
1988	7	0.98
1988	8	0.41
1988	9	0.07
1988	10	0.08
1988	11	0.1
1988	12	0.05
1988	13	0
1988	14	0
1989	1	0.2
1989	2	1.42
1989	3	3.95
1989	4	5.09
1989	5	6.65
1989	6	2.53
1989	7	1.81
1989	8	0.92
1989	9	0.4
1989	10	0
1989	11	0.02
1989	12	0
1989	13	0.04
1989	14	0
1990	1	0.01
1990	2	0.34
1990	3	1.71
1990	4	4.96
1990	5	6.42
1990	6	12.51
1990	7	3.37
1990	8	1.23
1990	9	0.65
1990	10	0.12
1990	11	0.06
1990	12	0.02
1990	13	0.01
1990	14	0.03
1991	1	0.01
1991	2	0.22
1991	3	1.38
1991	4	1.7
1991	5	2.18
1991	6	1.12
1991	7	2.49
1991	8	0.31
1991	9	0.02
1991	10	0.03
1991	11	0
1991	12	0.01
1991	13	0
1991	14	0.01
1992	1	0.01
1992	2	0.14
1992	3	0.91
1992	4	5.88
1992	5	5.65
1992	6	2.84
1992	7	2.72
1992	8	1.94
1992	9	0.28
1992	10	0.06
1992	11	0.06
1992	12	0.02
1992	13	0
1992	14	0
1993	1	0
1993	2	1.27
1993	3	11.03
1993	4	1.89
1993	5	6.59
1993	6	2.34
1993	7	2.19
1993	8	1.02
1993	9	3.94
1993	10	0.66
1993	11	0.05
1993	12	0
1993	13	0.02
1993	14	0
1994	1	0.04
1994	2	0.81
1994	3	0.74
1994	4	1.93
1994	5	1.78
1994	6	2
1994	7	0.53
1994	8	0.81
1994	9	0.94
